Episode	Accumulated Reward	Length	Steps
0	-1.0	3	3
1	-1.0	1	4
2	-1.0	1	5
3	-1.0	1	6
4	1.0	1	7
5	1.0	2	9
6	1.0	3	12
7	1.0	3	15
8	-1.0	2	17
9	-1.0	2	19
10	-1.0	3	22
11	1.0	1	23
12	1.0	1	24
13	-1.0	2	26
14	0.0	3	29
15	1.0	1	30
16	-1.0	1	31
17	-1.0	3	34
18	1.0	1	35
19	-1.0	1	36
20	-1.0	3	39
21	-1.0	2	41
22	-1.0	3	44
23	-1.0	1	45
24	-1.0	1	46
25	-1.0	1	47
26	0.0	2	49
27	1.0	1	50
28	1.0	2	52
29	-1.0	1	53
30	-1.0	2	55
31	-1.0	1	56
32	1.0	1	57
33	-1.0	4	61
34	-1.0	2	63
35	1.0	3	66
36	-1.0	2	68
37	-1.0	3	71
38	1.0	1	72
39	-1.0	1	73
40	-1.0	2	75
41	-1.0	2	77
42	1.0	1	78
43	-1.0	2	80
44	-1.0	2	82
45	0.0	1	83
46	1.0	2	85
47	1.0	1	86
48	-1.0	2	88
49	-1.0	2	90
50	-1.0	2	92
51	-1.0	3	95
52	-1.0	2	97
53	1.0	2	99
54	-1.0	1	100
55	1.0	2	102
56	-1.0	1	103
57	1.0	2	105
58	-1.0	1	106
59	1.0	2	108
60	-1.0	1	109
61	-1.0	3	112
62	1.0	2	114
63	1.0	2	116
64	-1.0	3	119
65	-1.0	3	122
66	1.0	1	123
67	-1.0	3	126
68	-1.0	1	127
69	1.0	3	130
70	-1.0	1	131
71	0.0	1	132
72	1.0	2	134
73	-1.0	2	136
74	-1.0	1	137
75	-1.0	2	139
76	-1.0	2	141
77	1.0	4	145
78	-1.0	2	147
79	1.0	1	148
80	0.0	1	149
81	-1.0	2	151
82	-1.0	2	153
83	-1.0	1	154
84	-1.0	1	155
85	1.0	2	157
86	-1.0	1	158
87	-1.0	2	160
88	1.0	1	161
89	-1.0	1	162
90	-1.0	1	163
91	-1.0	4	167
92	-1.0	1	168
93	0.0	1	169
94	-1.0	1	170
95	1.0	1	171
96	-1.0	1	172
97	-1.0	2	174
98	1.0	1	175
99	-1.0	2	177
100	-1.0	2	179
101	1.0	1	180
102	-1.0	3	183
103	1.0	1	184
104	-1.0	1	185
105	1.0	1	186
106	-1.0	2	188
107	-1.0	2	190
108	-1.0	1	191
109	0.0	1	192
110	1.0	2	194
111	-1.0	2	196
112	-1.0	2	198
113	-1.0	1	199
114	1.0	1	200
115	-1.0	1	201
116	1.0	2	203
117	-1.0	1	204
118	1.0	1	205
119	1.0	1	206
120	-1.0	2	208
121	-1.0	1	209
122	-1.0	2	211
123	1.0	1	212
124	-1.0	1	213
125	-1.0	1	214
126	-1.0	2	216
127	-1.0	3	219
128	-1.0	1	220
129	1.0	1	221
130	-1.0	2	223
131	-1.0	1	224
132	1.0	1	225
133	1.0	3	228
134	-1.0	3	231
