Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-24	24	24	0	-24	24	24	0	-24	24	24	0	-24	24	24	0	-24	24	24	0	-24	24	24
1	-29	29	53	1	-29	29	53	1	-29	29	53	1	-29	29	53	1	-29	29	53	1	-29	29	53
2	-27	27	80	2	-27	27	80	2	-27	27	80	2	-27	27	80	2	-27	27	80	2	-27	27	80
3	-142	142	222	3	-142	142	222	3	-142	142	222	3	-142	142	222	3	-142	142	222	3	-142	142	222
4	-26	26	248	4	-26	26	248	4	-26	26	248	4	-26	26	248	4	-26	26	248	4	-26	26	248
5	-17	17	265	5	-17	17	265	5	-17	17	265	5	-17	17	265	5	-17	17	265	5	-17	17	265
6	-19	19	284	6	-19	19	284	6	-19	19	284	6	-19	19	284	6	-19	19	284	6	-19	19	284
7	-22	22	306	7	-22	22	306	7	-22	22	306	7	-22	22	306	7	-22	22	306	7	-22	22	306
8	-31	31	337	8	-31	31	337	8	-31	31	337	8	-31	31	337	8	-31	31	337	8	-31	31	337
9	-29	29	366	9	-29	29	366	9	-29	29	366	9	-29	29	366	9	-29	29	366	9	-29	29	366
10	-65	65	431	10	-65	65	431	10	-65	65	431	10	-65	65	431	10	-65	65	431	10	-65	65	431
11	-41	41	472	11	-41	41	472	11	-41	41	472	11	-41	41	472	11	-41	41	472	11	-41	41	472
12	-27	27	499	12	-27	27	499	12	-27	27	499	12	-27	27	499	12	-27	27	499	12	-27	27	499
13	-21	21	520	13	-21	21	520	13	-21	21	520	13	-21	21	520	13	-21	21	520	13	-21	21	520
14	-19	19	539	14	-19	19	539	14	-19	19	539	14	-19	19	539	14	-19	19	539	14	-19	19	539
15	-28	28	567	15	-28	28	567	15	-28	28	567	15	-28	28	567	15	-28	28	567	15	-28	28	567
16	-27	27	594	16	-27	27	594	16	-27	27	594	16	-27	27	594	16	-27	27	594	16	-27	27	594
17	-25	25	619	17	-25	25	619	17	-25	25	619	17	-25	25	619	17	-25	25	619	17	-25	25	619
18	-36	36	655	18	-36	36	655	18	-36	36	655	18	-36	36	655	18	-36	36	655	18	-36	36	655
19	-19	19	674	19	-19	19	674	19	-19	19	674	19	-19	19	674	19	-19	19	674	19	-19	19	674
20	-18	18	692	20	-18	18	692	20	-18	18	692	20	-18	18	692	20	-18	18	692	20	-18	18	692
21	-21	21	713	21	-21	21	713	21	-21	21	713	21	-21	21	713	21	-21	21	713	21	-21	21	713
22	-33	33	746	22	-33	33	746	22	-33	33	746	22	-33	33	746	22	-33	33	746	22	-33	33	746
23	-19	19	765	23	-19	19	765	23	-19	19	765	23	-19	19	765	23	-19	19	765	23	-19	19	765
24	-35	35	800	24	-35	35	800	24	-35	35	800	24	-35	35	800	24	-35	35	800	24	-35	35	800
25	-17	17	817	25	-17	17	817	25	-17	17	817	25	-17	17	817	25	-17	17	817	25	-17	17	817
26	-19	19	836	26	-19	19	836	26	-19	19	836	26	-19	19	836	26	-19	19	836	26	-19	19	836
27	-19	19	855	27	-19	19	855	27	-19	19	855	27	-19	19	855	27	-19	19	855	27	-19	19	855
28	-19	19	874	28	-19	19	874	28	-19	19	874	28	-19	19	874	28	-19	19	874	28	-19	19	874
29	-21	21	895	29	-21	21	895	29	-21	21	895	29	-21	21	895	29	-21	21	895	29	-21	21	895
30	-17	17	912	30	-17	17	912	30	-17	17	912	30	-17	17	912	30	-17	17	912	30	-17	17	912
31	-17	17	929	31	-17	17	929	31	-17	17	929	31	-17	17	929	31	-17	17	929	31	-17	17	929
32	-20	20	949	32	-20	20	949	32	-20	20	949	32	-20	20	949	32	-20	20	949	32	-20	20	949
33	-17	17	966	33	-17	17	966	33	-17	17	966	33	-17	17	966	33	-17	17	966	33	-17	17	966
34	-19	19	985	34	-19	19	985	34	-19	19	985	34	-19	19	985	34	-19	19	985	34	-19	19	985
35	-20	20	1005	35	-20	20	1005	35	-20	20	1005	35	-20	20	1005	35	-20	20	1005	35	-20	20	1005
36	-147	48	1053	36	-147	48	1053	36	-147	48	1053	36	-147	48	1053	36	-147	48	1053	36	-147	48	1053
37	-19	19	1072	37	-19	19	1072	37	-19	19	1072	37	-19	19	1072	37	-19	19	1072	37	-19	19	1072
38	-23	23	1095	38	-23	23	1095	38	-23	23	1095	38	-23	23	1095	38	-23	23	1095	38	-23	23	1095
39	-43	43	1138	39	-43	43	1138	39	-43	43	1138	39	-43	43	1138	39	-43	43	1138	39	-43	43	1138
40	-21	21	1159	40	-21	21	1159	40	-21	21	1159	40	-21	21	1159	40	-21	21	1159	40	-21	21	1159
41	-38	38	1197	41	-38	38	1197	41	-38	38	1197	41	-38	38	1197	41	-38	38	1197	41	-38	38	1197
42	-22	22	1219	42	-22	22	1219	42	-22	22	1219	42	-22	22	1219	42	-22	22	1219	42	-22	22	1219
43	-26	26	1245	43	-26	26	1245	43	-26	26	1245	43	-26	26	1245	43	-26	26	1245	43	-26	26	1245
44	-23	23	1268	44	-23	23	1268	44	-23	23	1268	44	-23	23	1268	44	-23	23	1268	44	-23	23	1268
45	-31	31	1299	45	-31	31	1299	45	-31	31	1299	45	-31	31	1299	45	-31	31	1299	45	-31	31	1299
46	-389	290	1589	46	-389	290	1589	46	-389	290	1589	46	-389	290	1589	46	-389	290	1589	46	-389	290	1589
47	-57	57	1646	47	-57	57	1646	47	-57	57	1646	47	-57	57	1646	47	-57	57	1646	47	-57	57	1646
48	-39	39	1685	48	-39	39	1685	48	-39	39	1685	48	-39	39	1685	48	-39	39	1685	48	-39	39	1685
49	-43	43	1728	49	-43	43	1728	49	-43	43	1728	49	-43	43	1728	49	-43	43	1728	49	-43	43	1728
50	-28	28	1756	50	-28	28	1756	50	-28	28	1756	50	-28	28	1756	50	-28	28	1756	50	-28	28	1756
51	-148	49	1805	51	-148	49	1805	51	-148	49	1805	51	-148	49	1805	51	-148	49	1805	51	-148	49	1805
52	-28	28	1833	52	-28	28	1833	52	-28	28	1833	52	-28	28	1833	52	-28	28	1833	52	-28	28	1833
53	-38	38	1871	53	-38	38	1871	53	-38	38	1871	53	-38	38	1871	53	-38	38	1871	53	-38	38	1871
54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892	54	-21	21	1892
55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915	55	-23	23	1915
56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938	56	-23	23	1938
57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974	57	-36	36	1974
58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998	58	-123	24	1998
59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073	59	-75	75	2073
60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126	60	-53	53	2126
61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149	61	-23	23	2149
62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173	62	-24	24	2173
63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192	63	-19	19	2192
64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213	64	-21	21	2213
65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236	65	-23	23	2236
66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257	66	-21	21	2257
67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274	67	-17	17	2274
68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299	68	-25	25	2299
69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321	69	-22	22	2321
