Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36	0	-135	36	36
1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62	1	-26	26	62
2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95	2	-33	33	95
3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124	3	-29	29	124
4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145	4	-21	21	145
5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180	5	-35	35	180
6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211	6	-31	31	211
7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277	7	-66	66	277
8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335	8	-58	58	335
9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392	9	-57	57	392
10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417	10	-25	25	417
11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463	11	-46	46	463
12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499	12	-36	36	499
13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040	13	-739	541	1040
14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080	14	-40	40	1080
15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126	15	-46	46	1126
16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276	16	-546	150	1276
17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299	17	-23	23	1299
18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319	18	-20	20	1319
19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338	19	-19	19	1338
20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355	20	-17	17	1355
21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374	21	-19	19	1374
22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391	22	-17	17	1391
23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409	23	-18	18	1409
