Episode	Accumulated Reward	Length	Steps
0	-8157	4494	4494
1	-157	58	4552
2	-254	155	4707
3	-177	177	4884
4	-141	42	4926
5	-32	32	4958
6	-34	34	4992
7	-27	27	5019
8	-132	33	5052
9	-43	43	5095
10	-63	63	5158
11	-468	270	5428
12	-20	20	5448
13	-97	97	5545
14	-123	123	5668
15	-21	21	5689
16	-3666	2280	7969
17	-74	74	8043
18	-102	102	8145
19	-34	34	8179
20	-27	27	8206
21	-24	24	8230
22	-17	17	8247
23	-25	25	8272
24	-43	43	8315
25	-32	32	8347
26	-40	40	8387
27	-36	36	8423
28	-47	47	8470
29	-52	52	8522
30	-33	33	8555
31	-29	29	8584
32	-27	27	8611
33	-23	23	8634
34	-35	35	8669
35	-38	38	8707
36	-26	26	8733
37	-27	27	8760
38	-81	81	8841
39	-33	33	8874
40	-25	25	8899
41	-99	99	8998
42	-56	56	9054
43	-1101	606	9660
44	-121	22	9682
45	-17	17	9699
46	-19	19	9718
47	-17	17	9735
48	-17	17	9752
49	-120	21	9773
50	-23	23	9796
51	-26	26	9822
52	-33	33	9855
53	-315	117	9972
54	-29	29	10001
55	-115	115	10116
56	-17	17	10133
57	-44	44	10177
58	-540	45	10222
59	-21	21	10243
60	-22	22	10265
61	-44	44	10309
62	-29	29	10338
63	-21	21	10359
64	-26	26	10385
65	-124	124	10509
66	-86	86	10595
67	-21	21	10616
68	-160	61	10677
69	-134	35	10712
70	-15	15	10727
71	-15	15	10742
72	-15	15	10757
73	-21	21	10778
74	-20	20	10798
75	-314	314	11112
76	-4483	1909	13021
77	-200	101	13122
78	-87	87	13209
79	-52	52	13261
80	-279	180	13441
81	-1296	504	13945
82	-42	42	13987
83	-36	36	14023
84	-3507	1527	15550
85	-32	32	15582
86	-636	438	16020
87	-23	23	16043
88	-141	42	16085
89	-1405	217	16302
90	-694	100	16402
91	-39	39	16441
92	-619	25	16466
93	-48	48	16514
94	-25	25	16539
95	-294	195	16734
96	-41	41	16775
97	-866	74	16849
98	-19	19	16868
99	-1493	602	17470
100	-712	514	17984
101	-252	153	18137
102	-23	23	18160
103	-29	29	18189
104	-22	22	18211
105	-27	27	18238
106	-33	33	18271
107	-34	34	18305
108	-21	21	18326
109	-1097	206	18532
110	-327	129	18661
111	-28	28	18689
112	-106	106	18795
113	-275	176	18971
114	-427	130	19101
115	-47	47	19148
116	-53	53	19201
117	-135	36	19237
118	-48	48	19285
119	-71	71	19356
120	-53	53	19409
121	-1296	900	20309
122	-44	44	20353
123	-28	28	20381
124	-111	111	20492
125	-58	58	20550
126	-43	43	20593
127	-504	306	20899
128	-112	112	21011
129	-49	49	21060
130	-30	30	21090
131	-130	31	21121
132	-28	28	21149
133	-130	31	21180
134	-33	33	21213
135	-21	21	21234
136	-135	36	21270
137	-252	153	21423
138	-2435	752	22175
139	-56	56	22231
140	-57	57	22288
141	-543	345	22633
142	-63	63	22696
143	-35	35	22731
144	-48	48	22779
145	-50	50	22829
146	-36	36	22865
147	-184	85	22950
148	-23	23	22973
149	-37	37	23010
150	-23	23	23033
151	-19	19	23052
152	-22	22	23074
153	-2407	1417	24491
154	-77	77	24568
155	-2335	1147	25715
156	-1522	1027	26742
157	-191	92	26834
158	-20	20	26854
159	-20	20	26874
160	-23	23	26897
161	-22	22	26919
162	-23	23	26942
163	-36	36	26978
164	-27	27	27005
165	-868	76	27081
166	-38	38	27119
167	-56	56	27175
168	-28	28	27203
169	-28	28	27231
170	-76	76	27307
171	-31	31	27338
172	-865	73	27411
173	-53	53	27464
174	-25	25	27489
175	-25	25	27514
176	-1422	729	28243
177	-66	66	28309
178	-211	211	28520
179	-21	21	28541
180	-71	71	28612
181	-26	26	28638
182	-25	25	28663
183	-219	21	28684
184	-38	38	28722
185	-40	40	28762
186	-29	29	28791
187	-27	27	28818
188	-35	35	28853
189	-58	58	28911
190	-67	67	28978
191	-1563	672	29650
192	-744	249	29899
193	-317	218	30117
194	-44	44	30161
195	-25	25	30186
196	-24	24	30210
197	-24	24	30234
198	-28	28	30262
199	-41	41	30303
