Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-44	44	44	0	-44	44	44
1	-80	80	124	1	-80	80	124
2	-55	55	179	2	-55	55	179
3	-47	47	226	3	-47	47	226
4	-28	28	254	4	-28	28	254
5	-1537	943	1197	5	-1537	943	1197
6	-116	116	1313	6	-116	116	1313
7	-19	19	1332	7	-19	19	1332
8	-28	28	1360	8	-28	28	1360
9	-21	21	1381	9	-21	21	1381
10	-27	27	1408	10	-27	27	1408
11	-19	19	1427	11	-19	19	1427
12	-25	25	1452	12	-25	25	1452
13	-28	28	1480	13	-28	28	1480
14	-26	26	1506	14	-26	26	1506
15	-129	30	1536	15	-129	30	1536
16	-40	40	1576	16	-40	40	1576
17	-34	34	1610	17	-34	34	1610
18	-797	104	1714	18	-797	104	1714
19	-1094	104	1818	19	-1094	104	1818
20	-20	20	1838	20	-20	20	1838
21	-139	139	1977	21	-139	139	1977
22	-45	45	2022	22	-45	45	2022
23	-49	49	2071	23	-49	49	2071
24	-817	223	2294	24	-817	223	2294
25	-75	75	2369	25	-75	75	2369
26	-128	128	2497	26	-128	128	2497
27	-52	52	2549	27	-52	52	2549
28	-23	23	2572	28	-23	23	2572
29	-487	487	3059	29	-487	487	3059
30	-104	104	3163	30	-104	104	3163
31	-141	42	3205	31	-141	42	3205
32	-28	28	3233	32	-28	28	3233
33	-27	27	3260	33	-27	27	3260
34	-33	33	3293	34	-33	33	3293
35	-31	31	3324	35	-31	31	3324
36	-70	70	3394	36	-70	70	3394
37	-42	42	3436	37	-42	42	3436
38	-160	160	3596	38	-160	160	3596
39	-30	30	3626	39	-30	30	3626
40	-377	179	3805	40	-377	179	3805
41	-40	40	3845	41	-40	40	3845
42	-31	31	3876	42	-31	31	3876
43	-24	24	3900	43	-24	24	3900
44	-19	19	3919	44	-19	19	3919
45	-19	19	3938	45	-19	19	3938
46	-23	23	3961	46	-23	23	3961
47	-176	77	4038	47	-176	77	4038
48	-40	40	4078	48	-40	40	4078
49	-25	25	4103	49	-25	25	4103
50	-259	160	4263	50	-259	160	4263
51	-30	30	4293	51	-30	30	4293
52	-39	39	4332	52	-39	39	4332
53	-23	23	4355	53	-23	23	4355
54	-29	29	4384	54	-29	29	4384
55	-68	68	4452	55	-68	68	4452
56	-25	25	4477	56	-25	25	4477
57	-18	18	4495	57	-18	18	4495
58	-17	17	4512	58	-17	17	4512
59	-19	19	4531	59	-19	19	4531
60	-365	68	4599	60	-365	68	4599
61	-48	48	4647	61	-48	48	4647
62	-78	78	4725	62	-78	78	4725
63	-1077	681	5406	63	-1077	681	5406
64	-23	23	5429	64	-23	23	5429
65	-30	30	5459	65	-30	30	5459
66	-21	21	5480	66	-21	21	5480
67	-92	92	5572	67	-92	92	5572
68	-32	32	5604	68	-32	32	5604
69	-68	68	5672	69	-68	68	5672
70	-21	21	5693	70	-21	21	5693
71	-35	35	5728	71	-35	35	5728
72	-194	95	5823	72	-194	95	5823
73	-304	205	6028	73	-304	205	6028
74	-27	27	6055	74	-27	27	6055
75	-35	35	6090	75	-35	35	6090
76	-133	34	6124	76	-133	34	6124
77	-131	32	6156	77	-131	32	6156
78	-35	35	6191	78	-35	35	6191
79	-41	41	6232	79	-41	41	6232
80	-27	27	6259	80	-27	27	6259
81	-2422	1432	7691	81	-2422	1432	7691
82	-41	41	7732	82	-41	41	7732
83	-173	74	7806	83	-173	74	7806
84	-53	53	7859	84	-53	53	7859
85	-39	39	7898	85	-39	39	7898
86	-24	24	7922	86	-24	24	7922
87	-23	23	7945	87	-23	23	7945
88	-19	19	7964	88	-19	19	7964
