Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-7025	4550	4550	0	-7025	4550	4550	0	-7025	4550	4550
1	-90	90	4640	1	-90	90	4640	1	-90	90	4640
2	-147	48	4688	2	-147	48	4688	2	-147	48	4688
3	-21	21	4709	3	-21	21	4709	3	-21	21	4709
4	-19	19	4728	4	-19	19	4728	4	-19	19	4728
5	-20	20	4748	5	-20	20	4748	5	-20	20	4748
6	-19	19	4767	6	-19	19	4767	6	-19	19	4767
7	-338	140	4907	7	-338	140	4907	7	-338	140	4907
8	-198	99	5006	8	-198	99	5006	8	-198	99	5006
9	-29	29	5035	9	-29	29	5035	9	-29	29	5035
10	-305	206	5241	10	-305	206	5241	10	-305	206	5241
11	-1384	1285	6526	11	-1384	1285	6526	11	-1384	1285	6526
12	-146	47	6573	12	-146	47	6573	12	-146	47	6573
13	-27	27	6600	13	-27	27	6600	13	-27	27	6600
14	-25	25	6625	14	-25	25	6625	14	-25	25	6625
15	-21	21	6646	15	-21	21	6646	15	-21	21	6646
16	-19	19	6665	16	-19	19	6665	16	-19	19	6665
17	-19	19	6684	17	-19	19	6684	17	-19	19	6684
18	-21	21	6705	18	-21	21	6705	18	-21	21	6705
19	-25	25	6730	19	-25	25	6730	19	-25	25	6730
20	-38	38	6768	20	-38	38	6768	20	-38	38	6768
21	-112	112	6880	21	-112	112	6880	21	-112	112	6880
22	-2216	1424	8304	22	-2216	1424	8304	22	-2216	1424	8304
23	-63	63	8367	23	-63	63	8367	23	-63	63	8367
24	-30	30	8397	24	-30	30	8397	24	-30	30	8397
25	-29	29	8426	25	-29	29	8426	25	-29	29	8426
26	-22	22	8448	26	-22	22	8448	26	-22	22	8448
27	-131	32	8480	27	-131	32	8480	27	-131	32	8480
28	-144	144	8624	28	-144	144	8624	28	-144	144	8624
29	-19	19	8643	29	-19	19	8643	29	-19	19	8643
30	-21	21	8664	30	-21	21	8664	30	-21	21	8664
31	-26	26	8690	31	-26	26	8690	31	-26	26	8690
32	-20	20	8710	32	-20	20	8710	32	-20	20	8710
33	-135	36	8746	33	-135	36	8746	33	-135	36	8746
34	-27	27	8773	34	-27	27	8773	34	-27	27	8773
35	-33	33	8806	35	-33	33	8806	35	-33	33	8806
36	-30	30	8836	36	-30	30	8836	36	-30	30	8836
37	-363	165	9001	37	-363	165	9001	37	-363	165	9001
38	-36	36	9037	38	-36	36	9037	38	-36	36	9037
39	-25	25	9062	39	-25	25	9062	39	-25	25	9062
40	-108	108	9170	40	-108	108	9170	40	-108	108	9170
41	-60	60	9230	41	-60	60	9230	41	-60	60	9230
42	-4607	3221	12451	42	-4607	3221	12451	42	-4607	3221	12451
43	-3766	3073	15524	43	-3766	3073	15524	43	-3766	3073	15524
44	-25	25	15549	44	-25	25	15549	44	-25	25	15549
45	-23	23	15572	45	-23	23	15572	45	-23	23	15572
46	-37	37	15609	46	-37	37	15609	46	-37	37	15609
47	-242	44	15653	47	-242	44	15653	47	-242	44	15653
48	-933	339	15992	48	-933	339	15992	48	-933	339	15992
49	-213	213	16205	49	-213	213	16205	49	-213	213	16205
50	-359	260	16465	50	-359	260	16465	50	-359	260	16465
51	-29	29	16494	51	-29	29	16494	51	-29	29	16494
52	-625	31	16525	52	-625	31	16525	52	-625	31	16525
53	-39	39	16564	53	-39	39	16564	53	-39	39	16564
