Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-17	17	34	1	-17	17	34	1	-17	17	34	1	-17	17	34
2	-134	35	69	2	-134	35	69	2	-134	35	69	2	-134	35	69
3	-31	31	100	3	-31	31	100	3	-31	31	100	3	-31	31	100
4	-652	58	158	4	-652	58	158	4	-652	58	158	4	-652	58	158
5	-27	27	185	5	-27	27	185	5	-27	27	185	5	-27	27	185
6	-24	24	209	6	-24	24	209	6	-24	24	209	6	-24	24	209
7	-22	22	231	7	-22	22	231	7	-22	22	231	7	-22	22	231
8	-249	150	381	8	-249	150	381	8	-249	150	381	8	-249	150	381
9	-891	99	480	9	-891	99	480	9	-891	99	480	9	-891	99	480
10	-46	46	526	10	-46	46	526	10	-46	46	526	10	-46	46	526
11	-32	32	558	11	-32	32	558	11	-32	32	558	11	-32	32	558
12	-24	24	582	12	-24	24	582	12	-24	24	582	12	-24	24	582
13	-25	25	607	13	-25	25	607	13	-25	25	607	13	-25	25	607
14	-33	33	640	14	-33	33	640	14	-33	33	640	14	-33	33	640
15	-82	82	722	15	-82	82	722	15	-82	82	722	15	-82	82	722
16	-26	26	748	16	-26	26	748	16	-26	26	748	16	-26	26	748
17	-39	39	787	17	-39	39	787	17	-39	39	787	17	-39	39	787
18	-24	24	811	18	-24	24	811	18	-24	24	811	18	-24	24	811
19	-127	28	839	19	-127	28	839	19	-127	28	839	19	-127	28	839
20	-17	17	856	20	-17	17	856	20	-17	17	856	20	-17	17	856
21	-18	18	874	21	-18	18	874	21	-18	18	874	21	-18	18	874
22	-31	31	905	22	-31	31	905	22	-31	31	905	22	-31	31	905
23	-24	24	929	23	-24	24	929	23	-24	24	929	23	-24	24	929
24	-39	39	968	24	-39	39	968	24	-39	39	968	24	-39	39	968
25	-42	42	1010	25	-42	42	1010	25	-42	42	1010	25	-42	42	1010
26	-28	28	1038	26	-28	28	1038	26	-28	28	1038	26	-28	28	1038
27	-26	26	1064	27	-26	26	1064	27	-26	26	1064	27	-26	26	1064
28	-31	31	1095	28	-31	31	1095	28	-31	31	1095	28	-31	31	1095
29	-127	28	1123	29	-127	28	1123	29	-127	28	1123	29	-127	28	1123
30	-258	258	1381	30	-258	258	1381	30	-258	258	1381	30	-258	258	1381
31	-36	36	1417	31	-36	36	1417	31	-36	36	1417	31	-36	36	1417
32	-87	87	1504	32	-87	87	1504	32	-87	87	1504	32	-87	87	1504
