Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27
1	-43	43	70	1	-43	43	70	1	-43	43	70	1	-43	43	70	1	-43	43	70
2	-23	23	93	2	-23	23	93	2	-23	23	93	2	-23	23	93	2	-23	23	93
3	-807	114	207	3	-807	114	207	3	-807	114	207	3	-807	114	207	3	-807	114	207
4	-32	32	239	4	-32	32	239	4	-32	32	239	4	-32	32	239	4	-32	32	239
5	-528	132	371	5	-528	132	371	5	-528	132	371	5	-528	132	371	5	-528	132	371
6	-39	39	410	6	-39	39	410	6	-39	39	410	6	-39	39	410	6	-39	39	410
7	-34	34	444	7	-34	34	444	7	-34	34	444	7	-34	34	444	7	-34	34	444
8	-848	56	500	8	-848	56	500	8	-848	56	500	8	-848	56	500	8	-848	56	500
9	-59	59	559	9	-59	59	559	9	-59	59	559	9	-59	59	559	9	-59	59	559
10	-84	84	643	10	-84	84	643	10	-84	84	643	10	-84	84	643	10	-84	84	643
11	-50	50	693	11	-50	50	693	11	-50	50	693	11	-50	50	693	11	-50	50	693
12	-324	126	819	12	-324	126	819	12	-324	126	819	12	-324	126	819	12	-324	126	819
13	-136	37	856	13	-136	37	856	13	-136	37	856	13	-136	37	856	13	-136	37	856
14	-285	87	943	14	-285	87	943	14	-285	87	943	14	-285	87	943	14	-285	87	943
15	-108	108	1051	15	-108	108	1051	15	-108	108	1051	15	-108	108	1051	15	-108	108	1051
16	-22	22	1073	16	-22	22	1073	16	-22	22	1073	16	-22	22	1073	16	-22	22	1073
17	-123	24	1097	17	-123	24	1097	17	-123	24	1097	17	-123	24	1097	17	-123	24	1097
18	-32	32	1129	18	-32	32	1129	18	-32	32	1129	18	-32	32	1129	18	-32	32	1129
19	-19	19	1148	19	-19	19	1148	19	-19	19	1148	19	-19	19	1148	19	-19	19	1148
20	-29	29	1177	20	-29	29	1177	20	-29	29	1177	20	-29	29	1177	20	-29	29	1177
21	-1525	436	1613	21	-1525	436	1613	21	-1525	436	1613	21	-1525	436	1613	21	-1525	436	1613
