Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-23	23	23	0	-23	23	23	0	-23	23	23	0	-23	23	23	0	-23	23	23	0	-23	23	23	0	-23	23	23
1	-59	59	82	1	-59	59	82	1	-59	59	82	1	-59	59	82	1	-59	59	82	1	-59	59	82	1	-59	59	82
2	-29	29	111	2	-29	29	111	2	-29	29	111	2	-29	29	111	2	-29	29	111	2	-29	29	111	2	-29	29	111
3	-35	35	146	3	-35	35	146	3	-35	35	146	3	-35	35	146	3	-35	35	146	3	-35	35	146	3	-35	35	146
4	-22	22	168	4	-22	22	168	4	-22	22	168	4	-22	22	168	4	-22	22	168	4	-22	22	168	4	-22	22	168
5	-38	38	206	5	-38	38	206	5	-38	38	206	5	-38	38	206	5	-38	38	206	5	-38	38	206	5	-38	38	206
6	-21	21	227	6	-21	21	227	6	-21	21	227	6	-21	21	227	6	-21	21	227	6	-21	21	227	6	-21	21	227
7	-21	21	248	7	-21	21	248	7	-21	21	248	7	-21	21	248	7	-21	21	248	7	-21	21	248	7	-21	21	248
8	-22	22	270	8	-22	22	270	8	-22	22	270	8	-22	22	270	8	-22	22	270	8	-22	22	270	8	-22	22	270
9	-21	21	291	9	-21	21	291	9	-21	21	291	9	-21	21	291	9	-21	21	291	9	-21	21	291	9	-21	21	291
10	-26	26	317	10	-26	26	317	10	-26	26	317	10	-26	26	317	10	-26	26	317	10	-26	26	317	10	-26	26	317
11	-44	44	361	11	-44	44	361	11	-44	44	361	11	-44	44	361	11	-44	44	361	11	-44	44	361	11	-44	44	361
12	-27	27	388	12	-27	27	388	12	-27	27	388	12	-27	27	388	12	-27	27	388	12	-27	27	388	12	-27	27	388
13	-201	102	490	13	-201	102	490	13	-201	102	490	13	-201	102	490	13	-201	102	490	13	-201	102	490	13	-201	102	490
14	-46	46	536	14	-46	46	536	14	-46	46	536	14	-46	46	536	14	-46	46	536	14	-46	46	536	14	-46	46	536
15	-132	132	668	15	-132	132	668	15	-132	132	668	15	-132	132	668	15	-132	132	668	15	-132	132	668	15	-132	132	668
16	-369	171	839	16	-369	171	839	16	-369	171	839	16	-369	171	839	16	-369	171	839	16	-369	171	839	16	-369	171	839
17	-72	72	911	17	-72	72	911	17	-72	72	911	17	-72	72	911	17	-72	72	911	17	-72	72	911	17	-72	72	911
18	-103	103	1014	18	-103	103	1014	18	-103	103	1014	18	-103	103	1014	18	-103	103	1014	18	-103	103	1014	18	-103	103	1014
19	-493	196	1210	19	-493	196	1210	19	-493	196	1210	19	-493	196	1210	19	-493	196	1210	19	-493	196	1210	19	-493	196	1210
20	-45	45	1255	20	-45	45	1255	20	-45	45	1255	20	-45	45	1255	20	-45	45	1255	20	-45	45	1255	20	-45	45	1255
21	-26	26	1281	21	-26	26	1281	21	-26	26	1281	21	-26	26	1281	21	-26	26	1281	21	-26	26	1281	21	-26	26	1281
22	-41	41	1322	22	-41	41	1322	22	-41	41	1322	22	-41	41	1322	22	-41	41	1322	22	-41	41	1322	22	-41	41	1322
23	-548	53	1375	23	-548	53	1375	23	-548	53	1375	23	-548	53	1375	23	-548	53	1375	23	-548	53	1375	23	-548	53	1375
24	-52	52	1427	24	-52	52	1427	24	-52	52	1427	24	-52	52	1427	24	-52	52	1427	24	-52	52	1427	24	-52	52	1427
25	-74	74	1501	25	-74	74	1501	25	-74	74	1501	25	-74	74	1501	25	-74	74	1501	25	-74	74	1501	25	-74	74	1501
26	-28	28	1529	26	-28	28	1529	26	-28	28	1529	26	-28	28	1529	26	-28	28	1529	26	-28	28	1529	26	-28	28	1529
