Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-23	23	42	1	-23	23	42	1	-23	23	42	1	-23	23	42	1	-23	23	42	1	-23	23	42	1	-23	23	42	1	-23	23	42
2	-28	28	70	2	-28	28	70	2	-28	28	70	2	-28	28	70	2	-28	28	70	2	-28	28	70	2	-28	28	70	2	-28	28	70
3	-18	18	88	3	-18	18	88	3	-18	18	88	3	-18	18	88	3	-18	18	88	3	-18	18	88	3	-18	18	88	3	-18	18	88
4	-231	33	121	4	-231	33	121	4	-231	33	121	4	-231	33	121	4	-231	33	121	4	-231	33	121	4	-231	33	121	4	-231	33	121
5	-37	37	158	5	-37	37	158	5	-37	37	158	5	-37	37	158	5	-37	37	158	5	-37	37	158	5	-37	37	158	5	-37	37	158
6	-619	25	183	6	-619	25	183	6	-619	25	183	6	-619	25	183	6	-619	25	183	6	-619	25	183	6	-619	25	183	6	-619	25	183
7	-19	19	202	7	-19	19	202	7	-19	19	202	7	-19	19	202	7	-19	19	202	7	-19	19	202	7	-19	19	202	7	-19	19	202
8	-1222	430	632	8	-1222	430	632	8	-1222	430	632	8	-1222	430	632	8	-1222	430	632	8	-1222	430	632	8	-1222	430	632	8	-1222	430	632
9	-199	100	732	9	-199	100	732	9	-199	100	732	9	-199	100	732	9	-199	100	732	9	-199	100	732	9	-199	100	732	9	-199	100	732
10	-534	435	1167	10	-534	435	1167	10	-534	435	1167	10	-534	435	1167	10	-534	435	1167	10	-534	435	1167	10	-534	435	1167	10	-534	435	1167
11	-37	37	1204	11	-37	37	1204	11	-37	37	1204	11	-37	37	1204	11	-37	37	1204	11	-37	37	1204	11	-37	37	1204	11	-37	37	1204
12	-349	349	1553	12	-349	349	1553	12	-349	349	1553	12	-349	349	1553	12	-349	349	1553	12	-349	349	1553	12	-349	349	1553	12	-349	349	1553
13	-62	62	1615	13	-62	62	1615	13	-62	62	1615	13	-62	62	1615	13	-62	62	1615	13	-62	62	1615	13	-62	62	1615	13	-62	62	1615
14	-30	30	1645	14	-30	30	1645	14	-30	30	1645	14	-30	30	1645	14	-30	30	1645	14	-30	30	1645	14	-30	30	1645	14	-30	30	1645
15	-239	140	1785	15	-239	140	1785	15	-239	140	1785	15	-239	140	1785	15	-239	140	1785	15	-239	140	1785	15	-239	140	1785	15	-239	140	1785
16	-44	44	1829	16	-44	44	1829	16	-44	44	1829	16	-44	44	1829	16	-44	44	1829	16	-44	44	1829	16	-44	44	1829	16	-44	44	1829
17	-75	75	1904	17	-75	75	1904	17	-75	75	1904	17	-75	75	1904	17	-75	75	1904	17	-75	75	1904	17	-75	75	1904	17	-75	75	1904
18	-19	19	1923	18	-19	19	1923	18	-19	19	1923	18	-19	19	1923	18	-19	19	1923	18	-19	19	1923	18	-19	19	1923	18	-19	19	1923
19	-39	39	1962	19	-39	39	1962	19	-39	39	1962	19	-39	39	1962	19	-39	39	1962	19	-39	39	1962	19	-39	39	1962	19	-39	39	1962
20	-28	28	1990	20	-28	28	1990	20	-28	28	1990	20	-28	28	1990	20	-28	28	1990	20	-28	28	1990	20	-28	28	1990	20	-28	28	1990
21	-653	59	2049	21	-653	59	2049	21	-653	59	2049	21	-653	59	2049	21	-653	59	2049	21	-653	59	2049	21	-653	59	2049	21	-653	59	2049
22	-203	203	2252	22	-203	203	2252	22	-203	203	2252	22	-203	203	2252	22	-203	203	2252	22	-203	203	2252	22	-203	203	2252	22	-203	203	2252
23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272	23	-2208	1020	3272
24	-343	244	3516	24	-343	244	3516	24	-343	244	3516	24	-343	244	3516	24	-343	244	3516	24	-343	244	3516	24	-343	244	3516	24	-343	244	3516
25	-592	97	3613	25	-592	97	3613	25	-592	97	3613	25	-592	97	3613	25	-592	97	3613	25	-592	97	3613	25	-592	97	3613	25	-592	97	3613
26	-62	62	3675	26	-62	62	3675	26	-62	62	3675	26	-62	62	3675	26	-62	62	3675	26	-62	62	3675	26	-62	62	3675	26	-62	62	3675
27	-27	27	3702	27	-27	27	3702	27	-27	27	3702	27	-27	27	3702	27	-27	27	3702	27	-27	27	3702	27	-27	27	3702	27	-27	27	3702
28	-30	30	3732	28	-30	30	3732	28	-30	30	3732	28	-30	30	3732	28	-30	30	3732	28	-30	30	3732	28	-30	30	3732	28	-30	30	3732
29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705	29	-1270	973	4705
