Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37	0	-37	37	37
1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90	1	-53	53	90
2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230	2	-140	140	230
3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281	3	-150	51	281
4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312	4	-31	31	312
5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369	5	-57	57	369
6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528	6	-258	159	528
7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556	7	-28	28	556
8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622	8	-759	66	622
9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771	9	-248	149	771
10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636	10	-2558	1865	2636
11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766	11	-328	130	2766
