Episode	Accumulated Reward	Length	Steps
0	-1691	503	503
1	-66	66	569
2	-262	163	732
3	-60	60	792
4	-71	71	863
5	-83	83	946
6	-60	60	1006
7	-59	59	1065
8	-99	99	1164
9	-39	39	1203
10	-154	55	1258
11	-34	34	1292
12	-207	108	1400
13	-61	61	1461
14	-41	41	1502
15	-73	73	1575
16	-19	19	1594
17	-140	41	1635
18	-138	39	1674
19	-62	62	1736
20	-32	32	1768
21	-30	30	1798
22	-33	33	1831
23	-16	16	1847
24	-39	39	1886
25	-29	29	1915
26	-161	62	1977
27	-146	47	2024
28	-33	33	2057
29	-25	25	2082
30	-29	29	2111
31	-29	29	2140
32	-14	14	2154
33	-147	48	2202
34	-33	33	2235
35	-21	21	2256
36	-14	14	2270
37	-34	34	2304
38	-28	28	2332
39	-20	20	2352
40	-18	18	2370
41	-16	16	2386
42	-139	40	2426
43	-34	34	2460
44	-23	23	2483
45	-21	21	2504
46	-24	24	2528
47	-241	43	2571
48	-13	13	2584
49	-24	24	2608
50	-115	16	2624
51	-14	14	2638
52	-233	35	2673
53	-15	15	2688
54	-118	19	2707
55	-17	17	2724
56	-13	13	2737
57	-18	18	2755
58	-13	13	2768
59	-15	15	2783
60	-14	14	2797
61	-13	13	2810
62	-13	13	2823
63	-15	15	2838
64	-15	15	2853
65	-15	15	2868
66	-13	13	2881
67	-21	21	2902
68	-124	25	2927
69	-13	13	2940
70	-15	15	2955
71	-13	13	2968
72	-13	13	2981
73	-15	15	2996
74	-123	24	3020
75	-13	13	3033
76	-13	13	3046
77	-13	13	3059
78	-13	13	3072
79	-225	27	3099
80	-13	13	3112
81	-17	17	3129
82	-15	15	3144
83	-113	14	3158
84	-15	15	3173
85	-335	38	3211
86	-13	13	3224
87	-13	13	3237
88	-130	31	3268
89	-13	13	3281
90	-115	16	3297
91	-21	21	3318
92	-15	15	3333
93	-16	16	3349
94	-17	17	3366
95	-13	13	3379
96	-13	13	3392
97	-13	13	3405
98	-17	17	3422
99	-25	25	3447
100	-13	13	3460
101	-15	15	3475
102	-13	13	3488
103	-336	39	3527
104	-19	19	3546
105	-15	15	3561
106	-19	19	3580
107	-13	13	3593
108	-15	15	3608
109	-13	13	3621
110	-13	13	3634
111	-219	21	3655
112	-14	14	3669
113	-13	13	3682
114	-233	35	3717
115	-449	53	3770
116	-127	28	3798
117	-13	13	3811
118	-15	15	3826
119	-22	22	3848
120	-15	15	3863
121	-13	13	3876
122	-15	15	3891
123	-14	14	3905
124	-13	13	3918
125	-15	15	3933
126	-13	13	3946
127	-15	15	3961
128	-13	13	3974
129	-120	21	3995
130	-13	13	4008
131	-17	17	4025
132	-17	17	4042
133	-13	13	4055
134	-229	31	4086
135	-19	19	4105
136	-229	31	4136
137	-15	15	4151
138	-17	17	4168
139	-13	13	4181
140	-13	13	4194
141	-13	13	4207
142	-15	15	4222
143	-221	23	4245
144	-15	15	4260
145	-15	15	4275
146	-13	13	4288
147	-13	13	4301
148	-127	28	4329
149	-126	27	4356
150	-16	16	4372
151	-13	13	4385
152	-14	14	4399
153	-117	18	4417
154	-13	13	4430
155	-14	14	4444
156	-15	15	4459
157	-27	27	4486
158	-15	15	4501
159	-13	13	4514
160	-339	42	4556
161	-13	13	4569
162	-13	13	4582
163	-13	13	4595
164	-126	27	4622
165	-16	16	4638
166	-17	17	4655
167	-120	21	4676
168	-14	14	4690
169	-16	16	4706
170	-15	15	4721
171	-13	13	4734
172	-13	13	4747
173	-13	13	4760
174	-15	15	4775
175	-116	17	4792
176	-13	13	4805
177	-13	13	4818
178	-13	13	4831
179	-15	15	4846
180	-15	15	4861
181	-15	15	4876
182	-124	25	4901
183	-13	13	4914
184	-13	13	4927
185	-15	15	4942
186	-21	21	4963
187	-15	15	4978
188	-17	17	4995
189	-13	13	5008
190	-30	30	5038
191	-15	15	5053
192	-17	17	5070
193	-19	19	5089
194	-15	15	5104
195	-13	13	5117
196	-226	28	5145
197	-15	15	5160
198	-13	13	5173
199	-13	13	5186
