Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1506	417	417	0	-1506	417	417	0	-1506	417	417	0	-1506	417	417
1	-389	191	608	1	-389	191	608	1	-389	191	608	1	-389	191	608
2	-67	67	675	2	-67	67	675	2	-67	67	675	2	-67	67	675
3	-222	123	798	3	-222	123	798	3	-222	123	798	3	-222	123	798
4	-51	51	849	4	-51	51	849	4	-51	51	849	4	-51	51	849
5	-44	44	893	5	-44	44	893	5	-44	44	893	5	-44	44	893
6	-192	93	986	6	-192	93	986	6	-192	93	986	6	-192	93	986
7	-465	168	1154	7	-465	168	1154	7	-465	168	1154	7	-465	168	1154
8	-193	94	1248	8	-193	94	1248	8	-193	94	1248	8	-193	94	1248
9	-24	24	1272	9	-24	24	1272	9	-24	24	1272	9	-24	24	1272
10	-37	37	1309	10	-37	37	1309	10	-37	37	1309	10	-37	37	1309
11	-290	92	1401	11	-290	92	1401	11	-290	92	1401	11	-290	92	1401
12	-26	26	1427	12	-26	26	1427	12	-26	26	1427	12	-26	26	1427
13	-47	47	1474	13	-47	47	1474	13	-47	47	1474	13	-47	47	1474
14	-145	46	1520	14	-145	46	1520	14	-145	46	1520	14	-145	46	1520
15	-42	42	1562	15	-42	42	1562	15	-42	42	1562	15	-42	42	1562
16	-176	77	1639	16	-176	77	1639	16	-176	77	1639	16	-176	77	1639
17	-35	35	1674	17	-35	35	1674	17	-35	35	1674	17	-35	35	1674
18	-23	23	1697	18	-23	23	1697	18	-23	23	1697	18	-23	23	1697
19	-58	58	1755	19	-58	58	1755	19	-58	58	1755	19	-58	58	1755
20	-39	39	1794	20	-39	39	1794	20	-39	39	1794	20	-39	39	1794
21	-29	29	1823	21	-29	29	1823	21	-29	29	1823	21	-29	29	1823
22	-140	41	1864	22	-140	41	1864	22	-140	41	1864	22	-140	41	1864
23	-36	36	1900	23	-36	36	1900	23	-36	36	1900	23	-36	36	1900
24	-244	46	1946	24	-244	46	1946	24	-244	46	1946	24	-244	46	1946
25	-139	40	1986	25	-139	40	1986	25	-139	40	1986	25	-139	40	1986
26	-34	34	2020	26	-34	34	2020	26	-34	34	2020	26	-34	34	2020
27	-23	23	2043	27	-23	23	2043	27	-23	23	2043	27	-23	23	2043
28	-22	22	2065	28	-22	22	2065	28	-22	22	2065	28	-22	22	2065
29	-14	14	2079	29	-14	14	2079	29	-14	14	2079	29	-14	14	2079
30	-26	26	2105	30	-26	26	2105	30	-26	26	2105	30	-26	26	2105
31	-41	41	2146	31	-41	41	2146	31	-41	41	2146	31	-41	41	2146
32	-38	38	2184	32	-38	38	2184	32	-38	38	2184	32	-38	38	2184
33	-26	26	2210	33	-26	26	2210	33	-26	26	2210	33	-26	26	2210
34	-30	30	2240	34	-30	30	2240	34	-30	30	2240	34	-30	30	2240
35	-25	25	2265	35	-25	25	2265	35	-25	25	2265	35	-25	25	2265
36	-13	13	2278	36	-13	13	2278	36	-13	13	2278	36	-13	13	2278
37	-30	30	2308	37	-30	30	2308	37	-30	30	2308	37	-30	30	2308
38	-143	44	2352	38	-143	44	2352	38	-143	44	2352	38	-143	44	2352
39	-19	19	2371	39	-19	19	2371	39	-19	19	2371	39	-19	19	2371
40	-143	44	2415	40	-143	44	2415	40	-143	44	2415	40	-143	44	2415
41	-24	24	2439	41	-24	24	2439	41	-24	24	2439	41	-24	24	2439
42	-130	31	2470	42	-130	31	2470	42	-130	31	2470	42	-130	31	2470
43	-19	19	2489	43	-19	19	2489	43	-19	19	2489	43	-19	19	2489
44	-245	47	2536	44	-245	47	2536	44	-245	47	2536	44	-245	47	2536
45	-19	19	2555	45	-19	19	2555	45	-19	19	2555	45	-19	19	2555
46	-15	15	2570	46	-15	15	2570	46	-15	15	2570	46	-15	15	2570
47	-222	24	2594	47	-222	24	2594	47	-222	24	2594	47	-222	24	2594
48	-123	24	2618	48	-123	24	2618	48	-123	24	2618	48	-123	24	2618
49	-15	15	2633	49	-15	15	2633	49	-15	15	2633	49	-15	15	2633
50	-22	22	2655	50	-22	22	2655	50	-22	22	2655	50	-22	22	2655
51	-15	15	2670	51	-15	15	2670	51	-15	15	2670	51	-15	15	2670
52	-17	17	2687	52	-17	17	2687	52	-17	17	2687	52	-17	17	2687
53	-13	13	2700	53	-13	13	2700	53	-13	13	2700	53	-13	13	2700
54	-19	19	2719	54	-19	19	2719	54	-19	19	2719	54	-19	19	2719
55	-15	15	2734	55	-15	15	2734	55	-15	15	2734	55	-15	15	2734
56	-13	13	2747	56	-13	13	2747	56	-13	13	2747	56	-13	13	2747
57	-17	17	2764	57	-17	17	2764	57	-17	17	2764	57	-17	17	2764
58	-14	14	2778	58	-14	14	2778	58	-14	14	2778	58	-14	14	2778
59	-14	14	2792	59	-14	14	2792	59	-14	14	2792	59	-14	14	2792
60	-13	13	2805	60	-13	13	2805	60	-13	13	2805	60	-13	13	2805
61	-19	19	2824	61	-19	19	2824	61	-19	19	2824	61	-19	19	2824
62	-115	16	2840	62	-115	16	2840	62	-115	16	2840	62	-115	16	2840
63	-19	19	2859	63	-19	19	2859	63	-19	19	2859	63	-19	19	2859
64	-15	15	2874	64	-15	15	2874	64	-15	15	2874	64	-15	15	2874
65	-19	19	2893	65	-19	19	2893	65	-19	19	2893	65	-19	19	2893
66	-116	17	2910	66	-116	17	2910	66	-116	17	2910	66	-116	17	2910
67	-19	19	2929	67	-19	19	2929	67	-19	19	2929	67	-19	19	2929
68	-118	19	2948	68	-118	19	2948	68	-118	19	2948	68	-118	19	2948
69	-15	15	2963	69	-15	15	2963	69	-15	15	2963	69	-15	15	2963
70	-120	21	2984	70	-120	21	2984	70	-120	21	2984	70	-120	21	2984
71	-135	36	3020	71	-135	36	3020	71	-135	36	3020	71	-135	36	3020
72	-13	13	3033	72	-13	13	3033	72	-13	13	3033	72	-13	13	3033
73	-16	16	3049	73	-16	16	3049	73	-16	16	3049	73	-16	16	3049
74	-226	28	3077	74	-226	28	3077	74	-226	28	3077	74	-226	28	3077
75	-115	16	3093	75	-115	16	3093	75	-115	16	3093	75	-115	16	3093
76	-13	13	3106	76	-13	13	3106	76	-13	13	3106	76	-13	13	3106
77	-13	13	3119	77	-13	13	3119	77	-13	13	3119	77	-13	13	3119
78	-13	13	3132	78	-13	13	3132	78	-13	13	3132	78	-13	13	3132
79	-218	20	3152	79	-218	20	3152	79	-218	20	3152	79	-218	20	3152
80	-14	14	3166	80	-14	14	3166	80	-14	14	3166	80	-14	14	3166
81	-113	14	3180	81	-113	14	3180	81	-113	14	3180	81	-113	14	3180
82	-123	24	3204	82	-123	24	3204	82	-123	24	3204	82	-123	24	3204
83	-19	19	3223	83	-19	19	3223	83	-19	19	3223	83	-19	19	3223
84	-15	15	3238	84	-15	15	3238	84	-15	15	3238	84	-15	15	3238
85	-216	18	3256	85	-216	18	3256	85	-216	18	3256	85	-216	18	3256
86	-13	13	3269	86	-13	13	3269	86	-13	13	3269	86	-13	13	3269
87	-120	21	3290	87	-120	21	3290	87	-120	21	3290	87	-120	21	3290
88	-17	17	3307	88	-17	17	3307	88	-17	17	3307	88	-17	17	3307
89	-17	17	3324	89	-17	17	3324	89	-17	17	3324	89	-17	17	3324
90	-13	13	3337	90	-13	13	3337	90	-13	13	3337	90	-13	13	3337
91	-13	13	3350	91	-13	13	3350	91	-13	13	3350	91	-13	13	3350
92	-118	19	3369	92	-118	19	3369	92	-118	19	3369	92	-118	19	3369
93	-14	14	3383	93	-14	14	3383	93	-14	14	3383	93	-14	14	3383
94	-17	17	3400	94	-17	17	3400	94	-17	17	3400	94	-17	17	3400
95	-119	20	3420	95	-119	20	3420	95	-119	20	3420	95	-119	20	3420
96	-13	13	3433	96	-13	13	3433	96	-13	13	3433	96	-13	13	3433
97	-13	13	3446	97	-13	13	3446	97	-13	13	3446	97	-13	13	3446
98	-124	25	3471	98	-124	25	3471	98	-124	25	3471	98	-124	25	3471
99	-15	15	3486	99	-15	15	3486	99	-15	15	3486	99	-15	15	3486
100	-16	16	3502	100	-16	16	3502	100	-16	16	3502	100	-16	16	3502
101	-15	15	3517	101	-15	15	3517	101	-15	15	3517	101	-15	15	3517
102	-14	14	3531	102	-14	14	3531	102	-14	14	3531	102	-14	14	3531
103	-14	14	3545	103	-14	14	3545	103	-14	14	3545	103	-14	14	3545
104	-13	13	3558	104	-13	13	3558	104	-13	13	3558	104	-13	13	3558
105	-13	13	3571	105	-13	13	3571	105	-13	13	3571	105	-13	13	3571
106	-20	20	3591	106	-20	20	3591	106	-20	20	3591	106	-20	20	3591
107	-121	22	3613	107	-121	22	3613	107	-121	22	3613	107	-121	22	3613
108	-233	35	3648	108	-233	35	3648	108	-233	35	3648	108	-233	35	3648
109	-20	20	3668	109	-20	20	3668	109	-20	20	3668	109	-20	20	3668
110	-13	13	3681	110	-13	13	3681	110	-13	13	3681	110	-13	13	3681
111	-15	15	3696	111	-15	15	3696	111	-15	15	3696	111	-15	15	3696
112	-13	13	3709	112	-13	13	3709	112	-13	13	3709	112	-13	13	3709
113	-21	21	3730	113	-21	21	3730	113	-21	21	3730	113	-21	21	3730
114	-13	13	3743	114	-13	13	3743	114	-13	13	3743	114	-13	13	3743
115	-118	19	3762	115	-118	19	3762	115	-118	19	3762	115	-118	19	3762
116	-13	13	3775	116	-13	13	3775	116	-13	13	3775	116	-13	13	3775
117	-15	15	3790	117	-15	15	3790	117	-15	15	3790	117	-15	15	3790
118	-124	25	3815	118	-124	25	3815	118	-124	25	3815	118	-124	25	3815
119	-330	33	3848	119	-330	33	3848	119	-330	33	3848	119	-330	33	3848
120	-126	27	3875	120	-126	27	3875	120	-126	27	3875	120	-126	27	3875
121	-15	15	3890	121	-15	15	3890	121	-15	15	3890	121	-15	15	3890
122	-17	17	3907	122	-17	17	3907	122	-17	17	3907	122	-17	17	3907
123	-13	13	3920	123	-13	13	3920	123	-13	13	3920	123	-13	13	3920
124	-123	24	3944	124	-123	24	3944	124	-123	24	3944	124	-123	24	3944
125	-13	13	3957	125	-13	13	3957	125	-13	13	3957	125	-13	13	3957
126	-113	14	3971	126	-113	14	3971	126	-113	14	3971	126	-113	14	3971
127	-122	23	3994	127	-122	23	3994	127	-122	23	3994	127	-122	23	3994
128	-13	13	4007	128	-13	13	4007	128	-13	13	4007	128	-13	13	4007
129	-15	15	4022	129	-15	15	4022	129	-15	15	4022	129	-15	15	4022
130	-20	20	4042	130	-20	20	4042	130	-20	20	4042	130	-20	20	4042
131	-13	13	4055	131	-13	13	4055	131	-13	13	4055	131	-13	13	4055
132	-115	16	4071	132	-115	16	4071	132	-115	16	4071	132	-115	16	4071
133	-13	13	4084	133	-13	13	4084	133	-13	13	4084	133	-13	13	4084
134	-13	13	4097	134	-13	13	4097	134	-13	13	4097	134	-13	13	4097
135	-119	20	4117	135	-119	20	4117	135	-119	20	4117	135	-119	20	4117
136	-13	13	4130	136	-13	13	4130	136	-13	13	4130	136	-13	13	4130
137	-118	19	4149	137	-118	19	4149	137	-118	19	4149	137	-118	19	4149
138	-120	21	4170	138	-120	21	4170	138	-120	21	4170	138	-120	21	4170
139	-13	13	4183	139	-13	13	4183	139	-13	13	4183	139	-13	13	4183
140	-13	13	4196	140	-13	13	4196	140	-13	13	4196	140	-13	13	4196
141	-13	13	4209	141	-13	13	4209	141	-13	13	4209	141	-13	13	4209
142	-13	13	4222	142	-13	13	4222	142	-13	13	4222	142	-13	13	4222
143	-13	13	4235	143	-13	13	4235	143	-13	13	4235	143	-13	13	4235
144	-13	13	4248	144	-13	13	4248	144	-13	13	4248	144	-13	13	4248
145	-13	13	4261	145	-13	13	4261	145	-13	13	4261	145	-13	13	4261
146	-13	13	4274	146	-13	13	4274	146	-13	13	4274	146	-13	13	4274
