Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1542	453	453	0	-1542	453	453	0	-1542	453	453	0	-1542	453	453	0	-1542	453	453	0	-1542	453	453	0	-1542	453	453
1	-614	218	671	1	-614	218	671	1	-614	218	671	1	-614	218	671	1	-614	218	671	1	-614	218	671	1	-614	218	671
2	-98	98	769	2	-98	98	769	2	-98	98	769	2	-98	98	769	2	-98	98	769	2	-98	98	769	2	-98	98	769
3	-48	48	817	3	-48	48	817	3	-48	48	817	3	-48	48	817	3	-48	48	817	3	-48	48	817	3	-48	48	817
4	-63	63	880	4	-63	63	880	4	-63	63	880	4	-63	63	880	4	-63	63	880	4	-63	63	880	4	-63	63	880
5	-58	58	938	5	-58	58	938	5	-58	58	938	5	-58	58	938	5	-58	58	938	5	-58	58	938	5	-58	58	938
6	-218	119	1057	6	-218	119	1057	6	-218	119	1057	6	-218	119	1057	6	-218	119	1057	6	-218	119	1057	6	-218	119	1057
7	-175	76	1133	7	-175	76	1133	7	-175	76	1133	7	-175	76	1133	7	-175	76	1133	7	-175	76	1133	7	-175	76	1133
8	-296	98	1231	8	-296	98	1231	8	-296	98	1231	8	-296	98	1231	8	-296	98	1231	8	-296	98	1231	8	-296	98	1231
9	-171	72	1303	9	-171	72	1303	9	-171	72	1303	9	-171	72	1303	9	-171	72	1303	9	-171	72	1303	9	-171	72	1303
10	-55	55	1358	10	-55	55	1358	10	-55	55	1358	10	-55	55	1358	10	-55	55	1358	10	-55	55	1358	10	-55	55	1358
11	-29	29	1387	11	-29	29	1387	11	-29	29	1387	11	-29	29	1387	11	-29	29	1387	11	-29	29	1387	11	-29	29	1387
12	-59	59	1446	12	-59	59	1446	12	-59	59	1446	12	-59	59	1446	12	-59	59	1446	12	-59	59	1446	12	-59	59	1446
13	-375	78	1524	13	-375	78	1524	13	-375	78	1524	13	-375	78	1524	13	-375	78	1524	13	-375	78	1524	13	-375	78	1524
14	-42	42	1566	14	-42	42	1566	14	-42	42	1566	14	-42	42	1566	14	-42	42	1566	14	-42	42	1566	14	-42	42	1566
15	-55	55	1621	15	-55	55	1621	15	-55	55	1621	15	-55	55	1621	15	-55	55	1621	15	-55	55	1621	15	-55	55	1621
16	-38	38	1659	16	-38	38	1659	16	-38	38	1659	16	-38	38	1659	16	-38	38	1659	16	-38	38	1659	16	-38	38	1659
17	-20	20	1679	17	-20	20	1679	17	-20	20	1679	17	-20	20	1679	17	-20	20	1679	17	-20	20	1679	17	-20	20	1679
18	-29	29	1708	18	-29	29	1708	18	-29	29	1708	18	-29	29	1708	18	-29	29	1708	18	-29	29	1708	18	-29	29	1708
19	-36	36	1744	19	-36	36	1744	19	-36	36	1744	19	-36	36	1744	19	-36	36	1744	19	-36	36	1744	19	-36	36	1744
20	-57	57	1801	20	-57	57	1801	20	-57	57	1801	20	-57	57	1801	20	-57	57	1801	20	-57	57	1801	20	-57	57	1801
21	-25	25	1826	21	-25	25	1826	21	-25	25	1826	21	-25	25	1826	21	-25	25	1826	21	-25	25	1826	21	-25	25	1826
22	-46	46	1872	22	-46	46	1872	22	-46	46	1872	22	-46	46	1872	22	-46	46	1872	22	-46	46	1872	22	-46	46	1872
23	-29	29	1901	23	-29	29	1901	23	-29	29	1901	23	-29	29	1901	23	-29	29	1901	23	-29	29	1901	23	-29	29	1901
24	-23	23	1924	24	-23	23	1924	24	-23	23	1924	24	-23	23	1924	24	-23	23	1924	24	-23	23	1924	24	-23	23	1924
25	-30	30	1954	25	-30	30	1954	25	-30	30	1954	25	-30	30	1954	25	-30	30	1954	25	-30	30	1954	25	-30	30	1954
26	-48	48	2002	26	-48	48	2002	26	-48	48	2002	26	-48	48	2002	26	-48	48	2002	26	-48	48	2002	26	-48	48	2002
27	-28	28	2030	27	-28	28	2030	27	-28	28	2030	27	-28	28	2030	27	-28	28	2030	27	-28	28	2030	27	-28	28	2030
28	-14	14	2044	28	-14	14	2044	28	-14	14	2044	28	-14	14	2044	28	-14	14	2044	28	-14	14	2044	28	-14	14	2044
29	-24	24	2068	29	-24	24	2068	29	-24	24	2068	29	-24	24	2068	29	-24	24	2068	29	-24	24	2068	29	-24	24	2068
30	-27	27	2095	30	-27	27	2095	30	-27	27	2095	30	-27	27	2095	30	-27	27	2095	30	-27	27	2095	30	-27	27	2095
31	-162	63	2158	31	-162	63	2158	31	-162	63	2158	31	-162	63	2158	31	-162	63	2158	31	-162	63	2158	31	-162	63	2158
32	-14	14	2172	32	-14	14	2172	32	-14	14	2172	32	-14	14	2172	32	-14	14	2172	32	-14	14	2172	32	-14	14	2172
33	-27	27	2199	33	-27	27	2199	33	-27	27	2199	33	-27	27	2199	33	-27	27	2199	33	-27	27	2199	33	-27	27	2199
34	-144	45	2244	34	-144	45	2244	34	-144	45	2244	34	-144	45	2244	34	-144	45	2244	34	-144	45	2244	34	-144	45	2244
35	-13	13	2257	35	-13	13	2257	35	-13	13	2257	35	-13	13	2257	35	-13	13	2257	35	-13	13	2257	35	-13	13	2257
36	-30	30	2287	36	-30	30	2287	36	-30	30	2287	36	-30	30	2287	36	-30	30	2287	36	-30	30	2287	36	-30	30	2287
37	-25	25	2312	37	-25	25	2312	37	-25	25	2312	37	-25	25	2312	37	-25	25	2312	37	-25	25	2312	37	-25	25	2312
38	-30	30	2342	38	-30	30	2342	38	-30	30	2342	38	-30	30	2342	38	-30	30	2342	38	-30	30	2342	38	-30	30	2342
39	-40	40	2382	39	-40	40	2382	39	-40	40	2382	39	-40	40	2382	39	-40	40	2382	39	-40	40	2382	39	-40	40	2382
40	-128	29	2411	40	-128	29	2411	40	-128	29	2411	40	-128	29	2411	40	-128	29	2411	40	-128	29	2411	40	-128	29	2411
41	-137	38	2449	41	-137	38	2449	41	-137	38	2449	41	-137	38	2449	41	-137	38	2449	41	-137	38	2449	41	-137	38	2449
42	-18	18	2467	42	-18	18	2467	42	-18	18	2467	42	-18	18	2467	42	-18	18	2467	42	-18	18	2467	42	-18	18	2467
43	-13	13	2480	43	-13	13	2480	43	-13	13	2480	43	-13	13	2480	43	-13	13	2480	43	-13	13	2480	43	-13	13	2480
44	-18	18	2498	44	-18	18	2498	44	-18	18	2498	44	-18	18	2498	44	-18	18	2498	44	-18	18	2498	44	-18	18	2498
45	-23	23	2521	45	-23	23	2521	45	-23	23	2521	45	-23	23	2521	45	-23	23	2521	45	-23	23	2521	45	-23	23	2521
46	-13	13	2534	46	-13	13	2534	46	-13	13	2534	46	-13	13	2534	46	-13	13	2534	46	-13	13	2534	46	-13	13	2534
47	-21	21	2555	47	-21	21	2555	47	-21	21	2555	47	-21	21	2555	47	-21	21	2555	47	-21	21	2555	47	-21	21	2555
48	-16	16	2571	48	-16	16	2571	48	-16	16	2571	48	-16	16	2571	48	-16	16	2571	48	-16	16	2571	48	-16	16	2571
49	-23	23	2594	49	-23	23	2594	49	-23	23	2594	49	-23	23	2594	49	-23	23	2594	49	-23	23	2594	49	-23	23	2594
50	-15	15	2609	50	-15	15	2609	50	-15	15	2609	50	-15	15	2609	50	-15	15	2609	50	-15	15	2609	50	-15	15	2609
51	-15	15	2624	51	-15	15	2624	51	-15	15	2624	51	-15	15	2624	51	-15	15	2624	51	-15	15	2624	51	-15	15	2624
52	-143	44	2668	52	-143	44	2668	52	-143	44	2668	52	-143	44	2668	52	-143	44	2668	52	-143	44	2668	52	-143	44	2668
53	-21	21	2689	53	-21	21	2689	53	-21	21	2689	53	-21	21	2689	53	-21	21	2689	53	-21	21	2689	53	-21	21	2689
54	-13	13	2702	54	-13	13	2702	54	-13	13	2702	54	-13	13	2702	54	-13	13	2702	54	-13	13	2702	54	-13	13	2702
55	-13	13	2715	55	-13	13	2715	55	-13	13	2715	55	-13	13	2715	55	-13	13	2715	55	-13	13	2715	55	-13	13	2715
56	-19	19	2734	56	-19	19	2734	56	-19	19	2734	56	-19	19	2734	56	-19	19	2734	56	-19	19	2734	56	-19	19	2734
57	-15	15	2749	57	-15	15	2749	57	-15	15	2749	57	-15	15	2749	57	-15	15	2749	57	-15	15	2749	57	-15	15	2749
58	-116	17	2766	58	-116	17	2766	58	-116	17	2766	58	-116	17	2766	58	-116	17	2766	58	-116	17	2766	58	-116	17	2766
59	-28	28	2794	59	-28	28	2794	59	-28	28	2794	59	-28	28	2794	59	-28	28	2794	59	-28	28	2794	59	-28	28	2794
60	-13	13	2807	60	-13	13	2807	60	-13	13	2807	60	-13	13	2807	60	-13	13	2807	60	-13	13	2807	60	-13	13	2807
61	-13	13	2820	61	-13	13	2820	61	-13	13	2820	61	-13	13	2820	61	-13	13	2820	61	-13	13	2820	61	-13	13	2820
62	-129	30	2850	62	-129	30	2850	62	-129	30	2850	62	-129	30	2850	62	-129	30	2850	62	-129	30	2850	62	-129	30	2850
63	-13	13	2863	63	-13	13	2863	63	-13	13	2863	63	-13	13	2863	63	-13	13	2863	63	-13	13	2863	63	-13	13	2863
64	-16	16	2879	64	-16	16	2879	64	-16	16	2879	64	-16	16	2879	64	-16	16	2879	64	-16	16	2879	64	-16	16	2879
65	-15	15	2894	65	-15	15	2894	65	-15	15	2894	65	-15	15	2894	65	-15	15	2894	65	-15	15	2894	65	-15	15	2894
66	-13	13	2907	66	-13	13	2907	66	-13	13	2907	66	-13	13	2907	66	-13	13	2907	66	-13	13	2907	66	-13	13	2907
67	-13	13	2920	67	-13	13	2920	67	-13	13	2920	67	-13	13	2920	67	-13	13	2920	67	-13	13	2920	67	-13	13	2920
68	-117	18	2938	68	-117	18	2938	68	-117	18	2938	68	-117	18	2938	68	-117	18	2938	68	-117	18	2938	68	-117	18	2938
69	-126	27	2965	69	-126	27	2965	69	-126	27	2965	69	-126	27	2965	69	-126	27	2965	69	-126	27	2965	69	-126	27	2965
70	-213	15	2980	70	-213	15	2980	70	-213	15	2980	70	-213	15	2980	70	-213	15	2980	70	-213	15	2980	70	-213	15	2980
71	-115	16	2996	71	-115	16	2996	71	-115	16	2996	71	-115	16	2996	71	-115	16	2996	71	-115	16	2996	71	-115	16	2996
72	-15	15	3011	72	-15	15	3011	72	-15	15	3011	72	-15	15	3011	72	-15	15	3011	72	-15	15	3011	72	-15	15	3011
73	-13	13	3024	73	-13	13	3024	73	-13	13	3024	73	-13	13	3024	73	-13	13	3024	73	-13	13	3024	73	-13	13	3024
74	-17	17	3041	74	-17	17	3041	74	-17	17	3041	74	-17	17	3041	74	-17	17	3041	74	-17	17	3041	74	-17	17	3041
75	-13	13	3054	75	-13	13	3054	75	-13	13	3054	75	-13	13	3054	75	-13	13	3054	75	-13	13	3054	75	-13	13	3054
76	-13	13	3067	76	-13	13	3067	76	-13	13	3067	76	-13	13	3067	76	-13	13	3067	76	-13	13	3067	76	-13	13	3067
77	-123	24	3091	77	-123	24	3091	77	-123	24	3091	77	-123	24	3091	77	-123	24	3091	77	-123	24	3091	77	-123	24	3091
78	-121	22	3113	78	-121	22	3113	78	-121	22	3113	78	-121	22	3113	78	-121	22	3113	78	-121	22	3113	78	-121	22	3113
79	-116	17	3130	79	-116	17	3130	79	-116	17	3130	79	-116	17	3130	79	-116	17	3130	79	-116	17	3130	79	-116	17	3130
80	-13	13	3143	80	-13	13	3143	80	-13	13	3143	80	-13	13	3143	80	-13	13	3143	80	-13	13	3143	80	-13	13	3143
81	-13	13	3156	81	-13	13	3156	81	-13	13	3156	81	-13	13	3156	81	-13	13	3156	81	-13	13	3156	81	-13	13	3156
82	-120	21	3177	82	-120	21	3177	82	-120	21	3177	82	-120	21	3177	82	-120	21	3177	82	-120	21	3177	82	-120	21	3177
83	-121	22	3199	83	-121	22	3199	83	-121	22	3199	83	-121	22	3199	83	-121	22	3199	83	-121	22	3199	83	-121	22	3199
84	-16	16	3215	84	-16	16	3215	84	-16	16	3215	84	-16	16	3215	84	-16	16	3215	84	-16	16	3215	84	-16	16	3215
85	-13	13	3228	85	-13	13	3228	85	-13	13	3228	85	-13	13	3228	85	-13	13	3228	85	-13	13	3228	85	-13	13	3228
86	-113	14	3242	86	-113	14	3242	86	-113	14	3242	86	-113	14	3242	86	-113	14	3242	86	-113	14	3242	86	-113	14	3242
87	-221	23	3265	87	-221	23	3265	87	-221	23	3265	87	-221	23	3265	87	-221	23	3265	87	-221	23	3265	87	-221	23	3265
88	-127	28	3293	88	-127	28	3293	88	-127	28	3293	88	-127	28	3293	88	-127	28	3293	88	-127	28	3293	88	-127	28	3293
89	-15	15	3308	89	-15	15	3308	89	-15	15	3308	89	-15	15	3308	89	-15	15	3308	89	-15	15	3308	89	-15	15	3308
90	-15	15	3323	90	-15	15	3323	90	-15	15	3323	90	-15	15	3323	90	-15	15	3323	90	-15	15	3323	90	-15	15	3323
91	-15	15	3338	91	-15	15	3338	91	-15	15	3338	91	-15	15	3338	91	-15	15	3338	91	-15	15	3338	91	-15	15	3338
92	-13	13	3351	92	-13	13	3351	92	-13	13	3351	92	-13	13	3351	92	-13	13	3351	92	-13	13	3351	92	-13	13	3351
93	-123	24	3375	93	-123	24	3375	93	-123	24	3375	93	-123	24	3375	93	-123	24	3375	93	-123	24	3375	93	-123	24	3375
94	-13	13	3388	94	-13	13	3388	94	-13	13	3388	94	-13	13	3388	94	-13	13	3388	94	-13	13	3388	94	-13	13	3388
95	-13	13	3401	95	-13	13	3401	95	-13	13	3401	95	-13	13	3401	95	-13	13	3401	95	-13	13	3401	95	-13	13	3401
96	-17	17	3418	96	-17	17	3418	96	-17	17	3418	96	-17	17	3418	96	-17	17	3418	96	-17	17	3418	96	-17	17	3418
97	-116	17	3435	97	-116	17	3435	97	-116	17	3435	97	-116	17	3435	97	-116	17	3435	97	-116	17	3435	97	-116	17	3435
98	-13	13	3448	98	-13	13	3448	98	-13	13	3448	98	-13	13	3448	98	-13	13	3448	98	-13	13	3448	98	-13	13	3448
99	-117	18	3466	99	-117	18	3466	99	-117	18	3466	99	-117	18	3466	99	-117	18	3466	99	-117	18	3466	99	-117	18	3466
100	-13	13	3479	100	-13	13	3479	100	-13	13	3479	100	-13	13	3479	100	-13	13	3479	100	-13	13	3479	100	-13	13	3479
101	-28	28	3507	101	-28	28	3507	101	-28	28	3507	101	-28	28	3507	101	-28	28	3507	101	-28	28	3507	101	-28	28	3507
102	-13	13	3520	102	-13	13	3520	102	-13	13	3520	102	-13	13	3520	102	-13	13	3520	102	-13	13	3520	102	-13	13	3520
103	-126	27	3547	103	-126	27	3547	103	-126	27	3547	103	-126	27	3547	103	-126	27	3547	103	-126	27	3547	103	-126	27	3547
104	-23	23	3570	104	-23	23	3570	104	-23	23	3570	104	-23	23	3570	104	-23	23	3570	104	-23	23	3570	104	-23	23	3570
105	-13	13	3583	105	-13	13	3583	105	-13	13	3583	105	-13	13	3583	105	-13	13	3583	105	-13	13	3583	105	-13	13	3583
106	-114	15	3598	106	-114	15	3598	106	-114	15	3598	106	-114	15	3598	106	-114	15	3598	106	-114	15	3598	106	-114	15	3598
107	-13	13	3611	107	-13	13	3611	107	-13	13	3611	107	-13	13	3611	107	-13	13	3611	107	-13	13	3611	107	-13	13	3611
108	-13	13	3624	108	-13	13	3624	108	-13	13	3624	108	-13	13	3624	108	-13	13	3624	108	-13	13	3624	108	-13	13	3624
109	-15	15	3639	109	-15	15	3639	109	-15	15	3639	109	-15	15	3639	109	-15	15	3639	109	-15	15	3639	109	-15	15	3639
110	-15	15	3654	110	-15	15	3654	110	-15	15	3654	110	-15	15	3654	110	-15	15	3654	110	-15	15	3654	110	-15	15	3654
111	-15	15	3669	111	-15	15	3669	111	-15	15	3669	111	-15	15	3669	111	-15	15	3669	111	-15	15	3669	111	-15	15	3669
112	-13	13	3682	112	-13	13	3682	112	-13	13	3682	112	-13	13	3682	112	-13	13	3682	112	-13	13	3682	112	-13	13	3682
113	-13	13	3695	113	-13	13	3695	113	-13	13	3695	113	-13	13	3695	113	-13	13	3695	113	-13	13	3695	113	-13	13	3695
114	-117	18	3713	114	-117	18	3713	114	-117	18	3713	114	-117	18	3713	114	-117	18	3713	114	-117	18	3713	114	-117	18	3713
115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726	115	-13	13	3726
116	-222	24	3750	116	-222	24	3750	116	-222	24	3750	116	-222	24	3750	116	-222	24	3750	116	-222	24	3750	116	-222	24	3750
117	-15	15	3765	117	-15	15	3765	117	-15	15	3765	117	-15	15	3765	117	-15	15	3765	117	-15	15	3765	117	-15	15	3765
118	-117	18	3783	118	-117	18	3783	118	-117	18	3783	118	-117	18	3783	118	-117	18	3783	118	-117	18	3783	118	-117	18	3783
119	-14	14	3797	119	-14	14	3797	119	-14	14	3797	119	-14	14	3797	119	-14	14	3797	119	-14	14	3797	119	-14	14	3797
120	-13	13	3810	120	-13	13	3810	120	-13	13	3810	120	-13	13	3810	120	-13	13	3810	120	-13	13	3810	120	-13	13	3810
121	-14	14	3824	121	-14	14	3824	121	-14	14	3824	121	-14	14	3824	121	-14	14	3824	121	-14	14	3824	121	-14	14	3824
122	-13	13	3837	122	-13	13	3837	122	-13	13	3837	122	-13	13	3837	122	-13	13	3837	122	-13	13	3837	122	-13	13	3837
