Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496	0	-1585	496	496
1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611	1	-115	115	611
2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725	2	-213	114	725
3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816	3	-91	91	816
4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883	4	-67	67	883
5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951	5	-167	68	951
6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016	6	-164	65	1016
7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070	7	-54	54	1070
8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156	8	-185	86	1156
9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236	9	-80	80	1236
10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288	10	-151	52	1288
11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318	11	-30	30	1318
12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391	12	-73	73	1391
13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462	13	-71	71	1462
14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493	14	-31	31	1493
