Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613	0	-1999	613	613
1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687	1	-173	74	687
2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733	2	-46	46	733
3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823	3	-90	90	823
4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895	4	-171	72	895
5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020	5	-224	125	1020
6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096	6	-76	76	1096
7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144	7	-147	48	1144
8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254	8	-209	110	1254
9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289	9	-35	35	1289
10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349	10	-60	60	1349
11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416	11	-166	67	1416
12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471	12	-154	55	1471
13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533	13	-62	62	1533
14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577	14	-143	44	1577
15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605	15	-28	28	1605
16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656	16	-51	51	1656
17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695	17	-39	39	1695
18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756	18	-160	61	1756
19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806	19	-50	50	1806
20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828	20	-22	22	1828
21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850	21	-22	22	1850
22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912	22	-161	62	1912
23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948	23	-36	36	1948
24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990	24	-240	42	1990
25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057	25	-265	67	2057
26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093	26	-36	36	2093
27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122	27	-29	29	2122
28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148	28	-26	26	2148
29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169	29	-21	21	2169
30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187	30	-18	18	2187
31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211	31	-24	24	2211
32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250	32	-39	39	2250
33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277	33	-27	27	2277
34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297	34	-20	20	2297
35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329	35	-32	32	2329
36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357	36	-28	28	2357
37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379	37	-22	22	2379
38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399	38	-20	20	2399
39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435	39	-135	36	2435
40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478	40	-142	43	2478
41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506	41	-28	28	2506
42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523	42	-17	17	2523
43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571	43	-147	48	2571
44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599	44	-127	28	2599
45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617	45	-18	18	2617
46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637	46	-119	20	2637
47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657	47	-20	20	2657
48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674	48	-17	17	2674
49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687	49	-13	13	2687
50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710	50	-23	23	2710
51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724	51	-14	14	2724
52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739	52	-15	15	2739
53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752	53	-13	13	2752
54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765	54	-13	13	2765
55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782	55	-17	17	2782
56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795	56	-13	13	2795
57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820	57	-124	25	2820
58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842	58	-121	22	2842
59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861	59	-19	19	2861
60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874	60	-13	13	2874
61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887	61	-13	13	2887
62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906	62	-118	19	2906
63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919	63	-13	13	2919
64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934	64	-15	15	2934
65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947	65	-13	13	2947
66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964	66	-17	17	2964
67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986	67	-121	22	2986
68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031	68	-243	45	3031
69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045	69	-113	14	3045
70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062	70	-17	17	3062
71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085	71	-122	23	3085
72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111	72	-125	26	3111
73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131	73	-119	20	3131
74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146	74	-15	15	3146
75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168	75	-121	22	3168
76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181	76	-13	13	3181
77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194	77	-13	13	3194
78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209	78	-15	15	3209
79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222	79	-13	13	3222
80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241	80	-118	19	3241
