Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513	0	-1998	513	513
1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651	1	-237	138	651
2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771	2	-219	120	771
3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830	3	-59	59	830
4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934	4	-104	104	934
5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055	5	-220	121	1055
6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170	6	-313	115	1170
7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199	7	-29	29	1199
8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248	8	-49	49	1248
9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313	9	-164	65	1313
10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337	10	-24	24	1337
11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396	11	-59	59	1396
12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468	12	-171	72	1468
13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497	13	-29	29	1497
14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538	14	-140	41	1538
15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581	15	-43	43	1581
16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640	16	-59	59	1640
17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659	17	-19	19	1659
18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707	18	-48	48	1707
19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741	19	-34	34	1741
20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771	20	-30	30	1771
21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807	21	-36	36	1807
22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851	22	-44	44	1851
23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868	23	-17	17	1868
