Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490	0	-2074	490	490
1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724	1	-531	234	724
2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809	2	-85	85	809
3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883	3	-74	74	883
4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927	4	-44	44	927
5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025	5	-98	98	1025
6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106	6	-180	81	1106
7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154	7	-48	48	1154
8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207	8	-53	53	1207
9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276	9	-69	69	1276
10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350	10	-74	74	1350
11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375	11	-25	25	1375
12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508	12	-232	133	1508
13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541	13	-33	33	1541
14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562	14	-21	21	1562
15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608	15	-46	46	1608
