Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541	0	-2026	541	541
1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607	1	-66	66	607
2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741	2	-332	134	741
3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837	3	-96	96	837
4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925	4	-88	88	925
5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007	5	-181	82	1007
6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141	6	-332	134	1141
7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230	7	-89	89	1230
8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263	8	-33	33	1263
9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351	9	-187	88	1351
