Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578	0	-2162	578	578
1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695	1	-216	117	695
2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743	2	-48	48	743
3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814	3	-71	71	814
4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928	4	-114	114	928
5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040	5	-310	112	1040
6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140	6	-100	100	1140
7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174	7	-34	34	1174
8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253	8	-178	79	1253
9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369	9	-314	116	1369
