Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578	0	-1766	578	578
1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651	1	-73	73	651
2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697	2	-46	46	697
3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811	3	-213	114	811
4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906	4	-194	95	906
5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953	5	-146	47	953
6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060	6	-206	107	1060
7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122	7	-62	62	1122
8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170	8	-48	48	1170
9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236	9	-66	66	1236
10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298	10	-62	62	1298
11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334	11	-36	36	1334
12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388	12	-54	54	1388
