Episode	Accumulated Reward	Length	Steps
0	-2035	550	550
1	-237	138	688
2	-191	92	780
3	-74	74	854
4	-31	31	885
5	-113	113	998
6	-199	100	1098
7	-35	35	1133
8	-178	79	1212
9	-332	134	1346
10	-70	70	1416
11	-52	52	1468
12	-59	59	1527
13	-47	47	1574
14	-37	37	1611
15	-40	40	1651
16	-45	45	1696
17	-31	31	1727
18	-147	48	1775
19	-60	60	1835
20	-39	39	1874
21	-180	81	1955
22	-52	52	2007
23	-22	22	2029
24	-125	26	2055
25	-25	25	2080
26	-29	29	2109
27	-41	41	2150
28	-43	43	2193
29	-35	35	2228
30	-136	37	2265
31	-382	85	2350
32	-40	40	2390
33	-34	34	2424
34	-41	41	2465
35	-29	29	2494
36	-23	23	2517
37	-26	26	2543
38	-123	24	2567
39	-28	28	2595
40	-23	23	2618
41	-27	27	2645
42	-28	28	2673
43	-21	21	2694
44	-21	21	2715
45	-26	26	2741
46	-26	26	2767
47	-22	22	2789
48	-17	17	2806
49	-19	19	2825
50	-25	25	2850
51	-17	17	2867
52	-21	21	2888
53	-139	40	2928
54	-29	29	2957
55	-18	18	2975
56	-23	23	2998
57	-21	21	3019
58	-126	27	3046
59	-24	24	3070
60	-21	21	3091
61	-39	39	3130
62	-23	23	3153
63	-19	19	3172
64	-26	26	3198
65	-188	89	3287
66	-34	34	3321
67	-25	25	3346
68	-145	46	3392
69	-33	33	3425
70	-17	17	3442
71	-32	32	3474
72	-19	19	3493
73	-27	27	3520
74	-26	26	3546
75	-18	18	3564
76	-21	21	3585
77	-24	24	3609
78	-19	19	3628
79	-20	20	3648
80	-19	19	3667
81	-19	19	3686
82	-27	27	3713
83	-25	25	3738
84	-17	17	3755
85	-24	24	3779
86	-19	19	3798
87	-22	22	3820
88	-21	21	3841
89	-17	17	3858
90	-20	20	3878
91	-17	17	3895
92	-23	23	3918
93	-37	37	3955
94	-37	37	3992
95	-27	27	4019
96	-33	33	4052
97	-19	19	4071
98	-30	30	4101
99	-36	36	4137
100	-31	31	4168
101	-23	23	4191
102	-28	28	4219
103	-35	35	4254
104	-25	25	4279
105	-23	23	4302
106	-21	21	4323
107	-29	29	4352
108	-19	19	4371
109	-21	21	4392
110	-20	20	4412
111	-25	25	4437
112	-19	19	4456
113	-18	18	4474
114	-19	19	4493
115	-21	21	4514
116	-19	19	4533
117	-19	19	4552
118	-25	25	4577
119	-17	17	4594
120	-17	17	4611
121	-19	19	4630
122	-19	19	4649
123	-19	19	4668
124	-17	17	4685
125	-19	19	4704
126	-121	22	4726
127	-19	19	4745
128	-17	17	4762
129	-21	21	4783
130	-147	48	4831
131	-134	35	4866
132	-23	23	4889
133	-17	17	4906
134	-121	22	4928
135	-21	21	4949
136	-17	17	4966
137	-17	17	4983
138	-17	17	5000
139	-19	19	5019
140	-22	22	5041
141	-22	22	5063
142	-18	18	5081
143	-17	17	5098
144	-18	18	5116
145	-17	17	5133
146	-17	17	5150
147	-17	17	5167
148	-18	18	5185
149	-18	18	5203
150	-24	24	5227
151	-17	17	5244
152	-20	20	5264
153	-20	20	5284
154	-18	18	5302
155	-19	19	5321
156	-19	19	5340
157	-24	24	5364
158	-17	17	5381
159	-17	17	5398
160	-18	18	5416
161	-19	19	5435
162	-19	19	5454
163	-21	21	5475
164	-17	17	5492
165	-19	19	5511
166	-17	17	5528
167	-20	20	5548
168	-24	24	5572
169	-21	21	5593
170	-17	17	5610
171	-21	21	5631
172	-20	20	5651
173	-19	19	5670
174	-25	25	5695
175	-18	18	5713
176	-17	17	5730
177	-19	19	5749
178	-43	43	5792
179	-167	167	5959
180	-55	55	6014
181	-74	74	6088
182	-65	65	6153
183	-19	19	6172
184	-38	38	6210
185	-33	33	6243
186	-24	24	6267
187	-31	31	6298
188	-26	26	6324
189	-23	23	6347
190	-25	25	6372
191	-24	24	6396
192	-29	29	6425
193	-19	19	6444
194	-17	17	6461
195	-21	21	6482
196	-29	29	6511
197	-25	25	6536
198	-21	21	6557
199	-29	29	6586
