Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-25	25	25	0	-25	25	25
1	-19	19	44	1	-19	19	44
2	-21	21	65	2	-21	21	65
3	-27	27	92	3	-27	27	92
4	-23	23	115	4	-23	23	115
5	-20	20	135	5	-20	20	135
6	-22	22	157	6	-22	22	157
7	-44	44	201	7	-44	44	201
8	-19	19	220	8	-19	19	220
9	-19	19	239	9	-19	19	239
10	-129	30	269	10	-129	30	269
11	-24	24	293	11	-24	24	293
12	-19	19	312	12	-19	19	312
13	-25	25	337	13	-25	25	337
14	-19	19	356	14	-19	19	356
15	-20	20	376	15	-20	20	376
16	-20	20	396	16	-20	20	396
17	-20	20	416	17	-20	20	416
18	-25	25	441	18	-25	25	441
19	-23	23	464	19	-23	23	464
20	-21	21	485	20	-21	21	485
21	-24	24	509	21	-24	24	509
22	-20	20	529	22	-20	20	529
23	-21	21	550	23	-21	21	550
24	-33	33	583	24	-33	33	583
25	-25	25	608	25	-25	25	608
26	-22	22	630	26	-22	22	630
27	-19	19	649	27	-19	19	649
28	-24	24	673	28	-24	24	673
29	-19	19	692	29	-19	19	692
30	-21	21	713	30	-21	21	713
31	-21	21	734	31	-21	21	734
32	-17	17	751	32	-17	17	751
33	-19	19	770	33	-19	19	770
34	-21	21	791	34	-21	21	791
35	-21	21	812	35	-21	21	812
36	-17	17	829	36	-17	17	829
37	-21	21	850	37	-21	21	850
38	-24	24	874	38	-24	24	874
39	-17	17	891	39	-17	17	891
40	-17	17	908	40	-17	17	908
41	-19	19	927	41	-19	19	927
42	-23	23	950	42	-23	23	950
43	-24	24	974	43	-24	24	974
44	-22	22	996	44	-22	22	996
45	-17	17	1013	45	-17	17	1013
46	-138	39	1052	46	-138	39	1052
47	-133	34	1086	47	-133	34	1086
48	-23	23	1109	48	-23	23	1109
49	-334	235	1344	49	-334	235	1344
50	-77	77	1421	50	-77	77	1421
51	-69	69	1490	51	-69	69	1490
52	-49	49	1539	52	-49	49	1539
53	-39	39	1578	53	-39	39	1578
54	-45	45	1623	54	-45	45	1623
55	-35	35	1658	55	-35	35	1658
56	-49	49	1707	56	-49	49	1707
57	-21	21	1728	57	-21	21	1728
58	-34	34	1762	58	-34	34	1762
59	-41	41	1803	59	-41	41	1803
60	-27	27	1830	60	-27	27	1830
61	-137	38	1868	61	-137	38	1868
62	-26	26	1894	62	-26	26	1894
63	-21	21	1915	63	-21	21	1915
64	-21	21	1936	64	-21	21	1936
65	-18	18	1954	65	-18	18	1954
66	-25	25	1979	66	-25	25	1979
67	-18	18	1997	67	-18	18	1997
68	-17	17	2014	68	-17	17	2014
69	-21	21	2035	69	-21	21	2035
70	-23	23	2058	70	-23	23	2058
71	-18	18	2076	71	-18	18	2076
72	-20	20	2096	72	-20	20	2096
73	-18	18	2114	73	-18	18	2114
74	-18	18	2132	74	-18	18	2132
75	-21	21	2153	75	-21	21	2153
76	-19	19	2172	76	-19	19	2172
77	-34	34	2206	77	-34	34	2206
78	-19	19	2225	78	-19	19	2225
79	-121	22	2247	79	-121	22	2247
80	-18	18	2265	80	-18	18	2265
81	-19	19	2284	81	-19	19	2284
82	-18	18	2302	82	-18	18	2302
83	-20	20	2322	83	-20	20	2322
84	-17	17	2339	84	-17	17	2339
85	-23	23	2362	85	-23	23	2362
86	-21	21	2383	86	-21	21	2383
87	-20	20	2403	87	-20	20	2403
88	-37	37	2440	88	-37	37	2440
89	-29	29	2469	89	-29	29	2469
90	-21	21	2490	90	-21	21	2490
91	-19	19	2509	91	-19	19	2509
92	-23	23	2532	92	-23	23	2532
