Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-23	23	23	0	-23	23	23	0	-23	23	23
1	-20	20	43	1	-20	20	43	1	-20	20	43
2	-19	19	62	2	-19	19	62	2	-19	19	62
3	-19	19	81	3	-19	19	81	3	-19	19	81
4	-27	27	108	4	-27	27	108	4	-27	27	108
5	-25	25	133	5	-25	25	133	5	-25	25	133
6	-21	21	154	6	-21	21	154	6	-21	21	154
7	-25	25	179	7	-25	25	179	7	-25	25	179
8	-21	21	200	8	-21	21	200	8	-21	21	200
9	-19	19	219	9	-19	19	219	9	-19	19	219
10	-19	19	238	10	-19	19	238	10	-19	19	238
11	-21	21	259	11	-21	21	259	11	-21	21	259
12	-23	23	282	12	-23	23	282	12	-23	23	282
13	-23	23	305	13	-23	23	305	13	-23	23	305
14	-27	27	332	14	-27	27	332	14	-27	27	332
15	-22	22	354	15	-22	22	354	15	-22	22	354
16	-23	23	377	16	-23	23	377	16	-23	23	377
17	-23	23	400	17	-23	23	400	17	-23	23	400
18	-20	20	420	18	-20	20	420	18	-20	20	420
19	-19	19	439	19	-19	19	439	19	-19	19	439
20	-21	21	460	20	-21	21	460	20	-21	21	460
21	-34	34	494	21	-34	34	494	21	-34	34	494
22	-19	19	513	22	-19	19	513	22	-19	19	513
23	-25	25	538	23	-25	25	538	23	-25	25	538
24	-21	21	559	24	-21	21	559	24	-21	21	559
25	-19	19	578	25	-19	19	578	25	-19	19	578
26	-22	22	600	26	-22	22	600	26	-22	22	600
27	-20	20	620	27	-20	20	620	27	-20	20	620
28	-20	20	640	28	-20	20	640	28	-20	20	640
29	-23	23	663	29	-23	23	663	29	-23	23	663
30	-36	36	699	30	-36	36	699	30	-36	36	699
31	-26	26	725	31	-26	26	725	31	-26	26	725
32	-21	21	746	32	-21	21	746	32	-21	21	746
33	-25	25	771	33	-25	25	771	33	-25	25	771
34	-42	42	813	34	-42	42	813	34	-42	42	813
35	-22	22	835	35	-22	22	835	35	-22	22	835
36	-32	32	867	36	-32	32	867	36	-32	32	867
