Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-25	25	25	0	-25	25	25	0	-25	25	25	0	-25	25	25
1	-17	17	42	1	-17	17	42	1	-17	17	42	1	-17	17	42
2	-17	17	59	2	-17	17	59	2	-17	17	59	2	-17	17	59
3	-23	23	82	3	-23	23	82	3	-23	23	82	3	-23	23	82
4	-18	18	100	4	-18	18	100	4	-18	18	100	4	-18	18	100
5	-17	17	117	5	-17	17	117	5	-17	17	117	5	-17	17	117
6	-21	21	138	6	-21	21	138	6	-21	21	138	6	-21	21	138
7	-25	25	163	7	-25	25	163	7	-25	25	163	7	-25	25	163
8	-119	20	183	8	-119	20	183	8	-119	20	183	8	-119	20	183
9	-18	18	201	9	-18	18	201	9	-18	18	201	9	-18	18	201
10	-17	17	218	10	-17	17	218	10	-17	17	218	10	-17	17	218
11	-19	19	237	11	-19	19	237	11	-19	19	237	11	-19	19	237
12	-25	25	262	12	-25	25	262	12	-25	25	262	12	-25	25	262
13	-19	19	281	13	-19	19	281	13	-19	19	281	13	-19	19	281
14	-18	18	299	14	-18	18	299	14	-18	18	299	14	-18	18	299
15	-19	19	318	15	-19	19	318	15	-19	19	318	15	-19	19	318
16	-17	17	335	16	-17	17	335	16	-17	17	335	16	-17	17	335
17	-26	26	361	17	-26	26	361	17	-26	26	361	17	-26	26	361
18	-19	19	380	18	-19	19	380	18	-19	19	380	18	-19	19	380
19	-23	23	403	19	-23	23	403	19	-23	23	403	19	-23	23	403
20	-17	17	420	20	-17	17	420	20	-17	17	420	20	-17	17	420
21	-17	17	437	21	-17	17	437	21	-17	17	437	21	-17	17	437
22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454
23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471
24	-17	17	488	24	-17	17	488	24	-17	17	488	24	-17	17	488
25	-18	18	506	25	-18	18	506	25	-18	18	506	25	-18	18	506
26	-19	19	525	26	-19	19	525	26	-19	19	525	26	-19	19	525
27	-17	17	542	27	-17	17	542	27	-17	17	542	27	-17	17	542
28	-17	17	559	28	-17	17	559	28	-17	17	559	28	-17	17	559
29	-18	18	577	29	-18	18	577	29	-18	18	577	29	-18	18	577
30	-22	22	599	30	-22	22	599	30	-22	22	599	30	-22	22	599
31	-20	20	619	31	-20	20	619	31	-20	20	619	31	-20	20	619
32	-17	17	636	32	-17	17	636	32	-17	17	636	32	-17	17	636
33	-20	20	656	33	-20	20	656	33	-20	20	656	33	-20	20	656
34	-17	17	673	34	-17	17	673	34	-17	17	673	34	-17	17	673
35	-18	18	691	35	-18	18	691	35	-18	18	691	35	-18	18	691
36	-18	18	709	36	-18	18	709	36	-18	18	709	36	-18	18	709
37	-18	18	727	37	-18	18	727	37	-18	18	727	37	-18	18	727
38	-18	18	745	38	-18	18	745	38	-18	18	745	38	-18	18	745
39	-24	24	769	39	-24	24	769	39	-24	24	769	39	-24	24	769
40	-21	21	790	40	-21	21	790	40	-21	21	790	40	-21	21	790
41	-21	21	811	41	-21	21	811	41	-21	21	811	41	-21	21	811
42	-18	18	829	42	-18	18	829	42	-18	18	829	42	-18	18	829
43	-18	18	847	43	-18	18	847	43	-18	18	847	43	-18	18	847
44	-20	20	867	44	-20	20	867	44	-20	20	867	44	-20	20	867
45	-19	19	886	45	-19	19	886	45	-19	19	886	45	-19	19	886
46	-18	18	904	46	-18	18	904	46	-18	18	904	46	-18	18	904
47	-19	19	923	47	-19	19	923	47	-19	19	923	47	-19	19	923
48	-19	19	942	48	-19	19	942	48	-19	19	942	48	-19	19	942
49	-17	17	959	49	-17	17	959	49	-17	17	959	49	-17	17	959
50	-23	23	982	50	-23	23	982	50	-23	23	982	50	-23	23	982
51	-29	29	1011	51	-29	29	1011	51	-29	29	1011	51	-29	29	1011
52	-17	17	1028	52	-17	17	1028	52	-17	17	1028	52	-17	17	1028
53	-19	19	1047	53	-19	19	1047	53	-19	19	1047	53	-19	19	1047
54	-19	19	1066	54	-19	19	1066	54	-19	19	1066	54	-19	19	1066
55	-17	17	1083	55	-17	17	1083	55	-17	17	1083	55	-17	17	1083
56	-19	19	1102	56	-19	19	1102	56	-19	19	1102	56	-19	19	1102
57	-18	18	1120	57	-18	18	1120	57	-18	18	1120	57	-18	18	1120
58	-17	17	1137	58	-17	17	1137	58	-17	17	1137	58	-17	17	1137
59	-17	17	1154	59	-17	17	1154	59	-17	17	1154	59	-17	17	1154
60	-17	17	1171	60	-17	17	1171	60	-17	17	1171	60	-17	17	1171
61	-19	19	1190	61	-19	19	1190	61	-19	19	1190	61	-19	19	1190
62	-19	19	1209	62	-19	19	1209	62	-19	19	1209	62	-19	19	1209
63	-19	19	1228	63	-19	19	1228	63	-19	19	1228	63	-19	19	1228
64	-19	19	1247	64	-19	19	1247	64	-19	19	1247	64	-19	19	1247
65	-19	19	1266	65	-19	19	1266	65	-19	19	1266	65	-19	19	1266
66	-17	17	1283	66	-17	17	1283	66	-17	17	1283	66	-17	17	1283
67	-20	20	1303	67	-20	20	1303	67	-20	20	1303	67	-20	20	1303
68	-19	19	1322	68	-19	19	1322	68	-19	19	1322	68	-19	19	1322
69	-20	20	1342	69	-20	20	1342	69	-20	20	1342	69	-20	20	1342
70	-27	27	1369	70	-27	27	1369	70	-27	27	1369	70	-27	27	1369
71	-27	27	1396	71	-27	27	1396	71	-27	27	1396	71	-27	27	1396
72	-19	19	1415	72	-19	19	1415	72	-19	19	1415	72	-19	19	1415
73	-24	24	1439	73	-24	24	1439	73	-24	24	1439	73	-24	24	1439
74	-19	19	1458	74	-19	19	1458	74	-19	19	1458	74	-19	19	1458
75	-19	19	1477	75	-19	19	1477	75	-19	19	1477	75	-19	19	1477
76	-25	25	1502	76	-25	25	1502	76	-25	25	1502	76	-25	25	1502
77	-24	24	1526	77	-24	24	1526	77	-24	24	1526	77	-24	24	1526
78	-19	19	1545	78	-19	19	1545	78	-19	19	1545	78	-19	19	1545
79	-117	18	1563	79	-117	18	1563	79	-117	18	1563	79	-117	18	1563
80	-18	18	1581	80	-18	18	1581	80	-18	18	1581	80	-18	18	1581
81	-22	22	1603	81	-22	22	1603	81	-22	22	1603	81	-22	22	1603
82	-17	17	1620	82	-17	17	1620	82	-17	17	1620	82	-17	17	1620
83	-17	17	1637	83	-17	17	1637	83	-17	17	1637	83	-17	17	1637
84	-17	17	1654	84	-17	17	1654	84	-17	17	1654	84	-17	17	1654
85	-25	25	1679	85	-25	25	1679	85	-25	25	1679	85	-25	25	1679
86	-18	18	1697	86	-18	18	1697	86	-18	18	1697	86	-18	18	1697
87	-17	17	1714	87	-17	17	1714	87	-17	17	1714	87	-17	17	1714
88	-18	18	1732	88	-18	18	1732	88	-18	18	1732	88	-18	18	1732
89	-17	17	1749	89	-17	17	1749	89	-17	17	1749	89	-17	17	1749
