Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-119	20	37	1	-119	20	37	1	-119	20	37	1	-119	20	37	1	-119	20	37
2	-29	29	66	2	-29	29	66	2	-29	29	66	2	-29	29	66	2	-29	29	66
3	-19	19	85	3	-19	19	85	3	-19	19	85	3	-19	19	85	3	-19	19	85
4	-23	23	108	4	-23	23	108	4	-23	23	108	4	-23	23	108	4	-23	23	108
5	-20	20	128	5	-20	20	128	5	-20	20	128	5	-20	20	128	5	-20	20	128
6	-20	20	148	6	-20	20	148	6	-20	20	148	6	-20	20	148	6	-20	20	148
7	-120	21	169	7	-120	21	169	7	-120	21	169	7	-120	21	169	7	-120	21	169
8	-17	17	186	8	-17	17	186	8	-17	17	186	8	-17	17	186	8	-17	17	186
9	-17	17	203	9	-17	17	203	9	-17	17	203	9	-17	17	203	9	-17	17	203
10	-17	17	220	10	-17	17	220	10	-17	17	220	10	-17	17	220	10	-17	17	220
11	-18	18	238	11	-18	18	238	11	-18	18	238	11	-18	18	238	11	-18	18	238
12	-20	20	258	12	-20	20	258	12	-20	20	258	12	-20	20	258	12	-20	20	258
13	-17	17	275	13	-17	17	275	13	-17	17	275	13	-17	17	275	13	-17	17	275
14	-18	18	293	14	-18	18	293	14	-18	18	293	14	-18	18	293	14	-18	18	293
15	-19	19	312	15	-19	19	312	15	-19	19	312	15	-19	19	312	15	-19	19	312
16	-18	18	330	16	-18	18	330	16	-18	18	330	16	-18	18	330	16	-18	18	330
17	-19	19	349	17	-19	19	349	17	-19	19	349	17	-19	19	349	17	-19	19	349
18	-19	19	368	18	-19	19	368	18	-19	19	368	18	-19	19	368	18	-19	19	368
19	-17	17	385	19	-17	17	385	19	-17	17	385	19	-17	17	385	19	-17	17	385
20	-21	21	406	20	-21	21	406	20	-21	21	406	20	-21	21	406	20	-21	21	406
21	-17	17	423	21	-17	17	423	21	-17	17	423	21	-17	17	423	21	-17	17	423
22	-20	20	443	22	-20	20	443	22	-20	20	443	22	-20	20	443	22	-20	20	443
23	-19	19	462	23	-19	19	462	23	-19	19	462	23	-19	19	462	23	-19	19	462
24	-19	19	481	24	-19	19	481	24	-19	19	481	24	-19	19	481	24	-19	19	481
25	-21	21	502	25	-21	21	502	25	-21	21	502	25	-21	21	502	25	-21	21	502
26	-18	18	520	26	-18	18	520	26	-18	18	520	26	-18	18	520	26	-18	18	520
27	-25	25	545	27	-25	25	545	27	-25	25	545	27	-25	25	545	27	-25	25	545
28	-17	17	562	28	-17	17	562	28	-17	17	562	28	-17	17	562	28	-17	17	562
29	-20	20	582	29	-20	20	582	29	-20	20	582	29	-20	20	582	29	-20	20	582
30	-18	18	600	30	-18	18	600	30	-18	18	600	30	-18	18	600	30	-18	18	600
31	-17	17	617	31	-17	17	617	31	-17	17	617	31	-17	17	617	31	-17	17	617
32	-19	19	636	32	-19	19	636	32	-19	19	636	32	-19	19	636	32	-19	19	636
33	-19	19	655	33	-19	19	655	33	-19	19	655	33	-19	19	655	33	-19	19	655
34	-17	17	672	34	-17	17	672	34	-17	17	672	34	-17	17	672	34	-17	17	672
35	-17	17	689	35	-17	17	689	35	-17	17	689	35	-17	17	689	35	-17	17	689
36	-17	17	706	36	-17	17	706	36	-17	17	706	36	-17	17	706	36	-17	17	706
37	-18	18	724	37	-18	18	724	37	-18	18	724	37	-18	18	724	37	-18	18	724
38	-21	21	745	38	-21	21	745	38	-21	21	745	38	-21	21	745	38	-21	21	745
39	-18	18	763	39	-18	18	763	39	-18	18	763	39	-18	18	763	39	-18	18	763
40	-19	19	782	40	-19	19	782	40	-19	19	782	40	-19	19	782	40	-19	19	782
41	-17	17	799	41	-17	17	799	41	-17	17	799	41	-17	17	799	41	-17	17	799
42	-136	37	836	42	-136	37	836	42	-136	37	836	42	-136	37	836	42	-136	37	836
43	-18	18	854	43	-18	18	854	43	-18	18	854	43	-18	18	854	43	-18	18	854
44	-17	17	871	44	-17	17	871	44	-17	17	871	44	-17	17	871	44	-17	17	871
45	-20	20	891	45	-20	20	891	45	-20	20	891	45	-20	20	891	45	-20	20	891
46	-17	17	908	46	-17	17	908	46	-17	17	908	46	-17	17	908	46	-17	17	908
47	-17	17	925	47	-17	17	925	47	-17	17	925	47	-17	17	925	47	-17	17	925
48	-17	17	942	48	-17	17	942	48	-17	17	942	48	-17	17	942	48	-17	17	942
49	-22	22	964	49	-22	22	964	49	-22	22	964	49	-22	22	964	49	-22	22	964
50	-19	19	983	50	-19	19	983	50	-19	19	983	50	-19	19	983	50	-19	19	983
51	-20	20	1003	51	-20	20	1003	51	-20	20	1003	51	-20	20	1003	51	-20	20	1003
52	-18	18	1021	52	-18	18	1021	52	-18	18	1021	52	-18	18	1021	52	-18	18	1021
53	-20	20	1041	53	-20	20	1041	53	-20	20	1041	53	-20	20	1041	53	-20	20	1041
54	-22	22	1063	54	-22	22	1063	54	-22	22	1063	54	-22	22	1063	54	-22	22	1063
55	-17	17	1080	55	-17	17	1080	55	-17	17	1080	55	-17	17	1080	55	-17	17	1080
56	-19	19	1099	56	-19	19	1099	56	-19	19	1099	56	-19	19	1099	56	-19	19	1099
57	-20	20	1119	57	-20	20	1119	57	-20	20	1119	57	-20	20	1119	57	-20	20	1119
58	-17	17	1136	58	-17	17	1136	58	-17	17	1136	58	-17	17	1136	58	-17	17	1136
59	-21	21	1157	59	-21	21	1157	59	-21	21	1157	59	-21	21	1157	59	-21	21	1157
60	-23	23	1180	60	-23	23	1180	60	-23	23	1180	60	-23	23	1180	60	-23	23	1180
61	-17	17	1197	61	-17	17	1197	61	-17	17	1197	61	-17	17	1197	61	-17	17	1197
62	-17	17	1214	62	-17	17	1214	62	-17	17	1214	62	-17	17	1214	62	-17	17	1214
63	-17	17	1231	63	-17	17	1231	63	-17	17	1231	63	-17	17	1231	63	-17	17	1231
64	-21	21	1252	64	-21	21	1252	64	-21	21	1252	64	-21	21	1252	64	-21	21	1252
65	-18	18	1270	65	-18	18	1270	65	-18	18	1270	65	-18	18	1270	65	-18	18	1270
