Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18
1	-17	17	35	1	-17	17	35	1	-17	17	35	1	-17	17	35	1	-17	17	35	1	-17	17	35
2	-23	23	58	2	-23	23	58	2	-23	23	58	2	-23	23	58	2	-23	23	58	2	-23	23	58
3	-20	20	78	3	-20	20	78	3	-20	20	78	3	-20	20	78	3	-20	20	78	3	-20	20	78
4	-19	19	97	4	-19	19	97	4	-19	19	97	4	-19	19	97	4	-19	19	97	4	-19	19	97
5	-20	20	117	5	-20	20	117	5	-20	20	117	5	-20	20	117	5	-20	20	117	5	-20	20	117
6	-21	21	138	6	-21	21	138	6	-21	21	138	6	-21	21	138	6	-21	21	138	6	-21	21	138
7	-19	19	157	7	-19	19	157	7	-19	19	157	7	-19	19	157	7	-19	19	157	7	-19	19	157
8	-17	17	174	8	-17	17	174	8	-17	17	174	8	-17	17	174	8	-17	17	174	8	-17	17	174
9	-21	21	195	9	-21	21	195	9	-21	21	195	9	-21	21	195	9	-21	21	195	9	-21	21	195
10	-22	22	217	10	-22	22	217	10	-22	22	217	10	-22	22	217	10	-22	22	217	10	-22	22	217
11	-17	17	234	11	-17	17	234	11	-17	17	234	11	-17	17	234	11	-17	17	234	11	-17	17	234
12	-19	19	253	12	-19	19	253	12	-19	19	253	12	-19	19	253	12	-19	19	253	12	-19	19	253
13	-26	26	279	13	-26	26	279	13	-26	26	279	13	-26	26	279	13	-26	26	279	13	-26	26	279
14	-22	22	301	14	-22	22	301	14	-22	22	301	14	-22	22	301	14	-22	22	301	14	-22	22	301
15	-25	25	326	15	-25	25	326	15	-25	25	326	15	-25	25	326	15	-25	25	326	15	-25	25	326
16	-22	22	348	16	-22	22	348	16	-22	22	348	16	-22	22	348	16	-22	22	348	16	-22	22	348
17	-24	24	372	17	-24	24	372	17	-24	24	372	17	-24	24	372	17	-24	24	372	17	-24	24	372
18	-17	17	389	18	-17	17	389	18	-17	17	389	18	-17	17	389	18	-17	17	389	18	-17	17	389
19	-17	17	406	19	-17	17	406	19	-17	17	406	19	-17	17	406	19	-17	17	406	19	-17	17	406
20	-17	17	423	20	-17	17	423	20	-17	17	423	20	-17	17	423	20	-17	17	423	20	-17	17	423
21	-18	18	441	21	-18	18	441	21	-18	18	441	21	-18	18	441	21	-18	18	441	21	-18	18	441
22	-17	17	458	22	-17	17	458	22	-17	17	458	22	-17	17	458	22	-17	17	458	22	-17	17	458
23	-21	21	479	23	-21	21	479	23	-21	21	479	23	-21	21	479	23	-21	21	479	23	-21	21	479
24	-22	22	501	24	-22	22	501	24	-22	22	501	24	-22	22	501	24	-22	22	501	24	-22	22	501
25	-19	19	520	25	-19	19	520	25	-19	19	520	25	-19	19	520	25	-19	19	520	25	-19	19	520
26	-17	17	537	26	-17	17	537	26	-17	17	537	26	-17	17	537	26	-17	17	537	26	-17	17	537
27	-17	17	554	27	-17	17	554	27	-17	17	554	27	-17	17	554	27	-17	17	554	27	-17	17	554
28	-19	19	573	28	-19	19	573	28	-19	19	573	28	-19	19	573	28	-19	19	573	28	-19	19	573
29	-17	17	590	29	-17	17	590	29	-17	17	590	29	-17	17	590	29	-17	17	590	29	-17	17	590
30	-19	19	609	30	-19	19	609	30	-19	19	609	30	-19	19	609	30	-19	19	609	30	-19	19	609
31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626
32	-17	17	643	32	-17	17	643	32	-17	17	643	32	-17	17	643	32	-17	17	643	32	-17	17	643
33	-18	18	661	33	-18	18	661	33	-18	18	661	33	-18	18	661	33	-18	18	661	33	-18	18	661
34	-21	21	682	34	-21	21	682	34	-21	21	682	34	-21	21	682	34	-21	21	682	34	-21	21	682
35	-29	29	711	35	-29	29	711	35	-29	29	711	35	-29	29	711	35	-29	29	711	35	-29	29	711
36	-19	19	730	36	-19	19	730	36	-19	19	730	36	-19	19	730	36	-19	19	730	36	-19	19	730
37	-18	18	748	37	-18	18	748	37	-18	18	748	37	-18	18	748	37	-18	18	748	37	-18	18	748
38	-21	21	769	38	-21	21	769	38	-21	21	769	38	-21	21	769	38	-21	21	769	38	-21	21	769
39	-25	25	794	39	-25	25	794	39	-25	25	794	39	-25	25	794	39	-25	25	794	39	-25	25	794
40	-17	17	811	40	-17	17	811	40	-17	17	811	40	-17	17	811	40	-17	17	811	40	-17	17	811
41	-123	24	835	41	-123	24	835	41	-123	24	835	41	-123	24	835	41	-123	24	835	41	-123	24	835
42	-22	22	857	42	-22	22	857	42	-22	22	857	42	-22	22	857	42	-22	22	857	42	-22	22	857
43	-20	20	877	43	-20	20	877	43	-20	20	877	43	-20	20	877	43	-20	20	877	43	-20	20	877
44	-22	22	899	44	-22	22	899	44	-22	22	899	44	-22	22	899	44	-22	22	899	44	-22	22	899
45	-17	17	916	45	-17	17	916	45	-17	17	916	45	-17	17	916	45	-17	17	916	45	-17	17	916
46	-18	18	934	46	-18	18	934	46	-18	18	934	46	-18	18	934	46	-18	18	934	46	-18	18	934
47	-17	17	951	47	-17	17	951	47	-17	17	951	47	-17	17	951	47	-17	17	951	47	-17	17	951
48	-22	22	973	48	-22	22	973	48	-22	22	973	48	-22	22	973	48	-22	22	973	48	-22	22	973
49	-23	23	996	49	-23	23	996	49	-23	23	996	49	-23	23	996	49	-23	23	996	49	-23	23	996
50	-21	21	1017	50	-21	21	1017	50	-21	21	1017	50	-21	21	1017	50	-21	21	1017	50	-21	21	1017
51	-17	17	1034	51	-17	17	1034	51	-17	17	1034	51	-17	17	1034	51	-17	17	1034	51	-17	17	1034
