Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-21	21	21	0	-21	21	21	0	-21	21	21	0	-21	21	21	0	-21	21	21	0	-21	21	21	0	-21	21	21
1	-30	30	51	1	-30	30	51	1	-30	30	51	1	-30	30	51	1	-30	30	51	1	-30	30	51	1	-30	30	51
2	-26	26	77	2	-26	26	77	2	-26	26	77	2	-26	26	77	2	-26	26	77	2	-26	26	77	2	-26	26	77
3	-20	20	97	3	-20	20	97	3	-20	20	97	3	-20	20	97	3	-20	20	97	3	-20	20	97	3	-20	20	97
4	-34	34	131	4	-34	34	131	4	-34	34	131	4	-34	34	131	4	-34	34	131	4	-34	34	131	4	-34	34	131
5	-20	20	151	5	-20	20	151	5	-20	20	151	5	-20	20	151	5	-20	20	151	5	-20	20	151	5	-20	20	151
6	-22	22	173	6	-22	22	173	6	-22	22	173	6	-22	22	173	6	-22	22	173	6	-22	22	173	6	-22	22	173
7	-23	23	196	7	-23	23	196	7	-23	23	196	7	-23	23	196	7	-23	23	196	7	-23	23	196	7	-23	23	196
8	-19	19	215	8	-19	19	215	8	-19	19	215	8	-19	19	215	8	-19	19	215	8	-19	19	215	8	-19	19	215
9	-73	73	288	9	-73	73	288	9	-73	73	288	9	-73	73	288	9	-73	73	288	9	-73	73	288	9	-73	73	288
10	-42	42	330	10	-42	42	330	10	-42	42	330	10	-42	42	330	10	-42	42	330	10	-42	42	330	10	-42	42	330
11	-18	18	348	11	-18	18	348	11	-18	18	348	11	-18	18	348	11	-18	18	348	11	-18	18	348	11	-18	18	348
12	-18	18	366	12	-18	18	366	12	-18	18	366	12	-18	18	366	12	-18	18	366	12	-18	18	366	12	-18	18	366
13	-19	19	385	13	-19	19	385	13	-19	19	385	13	-19	19	385	13	-19	19	385	13	-19	19	385	13	-19	19	385
14	-20	20	405	14	-20	20	405	14	-20	20	405	14	-20	20	405	14	-20	20	405	14	-20	20	405	14	-20	20	405
15	-17	17	422	15	-17	17	422	15	-17	17	422	15	-17	17	422	15	-17	17	422	15	-17	17	422	15	-17	17	422
16	-18	18	440	16	-18	18	440	16	-18	18	440	16	-18	18	440	16	-18	18	440	16	-18	18	440	16	-18	18	440
17	-19	19	459	17	-19	19	459	17	-19	19	459	17	-19	19	459	17	-19	19	459	17	-19	19	459	17	-19	19	459
18	-22	22	481	18	-22	22	481	18	-22	22	481	18	-22	22	481	18	-22	22	481	18	-22	22	481	18	-22	22	481
19	-19	19	500	19	-19	19	500	19	-19	19	500	19	-19	19	500	19	-19	19	500	19	-19	19	500	19	-19	19	500
20	-19	19	519	20	-19	19	519	20	-19	19	519	20	-19	19	519	20	-19	19	519	20	-19	19	519	20	-19	19	519
21	-19	19	538	21	-19	19	538	21	-19	19	538	21	-19	19	538	21	-19	19	538	21	-19	19	538	21	-19	19	538
22	-28	28	566	22	-28	28	566	22	-28	28	566	22	-28	28	566	22	-28	28	566	22	-28	28	566	22	-28	28	566
23	-20	20	586	23	-20	20	586	23	-20	20	586	23	-20	20	586	23	-20	20	586	23	-20	20	586	23	-20	20	586
24	-24	24	610	24	-24	24	610	24	-24	24	610	24	-24	24	610	24	-24	24	610	24	-24	24	610	24	-24	24	610
25	-18	18	628	25	-18	18	628	25	-18	18	628	25	-18	18	628	25	-18	18	628	25	-18	18	628	25	-18	18	628
26	-20	20	648	26	-20	20	648	26	-20	20	648	26	-20	20	648	26	-20	20	648	26	-20	20	648	26	-20	20	648
27	-17	17	665	27	-17	17	665	27	-17	17	665	27	-17	17	665	27	-17	17	665	27	-17	17	665	27	-17	17	665
28	-19	19	684	28	-19	19	684	28	-19	19	684	28	-19	19	684	28	-19	19	684	28	-19	19	684	28	-19	19	684
29	-23	23	707	29	-23	23	707	29	-23	23	707	29	-23	23	707	29	-23	23	707	29	-23	23	707	29	-23	23	707
30	-17	17	724	30	-17	17	724	30	-17	17	724	30	-17	17	724	30	-17	17	724	30	-17	17	724	30	-17	17	724
31	-20	20	744	31	-20	20	744	31	-20	20	744	31	-20	20	744	31	-20	20	744	31	-20	20	744	31	-20	20	744
32	-19	19	763	32	-19	19	763	32	-19	19	763	32	-19	19	763	32	-19	19	763	32	-19	19	763	32	-19	19	763
33	-20	20	783	33	-20	20	783	33	-20	20	783	33	-20	20	783	33	-20	20	783	33	-20	20	783	33	-20	20	783
34	-20	20	803	34	-20	20	803	34	-20	20	803	34	-20	20	803	34	-20	20	803	34	-20	20	803	34	-20	20	803
35	-17	17	820	35	-17	17	820	35	-17	17	820	35	-17	17	820	35	-17	17	820	35	-17	17	820	35	-17	17	820
36	-20	20	840	36	-20	20	840	36	-20	20	840	36	-20	20	840	36	-20	20	840	36	-20	20	840	36	-20	20	840
37	-17	17	857	37	-17	17	857	37	-17	17	857	37	-17	17	857	37	-17	17	857	37	-17	17	857	37	-17	17	857
38	-19	19	876	38	-19	19	876	38	-19	19	876	38	-19	19	876	38	-19	19	876	38	-19	19	876	38	-19	19	876
39	-17	17	893	39	-17	17	893	39	-17	17	893	39	-17	17	893	39	-17	17	893	39	-17	17	893	39	-17	17	893
40	-18	18	911	40	-18	18	911	40	-18	18	911	40	-18	18	911	40	-18	18	911	40	-18	18	911	40	-18	18	911
41	-19	19	930	41	-19	19	930	41	-19	19	930	41	-19	19	930	41	-19	19	930	41	-19	19	930	41	-19	19	930
42	-17	17	947	42	-17	17	947	42	-17	17	947	42	-17	17	947	42	-17	17	947	42	-17	17	947	42	-17	17	947
43	-21	21	968	43	-21	21	968	43	-21	21	968	43	-21	21	968	43	-21	21	968	43	-21	21	968	43	-21	21	968
44	-25	25	993	44	-25	25	993	44	-25	25	993	44	-25	25	993	44	-25	25	993	44	-25	25	993	44	-25	25	993
45	-20	20	1013	45	-20	20	1013	45	-20	20	1013	45	-20	20	1013	45	-20	20	1013	45	-20	20	1013	45	-20	20	1013
46	-17	17	1030	46	-17	17	1030	46	-17	17	1030	46	-17	17	1030	46	-17	17	1030	46	-17	17	1030	46	-17	17	1030
47	-20	20	1050	47	-20	20	1050	47	-20	20	1050	47	-20	20	1050	47	-20	20	1050	47	-20	20	1050	47	-20	20	1050
48	-17	17	1067	48	-17	17	1067	48	-17	17	1067	48	-17	17	1067	48	-17	17	1067	48	-17	17	1067	48	-17	17	1067
49	-19	19	1086	49	-19	19	1086	49	-19	19	1086	49	-19	19	1086	49	-19	19	1086	49	-19	19	1086	49	-19	19	1086
50	-17	17	1103	50	-17	17	1103	50	-17	17	1103	50	-17	17	1103	50	-17	17	1103	50	-17	17	1103	50	-17	17	1103
51	-20	20	1123	51	-20	20	1123	51	-20	20	1123	51	-20	20	1123	51	-20	20	1123	51	-20	20	1123	51	-20	20	1123
52	-20	20	1143	52	-20	20	1143	52	-20	20	1143	52	-20	20	1143	52	-20	20	1143	52	-20	20	1143	52	-20	20	1143
53	-17	17	1160	53	-17	17	1160	53	-17	17	1160	53	-17	17	1160	53	-17	17	1160	53	-17	17	1160	53	-17	17	1160
54	-19	19	1179	54	-19	19	1179	54	-19	19	1179	54	-19	19	1179	54	-19	19	1179	54	-19	19	1179	54	-19	19	1179
55	-18	18	1197	55	-18	18	1197	55	-18	18	1197	55	-18	18	1197	55	-18	18	1197	55	-18	18	1197	55	-18	18	1197
56	-21	21	1218	56	-21	21	1218	56	-21	21	1218	56	-21	21	1218	56	-21	21	1218	56	-21	21	1218	56	-21	21	1218
57	-27	27	1245	57	-27	27	1245	57	-27	27	1245	57	-27	27	1245	57	-27	27	1245	57	-27	27	1245	57	-27	27	1245
58	-19	19	1264	58	-19	19	1264	58	-19	19	1264	58	-19	19	1264	58	-19	19	1264	58	-19	19	1264	58	-19	19	1264
59	-19	19	1283	59	-19	19	1283	59	-19	19	1283	59	-19	19	1283	59	-19	19	1283	59	-19	19	1283	59	-19	19	1283
60	-19	19	1302	60	-19	19	1302	60	-19	19	1302	60	-19	19	1302	60	-19	19	1302	60	-19	19	1302	60	-19	19	1302
61	-19	19	1321	61	-19	19	1321	61	-19	19	1321	61	-19	19	1321	61	-19	19	1321	61	-19	19	1321	61	-19	19	1321
62	-18	18	1339	62	-18	18	1339	62	-18	18	1339	62	-18	18	1339	62	-18	18	1339	62	-18	18	1339	62	-18	18	1339
63	-26	26	1365	63	-26	26	1365	63	-26	26	1365	63	-26	26	1365	63	-26	26	1365	63	-26	26	1365	63	-26	26	1365
64	-21	21	1386	64	-21	21	1386	64	-21	21	1386	64	-21	21	1386	64	-21	21	1386	64	-21	21	1386	64	-21	21	1386
65	-32	32	1418	65	-32	32	1418	65	-32	32	1418	65	-32	32	1418	65	-32	32	1418	65	-32	32	1418	65	-32	32	1418
66	-18	18	1436	66	-18	18	1436	66	-18	18	1436	66	-18	18	1436	66	-18	18	1436	66	-18	18	1436	66	-18	18	1436
67	-17	17	1453	67	-17	17	1453	67	-17	17	1453	67	-17	17	1453	67	-17	17	1453	67	-17	17	1453	67	-17	17	1453
68	-18	18	1471	68	-18	18	1471	68	-18	18	1471	68	-18	18	1471	68	-18	18	1471	68	-18	18	1471	68	-18	18	1471
69	-19	19	1490	69	-19	19	1490	69	-19	19	1490	69	-19	19	1490	69	-19	19	1490	69	-19	19	1490	69	-19	19	1490
