Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-38	38	38	0	-38	38	38	0	-38	38	38	0	-38	38	38	0	-38	38	38	0	-38	38	38	0	-38	38	38	0	-38	38	38
1	-30	30	68	1	-30	30	68	1	-30	30	68	1	-30	30	68	1	-30	30	68	1	-30	30	68	1	-30	30	68	1	-30	30	68
2	-17	17	85	2	-17	17	85	2	-17	17	85	2	-17	17	85	2	-17	17	85	2	-17	17	85	2	-17	17	85	2	-17	17	85
3	-19	19	104	3	-19	19	104	3	-19	19	104	3	-19	19	104	3	-19	19	104	3	-19	19	104	3	-19	19	104	3	-19	19	104
4	-17	17	121	4	-17	17	121	4	-17	17	121	4	-17	17	121	4	-17	17	121	4	-17	17	121	4	-17	17	121	4	-17	17	121
5	-19	19	140	5	-19	19	140	5	-19	19	140	5	-19	19	140	5	-19	19	140	5	-19	19	140	5	-19	19	140	5	-19	19	140
6	-19	19	159	6	-19	19	159	6	-19	19	159	6	-19	19	159	6	-19	19	159	6	-19	19	159	6	-19	19	159	6	-19	19	159
7	-18	18	177	7	-18	18	177	7	-18	18	177	7	-18	18	177	7	-18	18	177	7	-18	18	177	7	-18	18	177	7	-18	18	177
8	-27	27	204	8	-27	27	204	8	-27	27	204	8	-27	27	204	8	-27	27	204	8	-27	27	204	8	-27	27	204	8	-27	27	204
9	-17	17	221	9	-17	17	221	9	-17	17	221	9	-17	17	221	9	-17	17	221	9	-17	17	221	9	-17	17	221	9	-17	17	221
10	-17	17	238	10	-17	17	238	10	-17	17	238	10	-17	17	238	10	-17	17	238	10	-17	17	238	10	-17	17	238	10	-17	17	238
11	-17	17	255	11	-17	17	255	11	-17	17	255	11	-17	17	255	11	-17	17	255	11	-17	17	255	11	-17	17	255	11	-17	17	255
12	-19	19	274	12	-19	19	274	12	-19	19	274	12	-19	19	274	12	-19	19	274	12	-19	19	274	12	-19	19	274	12	-19	19	274
13	-20	20	294	13	-20	20	294	13	-20	20	294	13	-20	20	294	13	-20	20	294	13	-20	20	294	13	-20	20	294	13	-20	20	294
14	-17	17	311	14	-17	17	311	14	-17	17	311	14	-17	17	311	14	-17	17	311	14	-17	17	311	14	-17	17	311	14	-17	17	311
15	-22	22	333	15	-22	22	333	15	-22	22	333	15	-22	22	333	15	-22	22	333	15	-22	22	333	15	-22	22	333	15	-22	22	333
16	-17	17	350	16	-17	17	350	16	-17	17	350	16	-17	17	350	16	-17	17	350	16	-17	17	350	16	-17	17	350	16	-17	17	350
17	-20	20	370	17	-20	20	370	17	-20	20	370	17	-20	20	370	17	-20	20	370	17	-20	20	370	17	-20	20	370	17	-20	20	370
18	-18	18	388	18	-18	18	388	18	-18	18	388	18	-18	18	388	18	-18	18	388	18	-18	18	388	18	-18	18	388	18	-18	18	388
19	-17	17	405	19	-17	17	405	19	-17	17	405	19	-17	17	405	19	-17	17	405	19	-17	17	405	19	-17	17	405	19	-17	17	405
20	-21	21	426	20	-21	21	426	20	-21	21	426	20	-21	21	426	20	-21	21	426	20	-21	21	426	20	-21	21	426	20	-21	21	426
21	-19	19	445	21	-19	19	445	21	-19	19	445	21	-19	19	445	21	-19	19	445	21	-19	19	445	21	-19	19	445	21	-19	19	445
22	-17	17	462	22	-17	17	462	22	-17	17	462	22	-17	17	462	22	-17	17	462	22	-17	17	462	22	-17	17	462	22	-17	17	462
23	-17	17	479	23	-17	17	479	23	-17	17	479	23	-17	17	479	23	-17	17	479	23	-17	17	479	23	-17	17	479	23	-17	17	479
24	-71	71	550	24	-71	71	550	24	-71	71	550	24	-71	71	550	24	-71	71	550	24	-71	71	550	24	-71	71	550	24	-71	71	550
25	-36	36	586	25	-36	36	586	25	-36	36	586	25	-36	36	586	25	-36	36	586	25	-36	36	586	25	-36	36	586	25	-36	36	586
26	-23	23	609	26	-23	23	609	26	-23	23	609	26	-23	23	609	26	-23	23	609	26	-23	23	609	26	-23	23	609	26	-23	23	609
27	-28	28	637	27	-28	28	637	27	-28	28	637	27	-28	28	637	27	-28	28	637	27	-28	28	637	27	-28	28	637	27	-28	28	637
28	-34	34	671	28	-34	34	671	28	-34	34	671	28	-34	34	671	28	-34	34	671	28	-34	34	671	28	-34	34	671	28	-34	34	671
29	-23	23	694	29	-23	23	694	29	-23	23	694	29	-23	23	694	29	-23	23	694	29	-23	23	694	29	-23	23	694	29	-23	23	694
30	-17	17	711	30	-17	17	711	30	-17	17	711	30	-17	17	711	30	-17	17	711	30	-17	17	711	30	-17	17	711	30	-17	17	711
31	-25	25	736	31	-25	25	736	31	-25	25	736	31	-25	25	736	31	-25	25	736	31	-25	25	736	31	-25	25	736	31	-25	25	736
32	-18	18	754	32	-18	18	754	32	-18	18	754	32	-18	18	754	32	-18	18	754	32	-18	18	754	32	-18	18	754	32	-18	18	754
33	-21	21	775	33	-21	21	775	33	-21	21	775	33	-21	21	775	33	-21	21	775	33	-21	21	775	33	-21	21	775	33	-21	21	775
34	-118	19	794	34	-118	19	794	34	-118	19	794	34	-118	19	794	34	-118	19	794	34	-118	19	794	34	-118	19	794	34	-118	19	794
35	-22	22	816	35	-22	22	816	35	-22	22	816	35	-22	22	816	35	-22	22	816	35	-22	22	816	35	-22	22	816	35	-22	22	816
36	-19	19	835	36	-19	19	835	36	-19	19	835	36	-19	19	835	36	-19	19	835	36	-19	19	835	36	-19	19	835	36	-19	19	835
37	-17	17	852	37	-17	17	852	37	-17	17	852	37	-17	17	852	37	-17	17	852	37	-17	17	852	37	-17	17	852	37	-17	17	852
38	-19	19	871	38	-19	19	871	38	-19	19	871	38	-19	19	871	38	-19	19	871	38	-19	19	871	38	-19	19	871	38	-19	19	871
39	-31	31	902	39	-31	31	902	39	-31	31	902	39	-31	31	902	39	-31	31	902	39	-31	31	902	39	-31	31	902	39	-31	31	902
40	-17	17	919	40	-17	17	919	40	-17	17	919	40	-17	17	919	40	-17	17	919	40	-17	17	919	40	-17	17	919	40	-17	17	919
41	-17	17	936	41	-17	17	936	41	-17	17	936	41	-17	17	936	41	-17	17	936	41	-17	17	936	41	-17	17	936	41	-17	17	936
42	-19	19	955	42	-19	19	955	42	-19	19	955	42	-19	19	955	42	-19	19	955	42	-19	19	955	42	-19	19	955	42	-19	19	955
43	-21	21	976	43	-21	21	976	43	-21	21	976	43	-21	21	976	43	-21	21	976	43	-21	21	976	43	-21	21	976	43	-21	21	976
44	-19	19	995	44	-19	19	995	44	-19	19	995	44	-19	19	995	44	-19	19	995	44	-19	19	995	44	-19	19	995	44	-19	19	995
45	-17	17	1012	45	-17	17	1012	45	-17	17	1012	45	-17	17	1012	45	-17	17	1012	45	-17	17	1012	45	-17	17	1012	45	-17	17	1012
46	-19	19	1031	46	-19	19	1031	46	-19	19	1031	46	-19	19	1031	46	-19	19	1031	46	-19	19	1031	46	-19	19	1031	46	-19	19	1031
