Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29	0	-29	29	29
1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46	1	-17	17	46
2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63	2	-17	17	63
3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80	3	-17	17	80
4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101	4	-21	21	101
5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119	5	-18	18	119
6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137	6	-18	18	137
7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159	7	-22	22	159
8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182	8	-23	23	182
9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201	9	-19	19	201
10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219	10	-18	18	219
11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240	11	-21	21	240
12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260	12	-20	20	260
13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281	13	-21	21	281
14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304	14	-23	23	304
15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323	15	-19	19	323
16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340	16	-17	17	340
17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363	17	-23	23	363
18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384	18	-21	21	384
19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402	19	-18	18	402
20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419	20	-17	17	419
21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437	21	-18	18	437
22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454	22	-17	17	454
23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471	23	-17	17	471
24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492	24	-21	21	492
25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512	25	-20	20	512
26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529	26	-17	17	529
27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546	27	-17	17	546
28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563	28	-17	17	563
