Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43	1	-24	24	43
2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64	2	-21	21	64
3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87	3	-23	23	87
4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110	4	-23	23	110
5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129	5	-19	19	129
6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154	6	-25	25	154
7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173	7	-19	19	173
8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191	8	-18	18	191
9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209	9	-18	18	209
10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226	10	-17	17	226
11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244	11	-18	18	244
