Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13
1	-15	15	28	1	-15	15	28
2	-17	17	45	2	-17	17	45
3	-17	17	62	3	-17	17	62
4	-127	28	90	4	-127	28	90
5	-116	17	107	5	-116	17	107
6	-15	15	122	6	-15	15	122
7	-15	15	137	7	-15	15	137
8	-15	15	152	8	-15	15	152
9	-16	16	168	9	-16	16	168
10	-128	29	197	10	-128	29	197
11	-13	13	210	11	-13	13	210
12	-119	20	230	12	-119	20	230
13	-15	15	245	13	-15	15	245
14	-17	17	262	14	-17	17	262
15	-118	19	281	15	-118	19	281
16	-17	17	298	16	-17	17	298
17	-13	13	311	17	-13	13	311
18	-13	13	324	18	-13	13	324
19	-116	17	341	19	-116	17	341
20	-15	15	356	20	-15	15	356
21	-13	13	369	21	-13	13	369
22	-17	17	386	22	-17	17	386
23	-119	20	406	23	-119	20	406
24	-122	23	429	24	-122	23	429
25	-15	15	444	25	-15	15	444
26	-17	17	461	26	-17	17	461
27	-13	13	474	27	-13	13	474
28	-13	13	487	28	-13	13	487
29	-18	18	505	29	-18	18	505
30	-13	13	518	30	-13	13	518
31	-17	17	535	31	-17	17	535
32	-124	25	560	32	-124	25	560
33	-13	13	573	33	-13	13	573
34	-17	17	590	34	-17	17	590
35	-15	15	605	35	-15	15	605
36	-15	15	620	36	-15	15	620
37	-17	17	637	37	-17	17	637
38	-119	20	657	38	-119	20	657
39	-233	35	692	39	-233	35	692
40	-17	17	709	40	-17	17	709
41	-17	17	726	41	-17	17	726
42	-19	19	745	42	-19	19	745
43	-15	15	760	43	-15	15	760
44	-14	14	774	44	-14	14	774
45	-118	19	793	45	-118	19	793
46	-13	13	806	46	-13	13	806
47	-13	13	819	47	-13	13	819
48	-17	17	836	48	-17	17	836
49	-17	17	853	49	-17	17	853
50	-125	26	879	50	-125	26	879
51	-15	15	894	51	-15	15	894
52	-13	13	907	52	-13	13	907
53	-338	41	948	53	-338	41	948
54	-13	13	961	54	-13	13	961
55	-13	13	974	55	-13	13	974
56	-15	15	989	56	-15	15	989
57	-121	22	1011	57	-121	22	1011
58	-14	14	1025	58	-14	14	1025
59	-13	13	1038	59	-13	13	1038
60	-15	15	1053	60	-15	15	1053
61	-13	13	1066	61	-13	13	1066
62	-15	15	1081	62	-15	15	1081
63	-123	24	1105	63	-123	24	1105
64	-13	13	1118	64	-13	13	1118
65	-123	24	1142	65	-123	24	1142
66	-13	13	1155	66	-13	13	1155
67	-16	16	1171	67	-16	16	1171
68	-13	13	1184	68	-13	13	1184
69	-15	15	1199	69	-15	15	1199
70	-115	16	1215	70	-115	16	1215
71	-13	13	1228	71	-13	13	1228
72	-13	13	1241	72	-13	13	1241
73	-15	15	1256	73	-15	15	1256
74	-13	13	1269	74	-13	13	1269
75	-13	13	1282	75	-13	13	1282
76	-15	15	1297	76	-15	15	1297
77	-14	14	1311	77	-14	14	1311
78	-13	13	1324	78	-13	13	1324
79	-15	15	1339	79	-15	15	1339
80	-13	13	1352	80	-13	13	1352
81	-119	20	1372	81	-119	20	1372
82	-122	23	1395	82	-122	23	1395
83	-15	15	1410	83	-15	15	1410
84	-13	13	1423	84	-13	13	1423
85	-15	15	1438	85	-15	15	1438
86	-13	13	1451	86	-13	13	1451
87	-13	13	1464	87	-13	13	1464
88	-122	23	1487	88	-122	23	1487
89	-117	18	1505	89	-117	18	1505
90	-13	13	1518	90	-13	13	1518
91	-13	13	1531	91	-13	13	1531
92	-17	17	1548	92	-17	17	1548
93	-13	13	1561	93	-13	13	1561
94	-15	15	1576	94	-15	15	1576
95	-15	15	1591	95	-15	15	1591
96	-15	15	1606	96	-15	15	1606
97	-13	13	1619	97	-13	13	1619
98	-15	15	1634	98	-15	15	1634
99	-15	15	1649	99	-15	15	1649
100	-120	21	1670	100	-120	21	1670
101	-117	18	1688	101	-117	18	1688
102	-15	15	1703	102	-15	15	1703
103	-14	14	1717	103	-14	14	1717
104	-15	15	1732	104	-15	15	1732
105	-15	15	1747	105	-15	15	1747
106	-237	39	1786	106	-237	39	1786
107	-15	15	1801	107	-15	15	1801
108	-17	17	1818	108	-17	17	1818
109	-14	14	1832	109	-14	14	1832
110	-15	15	1847	110	-15	15	1847
111	-13	13	1860	111	-13	13	1860
112	-215	17	1877	112	-215	17	1877
113	-13	13	1890	113	-13	13	1890
114	-13	13	1903	114	-13	13	1903
115	-17	17	1920	115	-17	17	1920
116	-18	18	1938	116	-18	18	1938
117	-17	17	1955	117	-17	17	1955
118	-13	13	1968	118	-13	13	1968
119	-17	17	1985	119	-17	17	1985
120	-17	17	2002	120	-17	17	2002
121	-15	15	2017	121	-15	15	2017
122	-118	19	2036	122	-118	19	2036
123	-120	21	2057	123	-120	21	2057
124	-15	15	2072	124	-15	15	2072
125	-17	17	2089	125	-17	17	2089
126	-227	29	2118	126	-227	29	2118
127	-13	13	2131	127	-13	13	2131
128	-13	13	2144	128	-13	13	2144
129	-15	15	2159	129	-15	15	2159
130	-13	13	2172	130	-13	13	2172
131	-15	15	2187	131	-15	15	2187
132	-13	13	2200	132	-13	13	2200
133	-13	13	2213	133	-13	13	2213
134	-13	13	2226	134	-13	13	2226
135	-15	15	2241	135	-15	15	2241
136	-13	13	2254	136	-13	13	2254
137	-17	17	2271	137	-17	17	2271
138	-16	16	2287	138	-16	16	2287
139	-118	19	2306	139	-118	19	2306
140	-13	13	2319	140	-13	13	2319
141	-15	15	2334	141	-15	15	2334
142	-121	22	2356	142	-121	22	2356
143	-13	13	2369	143	-13	13	2369
144	-13	13	2382	144	-13	13	2382
145	-114	15	2397	145	-114	15	2397
146	-17	17	2414	146	-17	17	2414
147	-13	13	2427	147	-13	13	2427
