Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18
1	-19	19	37	1	-19	19	37	1	-19	19	37	1	-19	19	37	1	-19	19	37
2	-15	15	52	2	-15	15	52	2	-15	15	52	2	-15	15	52	2	-15	15	52
3	-118	19	71	3	-118	19	71	3	-118	19	71	3	-118	19	71	3	-118	19	71
4	-15	15	86	4	-15	15	86	4	-15	15	86	4	-15	15	86	4	-15	15	86
5	-19	19	105	5	-19	19	105	5	-19	19	105	5	-19	19	105	5	-19	19	105
6	-13	13	118	6	-13	13	118	6	-13	13	118	6	-13	13	118	6	-13	13	118
7	-14	14	132	7	-14	14	132	7	-14	14	132	7	-14	14	132	7	-14	14	132
8	-13	13	145	8	-13	13	145	8	-13	13	145	8	-13	13	145	8	-13	13	145
9	-15	15	160	9	-15	15	160	9	-15	15	160	9	-15	15	160	9	-15	15	160
10	-13	13	173	10	-13	13	173	10	-13	13	173	10	-13	13	173	10	-13	13	173
11	-15	15	188	11	-15	15	188	11	-15	15	188	11	-15	15	188	11	-15	15	188
12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201
13	-14	14	215	13	-14	14	215	13	-14	14	215	13	-14	14	215	13	-14	14	215
14	-13	13	228	14	-13	13	228	14	-13	13	228	14	-13	13	228	14	-13	13	228
15	-17	17	245	15	-17	17	245	15	-17	17	245	15	-17	17	245	15	-17	17	245
16	-126	27	272	16	-126	27	272	16	-126	27	272	16	-126	27	272	16	-126	27	272
17	-13	13	285	17	-13	13	285	17	-13	13	285	17	-13	13	285	17	-13	13	285
18	-15	15	300	18	-15	15	300	18	-15	15	300	18	-15	15	300	18	-15	15	300
19	-13	13	313	19	-13	13	313	19	-13	13	313	19	-13	13	313	19	-13	13	313
20	-13	13	326	20	-13	13	326	20	-13	13	326	20	-13	13	326	20	-13	13	326
21	-13	13	339	21	-13	13	339	21	-13	13	339	21	-13	13	339	21	-13	13	339
22	-17	17	356	22	-17	17	356	22	-17	17	356	22	-17	17	356	22	-17	17	356
23	-17	17	373	23	-17	17	373	23	-17	17	373	23	-17	17	373	23	-17	17	373
24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386
25	-15	15	401	25	-15	15	401	25	-15	15	401	25	-15	15	401	25	-15	15	401
26	-15	15	416	26	-15	15	416	26	-15	15	416	26	-15	15	416	26	-15	15	416
27	-14	14	430	27	-14	14	430	27	-14	14	430	27	-14	14	430	27	-14	14	430
28	-14	14	444	28	-14	14	444	28	-14	14	444	28	-14	14	444	28	-14	14	444
29	-13	13	457	29	-13	13	457	29	-13	13	457	29	-13	13	457	29	-13	13	457
30	-15	15	472	30	-15	15	472	30	-15	15	472	30	-15	15	472	30	-15	15	472
31	-13	13	485	31	-13	13	485	31	-13	13	485	31	-13	13	485	31	-13	13	485
32	-13	13	498	32	-13	13	498	32	-13	13	498	32	-13	13	498	32	-13	13	498
33	-13	13	511	33	-13	13	511	33	-13	13	511	33	-13	13	511	33	-13	13	511
34	-13	13	524	34	-13	13	524	34	-13	13	524	34	-13	13	524	34	-13	13	524
35	-13	13	537	35	-13	13	537	35	-13	13	537	35	-13	13	537	35	-13	13	537
36	-437	41	578	36	-437	41	578	36	-437	41	578	36	-437	41	578	36	-437	41	578
37	-13	13	591	37	-13	13	591	37	-13	13	591	37	-13	13	591	37	-13	13	591
38	-15	15	606	38	-15	15	606	38	-15	15	606	38	-15	15	606	38	-15	15	606
39	-15	15	621	39	-15	15	621	39	-15	15	621	39	-15	15	621	39	-15	15	621
40	-13	13	634	40	-13	13	634	40	-13	13	634	40	-13	13	634	40	-13	13	634
41	-15	15	649	41	-15	15	649	41	-15	15	649	41	-15	15	649	41	-15	15	649
42	-22	22	671	42	-22	22	671	42	-22	22	671	42	-22	22	671	42	-22	22	671
43	-217	19	690	43	-217	19	690	43	-217	19	690	43	-217	19	690	43	-217	19	690
44	-15	15	705	44	-15	15	705	44	-15	15	705	44	-15	15	705	44	-15	15	705
45	-18	18	723	45	-18	18	723	45	-18	18	723	45	-18	18	723	45	-18	18	723
46	-13	13	736	46	-13	13	736	46	-13	13	736	46	-13	13	736	46	-13	13	736
47	-13	13	749	47	-13	13	749	47	-13	13	749	47	-13	13	749	47	-13	13	749
48	-14	14	763	48	-14	14	763	48	-14	14	763	48	-14	14	763	48	-14	14	763
49	-18	18	781	49	-18	18	781	49	-18	18	781	49	-18	18	781	49	-18	18	781
