Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-120	21	21	0	-120	21	21	0	-120	21	21	0	-120	21	21	0	-120	21	21	0	-120	21	21	0	-120	21	21	0	-120	21	21
1	-23	23	44	1	-23	23	44	1	-23	23	44	1	-23	23	44	1	-23	23	44	1	-23	23	44	1	-23	23	44	1	-23	23	44
2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57	2	-13	13	57
3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74	3	-17	17	74
4	-123	24	98	4	-123	24	98	4	-123	24	98	4	-123	24	98	4	-123	24	98	4	-123	24	98	4	-123	24	98	4	-123	24	98
5	-19	19	117	5	-19	19	117	5	-19	19	117	5	-19	19	117	5	-19	19	117	5	-19	19	117	5	-19	19	117	5	-19	19	117
6	-13	13	130	6	-13	13	130	6	-13	13	130	6	-13	13	130	6	-13	13	130	6	-13	13	130	6	-13	13	130	6	-13	13	130
7	-15	15	145	7	-15	15	145	7	-15	15	145	7	-15	15	145	7	-15	15	145	7	-15	15	145	7	-15	15	145	7	-15	15	145
8	-223	25	170	8	-223	25	170	8	-223	25	170	8	-223	25	170	8	-223	25	170	8	-223	25	170	8	-223	25	170	8	-223	25	170
9	-124	25	195	9	-124	25	195	9	-124	25	195	9	-124	25	195	9	-124	25	195	9	-124	25	195	9	-124	25	195	9	-124	25	195
10	-117	18	213	10	-117	18	213	10	-117	18	213	10	-117	18	213	10	-117	18	213	10	-117	18	213	10	-117	18	213	10	-117	18	213
11	-13	13	226	11	-13	13	226	11	-13	13	226	11	-13	13	226	11	-13	13	226	11	-13	13	226	11	-13	13	226	11	-13	13	226
12	-13	13	239	12	-13	13	239	12	-13	13	239	12	-13	13	239	12	-13	13	239	12	-13	13	239	12	-13	13	239	12	-13	13	239
13	-121	22	261	13	-121	22	261	13	-121	22	261	13	-121	22	261	13	-121	22	261	13	-121	22	261	13	-121	22	261	13	-121	22	261
14	-115	16	277	14	-115	16	277	14	-115	16	277	14	-115	16	277	14	-115	16	277	14	-115	16	277	14	-115	16	277	14	-115	16	277
15	-17	17	294	15	-17	17	294	15	-17	17	294	15	-17	17	294	15	-17	17	294	15	-17	17	294	15	-17	17	294	15	-17	17	294
