Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18
1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33	1	-15	15	33
2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46
3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61	3	-15	15	61
4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74	4	-13	13	74
5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89
6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102	6	-13	13	102
7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115	7	-13	13	115
8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128	8	-13	13	128
9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152	9	-123	24	152
10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165
11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178	11	-13	13	178
12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195	12	-17	17	195
13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208	13	-13	13	208
14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223	14	-15	15	223
15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240	15	-17	17	240
16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253	16	-13	13	253
