Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46	2	-115	16	46
3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62	3	-16	16	62
4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79	4	-17	17	79
5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92	5	-13	13	92
6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105
7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120	7	-15	15	120
8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153	8	-231	33	153
9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168	9	-15	15	168
10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181	10	-13	13	181
11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201	11	-20	20	201
12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218	12	-17	17	218
13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245	13	-126	27	245
