Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28
2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52	2	-123	24	52
3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67	3	-15	15	67
4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80	4	-13	13	80
5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108	5	-127	28	108
6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124	6	-16	16	124
7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139
8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158	8	-19	19	158
9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171	9	-13	13	171
10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184	10	-13	13	184
