Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30	1	-13	13	30
2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43
3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65	3	-121	22	65
4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84
5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97
6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110
7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123
8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139	8	-115	16	139
9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157	9	-18	18	157
10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174	10	-17	17	174
11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201	11	-126	27	201
12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216
13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231	13	-15	15	231
14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256	14	-124	25	256
15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273	15	-17	17	273
16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286	16	-13	13	286
17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314	17	-226	28	314
18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327	18	-13	13	327
19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349	19	-121	22	349
20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371	20	-121	22	371
21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384	21	-13	13	384
22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397	22	-13	13	397
23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410	23	-13	13	410
24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423	24	-13	13	423
25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436	25	-13	13	436
26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451	26	-15	15	451
27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469	27	-117	18	469
28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488	28	-19	19	488
29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503	29	-15	15	503
30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520	30	-17	17	520
31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533	31	-13	13	533
32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546	32	-13	13	546
