Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34	0	-232	34	34
1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50	1	-115	16	50
2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63	2	-13	13	63
3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76	3	-13	13	76
4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92	4	-115	16	92
5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107	5	-15	15	107
6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125	6	-18	18	125
7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141	7	-16	16	141
8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157	8	-115	16	157
9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170	9	-13	13	170
