Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26
2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39	2	-13	13	39
3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52	3	-13	13	52
4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76	4	-123	24	76
5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89	5	-13	13	89
6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110	6	-120	21	110
7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125
8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138
9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151	9	-13	13	151
