Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34
2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53
3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68
4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81	4	-13	13	81
5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95	5	-113	14	95
6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108	6	-13	13	108
7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128	7	-20	20	128
8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161	8	-231	33	161
9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178	9	-17	17	178
