Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-327.0	327	1827
4	-463.0	463	2290
5	-299.0	299	2589
6	-239.0	239	2828
7	-272.0	272	3100
8	-500.0	500	3600
9	-237.0	237	3837
10	-429.0	429	4266
11	-341.0	341	4607
12	-207.0	207	4814
13	-288.0	288	5102
14	-192.0	192	5294
15	-259.0	259	5553
16	-234.0	234	5787
17	-285.0	285	6072
18	-157.0	157	6229
19	-239.0	239	6468
20	-236.0	236	6704
21	-162.0	162	6866
22	-244.0	244	7110
23	-243.0	243	7353
24	-208.0	208	7561
25	-174.0	174	7735
26	-156.0	156	7891
27	-164.0	164	8055
28	-160.0	160	8215
29	-157.0	157	8372
30	-158.0	158	8530
31	-231.0	231	8761
32	-198.0	198	8959
33	-238.0	238	9197
34	-155.0	155	9352
35	-158.0	158	9510
36	-192.0	192	9702
37	-222.0	222	9924
38	-185.0	185	10109
39	-148.0	148	10257
40	-189.0	189	10446
41	-161.0	161	10607
42	-198.0	198	10805
43	-166.0	166	10971
44	-210.0	210	11181
45	-200.0	200	11381
46	-162.0	162	11543
47	-149.0	149	11692
48	-149.0	149	11841
49	-149.0	149	11990
50	-192.0	192	12182
51	-117.0	117	12299
52	-156.0	156	12455
53	-210.0	210	12665
54	-185.0	185	12850
55	-148.0	148	12998
56	-150.0	150	13148
57	-242.0	242	13390
58	-197.0	197	13587
59	-116.0	116	13703
60	-110.0	110	13813
61	-141.0	141	13954
62	-109.0	109	14063
63	-115.0	115	14178
64	-163.0	163	14341
65	-116.0	116	14457
66	-201.0	201	14658
67	-172.0	172	14830
68	-166.0	166	14996
69	-162.0	162	15158
70	-160.0	160	15318
71	-216.0	216	15534
72	-156.0	156	15690
73	-155.0	155	15845
74	-165.0	165	16010
75	-162.0	162	16172
76	-163.0	163	16335
77	-259.0	259	16594
78	-161.0	161	16755
79	-159.0	159	16914
80	-146.0	146	17060
81	-142.0	142	17202
82	-152.0	152	17354
83	-120.0	120	17474
84	-120.0	120	17594
85	-149.0	149	17743
86	-112.0	112	17855
87	-147.0	147	18002
88	-149.0	149	18151
89	-138.0	138	18289
90	-159.0	159	18448
91	-129.0	129	18577
92	-105.0	105	18682
93	-163.0	163	18845
94	-152.0	152	18997
95	-171.0	171	19168
96	-162.0	162	19330
97	-155.0	155	19485
98	-146.0	146	19631
99	-136.0	136	19767
100	-115.0	115	19882
101	-167.0	167	20049
102	-118.0	118	20167
103	-154.0	154	20321
104	-105.0	105	20426
105	-93.0	93	20519
106	-154.0	154	20673
107	-94.0	94	20767
108	-162.0	162	20929
109	-151.0	151	21080
110	-118.0	118	21198
111	-161.0	161	21359
112	-148.0	148	21507
113	-161.0	161	21668
114	-158.0	158	21826
115	-173.0	173	21999
116	-153.0	153	22152
117	-158.0	158	22310
118	-159.0	159	22469
119	-151.0	151	22620
120	-150.0	150	22770
121	-148.0	148	22918
