Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-338.0	338	1838	3	-338.0	338	1838
4	-482.0	482	2320	4	-482.0	482	2320
5	-500.0	500	2820	5	-500.0	500	2820
6	-500.0	500	3320	6	-500.0	500	3320
7	-345.0	345	3665	7	-345.0	345	3665
8	-305.0	305	3970	8	-305.0	305	3970
9	-251.0	251	4221	9	-251.0	251	4221
10	-251.0	251	4472	10	-251.0	251	4472
11	-298.0	298	4770	11	-298.0	298	4770
12	-193.0	193	4963	12	-193.0	193	4963
13	-249.0	249	5212	13	-249.0	249	5212
14	-254.0	254	5466	14	-254.0	254	5466
15	-244.0	244	5710	15	-244.0	244	5710
16	-155.0	155	5865	16	-155.0	155	5865
17	-164.0	164	6029	17	-164.0	164	6029
18	-331.0	331	6360	18	-331.0	331	6360
19	-209.0	209	6569	19	-209.0	209	6569
20	-226.0	226	6795	20	-226.0	226	6795
21	-232.0	232	7027	21	-232.0	232	7027
22	-206.0	206	7233	22	-206.0	206	7233
23	-171.0	171	7404	23	-171.0	171	7404
24	-321.0	321	7725	24	-321.0	321	7725
25	-206.0	206	7931	25	-206.0	206	7931
26	-201.0	201	8132	26	-201.0	201	8132
27	-197.0	197	8329	27	-197.0	197	8329
28	-272.0	272	8601	28	-272.0	272	8601
29	-184.0	184	8785	29	-184.0	184	8785
30	-157.0	157	8942	30	-157.0	157	8942
31	-215.0	215	9157	31	-215.0	215	9157
32	-248.0	248	9405	32	-248.0	248	9405
33	-154.0	154	9559	33	-154.0	154	9559
34	-154.0	154	9713	34	-154.0	154	9713
35	-158.0	158	9871	35	-158.0	158	9871
36	-163.0	163	10034	36	-163.0	163	10034
37	-164.0	164	10198	37	-164.0	164	10198
38	-161.0	161	10359	38	-161.0	161	10359
39	-164.0	164	10523	39	-164.0	164	10523
40	-146.0	146	10669	40	-146.0	146	10669
41	-220.0	220	10889	41	-220.0	220	10889
42	-121.0	121	11010	42	-121.0	121	11010
43	-152.0	152	11162	43	-152.0	152	11162
44	-158.0	158	11320	44	-158.0	158	11320
45	-122.0	122	11442	45	-122.0	122	11442
46	-159.0	159	11601	46	-159.0	159	11601
47	-172.0	172	11773	47	-172.0	172	11773
