Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-385.0	385	2385	4	-385.0	385	2385	4	-385.0	385	2385
5	-420.0	420	2805	5	-420.0	420	2805	5	-420.0	420	2805
6	-331.0	331	3136	6	-331.0	331	3136	6	-331.0	331	3136
7	-449.0	449	3585	7	-449.0	449	3585	7	-449.0	449	3585
8	-250.0	250	3835	8	-250.0	250	3835	8	-250.0	250	3835
9	-255.0	255	4090	9	-255.0	255	4090	9	-255.0	255	4090
10	-346.0	346	4436	10	-346.0	346	4436	10	-346.0	346	4436
11	-268.0	268	4704	11	-268.0	268	4704	11	-268.0	268	4704
12	-248.0	248	4952	12	-248.0	248	4952	12	-248.0	248	4952
13	-308.0	308	5260	13	-308.0	308	5260	13	-308.0	308	5260
14	-156.0	156	5416	14	-156.0	156	5416	14	-156.0	156	5416
15	-234.0	234	5650	15	-234.0	234	5650	15	-234.0	234	5650
16	-353.0	353	6003	16	-353.0	353	6003	16	-353.0	353	6003
17	-267.0	267	6270	17	-267.0	267	6270	17	-267.0	267	6270
18	-165.0	165	6435	18	-165.0	165	6435	18	-165.0	165	6435
19	-168.0	168	6603	19	-168.0	168	6603	19	-168.0	168	6603
20	-233.0	233	6836	20	-233.0	233	6836	20	-233.0	233	6836
21	-211.0	211	7047	21	-211.0	211	7047	21	-211.0	211	7047
22	-160.0	160	7207	22	-160.0	160	7207	22	-160.0	160	7207
23	-243.0	243	7450	23	-243.0	243	7450	23	-243.0	243	7450
24	-196.0	196	7646	24	-196.0	196	7646	24	-196.0	196	7646
25	-158.0	158	7804	25	-158.0	158	7804	25	-158.0	158	7804
26	-156.0	156	7960	26	-156.0	156	7960	26	-156.0	156	7960
27	-191.0	191	8151	27	-191.0	191	8151	27	-191.0	191	8151
28	-157.0	157	8308	28	-157.0	157	8308	28	-157.0	157	8308
29	-212.0	212	8520	29	-212.0	212	8520	29	-212.0	212	8520
30	-126.0	126	8646	30	-126.0	126	8646	30	-126.0	126	8646
31	-122.0	122	8768	31	-122.0	122	8768	31	-122.0	122	8768
32	-159.0	159	8927	32	-159.0	159	8927	32	-159.0	159	8927
33	-185.0	185	9112	33	-185.0	185	9112	33	-185.0	185	9112
34	-205.0	205	9317	34	-205.0	205	9317	34	-205.0	205	9317
35	-199.0	199	9516	35	-199.0	199	9516	35	-199.0	199	9516
36	-158.0	158	9674	36	-158.0	158	9674	36	-158.0	158	9674
37	-175.0	175	9849	37	-175.0	175	9849	37	-175.0	175	9849
38	-195.0	195	10044	38	-195.0	195	10044	38	-195.0	195	10044
39	-220.0	220	10264	39	-220.0	220	10264	39	-220.0	220	10264
40	-184.0	184	10448	40	-184.0	184	10448	40	-184.0	184	10448
41	-188.0	188	10636	41	-188.0	188	10636	41	-188.0	188	10636
42	-160.0	160	10796	42	-160.0	160	10796	42	-160.0	160	10796
43	-160.0	160	10956	43	-160.0	160	10956	43	-160.0	160	10956
44	-155.0	155	11111	44	-155.0	155	11111	44	-155.0	155	11111
45	-161.0	161	11272	45	-161.0	161	11272	45	-161.0	161	11272
