Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-479.0	479	1479	2	-479.0	479	1479	2	-479.0	479	1479	2	-479.0	479	1479	2	-479.0	479	1479
3	-471.0	471	1950	3	-471.0	471	1950	3	-471.0	471	1950	3	-471.0	471	1950	3	-471.0	471	1950
4	-493.0	493	2443	4	-493.0	493	2443	4	-493.0	493	2443	4	-493.0	493	2443	4	-493.0	493	2443
5	-446.0	446	2889	5	-446.0	446	2889	5	-446.0	446	2889	5	-446.0	446	2889	5	-446.0	446	2889
6	-392.0	392	3281	6	-392.0	392	3281	6	-392.0	392	3281	6	-392.0	392	3281	6	-392.0	392	3281
7	-426.0	426	3707	7	-426.0	426	3707	7	-426.0	426	3707	7	-426.0	426	3707	7	-426.0	426	3707
8	-500.0	500	4207	8	-500.0	500	4207	8	-500.0	500	4207	8	-500.0	500	4207	8	-500.0	500	4207
9	-500.0	500	4707	9	-500.0	500	4707	9	-500.0	500	4707	9	-500.0	500	4707	9	-500.0	500	4707
10	-276.0	276	4983	10	-276.0	276	4983	10	-276.0	276	4983	10	-276.0	276	4983	10	-276.0	276	4983
11	-278.0	278	5261	11	-278.0	278	5261	11	-278.0	278	5261	11	-278.0	278	5261	11	-278.0	278	5261
12	-302.0	302	5563	12	-302.0	302	5563	12	-302.0	302	5563	12	-302.0	302	5563	12	-302.0	302	5563
13	-228.0	228	5791	13	-228.0	228	5791	13	-228.0	228	5791	13	-228.0	228	5791	13	-228.0	228	5791
14	-237.0	237	6028	14	-237.0	237	6028	14	-237.0	237	6028	14	-237.0	237	6028	14	-237.0	237	6028
15	-295.0	295	6323	15	-295.0	295	6323	15	-295.0	295	6323	15	-295.0	295	6323	15	-295.0	295	6323
16	-232.0	232	6555	16	-232.0	232	6555	16	-232.0	232	6555	16	-232.0	232	6555	16	-232.0	232	6555
17	-170.0	170	6725	17	-170.0	170	6725	17	-170.0	170	6725	17	-170.0	170	6725	17	-170.0	170	6725
18	-190.0	190	6915	18	-190.0	190	6915	18	-190.0	190	6915	18	-190.0	190	6915	18	-190.0	190	6915
19	-239.0	239	7154	19	-239.0	239	7154	19	-239.0	239	7154	19	-239.0	239	7154	19	-239.0	239	7154
20	-187.0	187	7341	20	-187.0	187	7341	20	-187.0	187	7341	20	-187.0	187	7341	20	-187.0	187	7341
21	-193.0	193	7534	21	-193.0	193	7534	21	-193.0	193	7534	21	-193.0	193	7534	21	-193.0	193	7534
22	-244.0	244	7778	22	-244.0	244	7778	22	-244.0	244	7778	22	-244.0	244	7778	22	-244.0	244	7778
23	-187.0	187	7965	23	-187.0	187	7965	23	-187.0	187	7965	23	-187.0	187	7965	23	-187.0	187	7965
