Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-284.0	284	2284	4	-284.0	284	2284	4	-284.0	284	2284	4	-284.0	284	2284	4	-284.0	284	2284	4	-284.0	284	2284
5	-334.0	334	2618	5	-334.0	334	2618	5	-334.0	334	2618	5	-334.0	334	2618	5	-334.0	334	2618	5	-334.0	334	2618
6	-333.0	333	2951	6	-333.0	333	2951	6	-333.0	333	2951	6	-333.0	333	2951	6	-333.0	333	2951	6	-333.0	333	2951
7	-490.0	490	3441	7	-490.0	490	3441	7	-490.0	490	3441	7	-490.0	490	3441	7	-490.0	490	3441	7	-490.0	490	3441
8	-281.0	281	3722	8	-281.0	281	3722	8	-281.0	281	3722	8	-281.0	281	3722	8	-281.0	281	3722	8	-281.0	281	3722
9	-344.0	344	4066	9	-344.0	344	4066	9	-344.0	344	4066	9	-344.0	344	4066	9	-344.0	344	4066	9	-344.0	344	4066
10	-430.0	430	4496	10	-430.0	430	4496	10	-430.0	430	4496	10	-430.0	430	4496	10	-430.0	430	4496	10	-430.0	430	4496
11	-277.0	277	4773	11	-277.0	277	4773	11	-277.0	277	4773	11	-277.0	277	4773	11	-277.0	277	4773	11	-277.0	277	4773
12	-205.0	205	4978	12	-205.0	205	4978	12	-205.0	205	4978	12	-205.0	205	4978	12	-205.0	205	4978	12	-205.0	205	4978
13	-308.0	308	5286	13	-308.0	308	5286	13	-308.0	308	5286	13	-308.0	308	5286	13	-308.0	308	5286	13	-308.0	308	5286
14	-228.0	228	5514	14	-228.0	228	5514	14	-228.0	228	5514	14	-228.0	228	5514	14	-228.0	228	5514	14	-228.0	228	5514
15	-204.0	204	5718	15	-204.0	204	5718	15	-204.0	204	5718	15	-204.0	204	5718	15	-204.0	204	5718	15	-204.0	204	5718
16	-235.0	235	5953	16	-235.0	235	5953	16	-235.0	235	5953	16	-235.0	235	5953	16	-235.0	235	5953	16	-235.0	235	5953
17	-168.0	168	6121	17	-168.0	168	6121	17	-168.0	168	6121	17	-168.0	168	6121	17	-168.0	168	6121	17	-168.0	168	6121
18	-226.0	226	6347	18	-226.0	226	6347	18	-226.0	226	6347	18	-226.0	226	6347	18	-226.0	226	6347	18	-226.0	226	6347
19	-192.0	192	6539	19	-192.0	192	6539	19	-192.0	192	6539	19	-192.0	192	6539	19	-192.0	192	6539	19	-192.0	192	6539
20	-258.0	258	6797	20	-258.0	258	6797	20	-258.0	258	6797	20	-258.0	258	6797	20	-258.0	258	6797	20	-258.0	258	6797
21	-224.0	224	7021	21	-224.0	224	7021	21	-224.0	224	7021	21	-224.0	224	7021	21	-224.0	224	7021	21	-224.0	224	7021
22	-166.0	166	7187	22	-166.0	166	7187	22	-166.0	166	7187	22	-166.0	166	7187	22	-166.0	166	7187	22	-166.0	166	7187
23	-196.0	196	7383	23	-196.0	196	7383	23	-196.0	196	7383	23	-196.0	196	7383	23	-196.0	196	7383	23	-196.0	196	7383
24	-162.0	162	7545	24	-162.0	162	7545	24	-162.0	162	7545	24	-162.0	162	7545	24	-162.0	162	7545	24	-162.0	162	7545
25	-208.0	208	7753	25	-208.0	208	7753	25	-208.0	208	7753	25	-208.0	208	7753	25	-208.0	208	7753	25	-208.0	208	7753
26	-196.0	196	7949	26	-196.0	196	7949	26	-196.0	196	7949	26	-196.0	196	7949	26	-196.0	196	7949	26	-196.0	196	7949
27	-193.0	193	8142	27	-193.0	193	8142	27	-193.0	193	8142	27	-193.0	193	8142	27	-193.0	193	8142	27	-193.0	193	8142
28	-207.0	207	8349	28	-207.0	207	8349	28	-207.0	207	8349	28	-207.0	207	8349	28	-207.0	207	8349	28	-207.0	207	8349
29	-182.0	182	8531	29	-182.0	182	8531	29	-182.0	182	8531	29	-182.0	182	8531	29	-182.0	182	8531	29	-182.0	182	8531
30	-162.0	162	8693	30	-162.0	162	8693	30	-162.0	162	8693	30	-162.0	162	8693	30	-162.0	162	8693	30	-162.0	162	8693
31	-210.0	210	8903	31	-210.0	210	8903	31	-210.0	210	8903	31	-210.0	210	8903	31	-210.0	210	8903	31	-210.0	210	8903
32	-187.0	187	9090	32	-187.0	187	9090	32	-187.0	187	9090	32	-187.0	187	9090	32	-187.0	187	9090	32	-187.0	187	9090
33	-158.0	158	9248	33	-158.0	158	9248	33	-158.0	158	9248	33	-158.0	158	9248	33	-158.0	158	9248	33	-158.0	158	9248
34	-182.0	182	9430	34	-182.0	182	9430	34	-182.0	182	9430	34	-182.0	182	9430	34	-182.0	182	9430	34	-182.0	182	9430
35	-227.0	227	9657	35	-227.0	227	9657	35	-227.0	227	9657	35	-227.0	227	9657	35	-227.0	227	9657	35	-227.0	227	9657
36	-134.0	134	9791	36	-134.0	134	9791	36	-134.0	134	9791	36	-134.0	134	9791	36	-134.0	134	9791	36	-134.0	134	9791
37	-165.0	165	9956	37	-165.0	165	9956	37	-165.0	165	9956	37	-165.0	165	9956	37	-165.0	165	9956	37	-165.0	165	9956
38	-240.0	240	10196	38	-240.0	240	10196	38	-240.0	240	10196	38	-240.0	240	10196	38	-240.0	240	10196	38	-240.0	240	10196
39	-199.0	199	10395	39	-199.0	199	10395	39	-199.0	199	10395	39	-199.0	199	10395	39	-199.0	199	10395	39	-199.0	199	10395
40	-166.0	166	10561	40	-166.0	166	10561	40	-166.0	166	10561	40	-166.0	166	10561	40	-166.0	166	10561	40	-166.0	166	10561
41	-194.0	194	10755	41	-194.0	194	10755	41	-194.0	194	10755	41	-194.0	194	10755	41	-194.0	194	10755	41	-194.0	194	10755
42	-166.0	166	10921	42	-166.0	166	10921	42	-166.0	166	10921	42	-166.0	166	10921	42	-166.0	166	10921	42	-166.0	166	10921
43	-202.0	202	11123	43	-202.0	202	11123	43	-202.0	202	11123	43	-202.0	202	11123	43	-202.0	202	11123	43	-202.0	202	11123
44	-202.0	202	11325	44	-202.0	202	11325	44	-202.0	202	11325	44	-202.0	202	11325	44	-202.0	202	11325	44	-202.0	202	11325
45	-122.0	122	11447	45	-122.0	122	11447	45	-122.0	122	11447	45	-122.0	122	11447	45	-122.0	122	11447	45	-122.0	122	11447
46	-158.0	158	11605	46	-158.0	158	11605	46	-158.0	158	11605	46	-158.0	158	11605	46	-158.0	158	11605	46	-158.0	158	11605
