Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431	2	-431.0	431	1431
3	-500.0	500	1931	3	-500.0	500	1931	3	-500.0	500	1931	3	-500.0	500	1931	3	-500.0	500	1931	3	-500.0	500	1931	3	-500.0	500	1931
4	-344.0	344	2275	4	-344.0	344	2275	4	-344.0	344	2275	4	-344.0	344	2275	4	-344.0	344	2275	4	-344.0	344	2275	4	-344.0	344	2275
5	-492.0	492	2767	5	-492.0	492	2767	5	-492.0	492	2767	5	-492.0	492	2767	5	-492.0	492	2767	5	-492.0	492	2767	5	-492.0	492	2767
6	-339.0	339	3106	6	-339.0	339	3106	6	-339.0	339	3106	6	-339.0	339	3106	6	-339.0	339	3106	6	-339.0	339	3106	6	-339.0	339	3106
7	-359.0	359	3465	7	-359.0	359	3465	7	-359.0	359	3465	7	-359.0	359	3465	7	-359.0	359	3465	7	-359.0	359	3465	7	-359.0	359	3465
8	-409.0	409	3874	8	-409.0	409	3874	8	-409.0	409	3874	8	-409.0	409	3874	8	-409.0	409	3874	8	-409.0	409	3874	8	-409.0	409	3874
9	-334.0	334	4208	9	-334.0	334	4208	9	-334.0	334	4208	9	-334.0	334	4208	9	-334.0	334	4208	9	-334.0	334	4208	9	-334.0	334	4208
10	-294.0	294	4502	10	-294.0	294	4502	10	-294.0	294	4502	10	-294.0	294	4502	10	-294.0	294	4502	10	-294.0	294	4502	10	-294.0	294	4502
11	-205.0	205	4707	11	-205.0	205	4707	11	-205.0	205	4707	11	-205.0	205	4707	11	-205.0	205	4707	11	-205.0	205	4707	11	-205.0	205	4707
