Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950	3	-450.0	450	1950
4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369	4	-419.0	419	2369
5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648	5	-279.0	279	2648
6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958	6	-310.0	310	2958
7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288	7	-330.0	330	3288
8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767	8	-479.0	479	3767
9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093	9	-326.0	326	4093
10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318	10	-225.0	225	4318
11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556	11	-238.0	238	4556
12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056	12	-500.0	500	5056
13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464	13	-408.0	408	5464
14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688	14	-224.0	224	5688
15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969	15	-281.0	281	5969
16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239	16	-270.0	270	6239
17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505	17	-266.0	266	6505
18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745	18	-240.0	240	6745
19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913	19	-168.0	168	6913
20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219	20	-306.0	306	7219
21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373	21	-154.0	154	7373
22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660	22	-287.0	287	7660
23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813	23	-153.0	153	7813
24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017	24	-204.0	204	8017
25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253	25	-236.0	236	8253
26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485	26	-232.0	232	8485
27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758	27	-273.0	273	8758
28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929	28	-171.0	171	8929
29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085	29	-156.0	156	9085
30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243	30	-158.0	158	9243
31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457	31	-214.0	214	9457
32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651	32	-194.0	194	9651
33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828	33	-177.0	177	9828
34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984	34	-156.0	156	9984
35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142	35	-158.0	158	10142
36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296	36	-154.0	154	10296
37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528	37	-232.0	232	10528
38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761	38	-233.0	233	10761
39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943	39	-182.0	182	10943
40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167	40	-224.0	224	11167
41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321	41	-154.0	154	11321
42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473	42	-152.0	152	11473
43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596	43	-123.0	123	11596
44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742	44	-146.0	146	11742
45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892	45	-150.0	150	11892
46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008	46	-116.0	116	12008
47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160	47	-152.0	152	12160
48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316	48	-156.0	156	12316
49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471	49	-155.0	155	12471
50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626	50	-155.0	155	12626
51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752	51	-126.0	126	12752
52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919	52	-167.0	167	12919
53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081	53	-162.0	162	13081
54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212	54	-131.0	131	13212
55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376	55	-164.0	164	13376
56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540	56	-164.0	164	13540
57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653	57	-113.0	113	13653
58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815	58	-162.0	162	13815
59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929	59	-114.0	114	13929
60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046	60	-117.0	117	14046
61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198	61	-152.0	152	14198
62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348	62	-150.0	150	14348
63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502	63	-154.0	154	14502
64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660	64	-158.0	158	14660
65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801	65	-141.0	141	14801
66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957	66	-156.0	156	14957
67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113	67	-156.0	156	15113
68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226	68	-113.0	113	15226
69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390	69	-164.0	164	15390
