Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392	2	-392.0	392	1392
3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819	3	-427.0	427	1819
4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319	4	-500.0	500	2319
5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783	5	-464.0	464	2783
6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181	6	-398.0	398	3181
7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438	7	-257.0	257	3438
8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761	8	-323.0	323	3761
9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015	9	-254.0	254	4015
10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250	10	-235.0	235	4250
11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408	11	-158.0	158	4408
12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666	12	-258.0	258	4666
13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869	13	-203.0	203	4869
