Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404	2	-404.0	404	1404
3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904	3	-500.0	500	1904
4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404	4	-500.0	500	2404
5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866	5	-462.0	462	2866
6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258	6	-392.0	392	3258
7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579	7	-321.0	321	3579
8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007	8	-428.0	428	4007
9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313	9	-306.0	306	4313
10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665	10	-352.0	352	4665
11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073	11	-408.0	408	5073
12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318	12	-245.0	245	5318
13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552	13	-234.0	234	5552
14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838	14	-286.0	286	5838
15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003	15	-165.0	165	6003
16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253	16	-250.0	250	6253
17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540	17	-287.0	287	6540
18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748	18	-208.0	208	6748
19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986	19	-238.0	238	6986
20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239	20	-253.0	253	7239
21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423	21	-184.0	184	7423
22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581	22	-158.0	158	7581
23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812	23	-231.0	231	7812
24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048	24	-236.0	236	8048
25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270	25	-222.0	222	8270
26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496	26	-226.0	226	8496
27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699	27	-203.0	203	8699
28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890	28	-191.0	191	8890
