Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-500.0	500	2000
4	-500.0	500	2500
5	-373.0	373	2873
6	-286.0	286	3159
7	-274.0	274	3433
8	-194.0	194	3627
9	-482.0	482	4109
10	-170.0	170	4279
11	-244.0	244	4523
12	-215.0	215	4738
13	-160.0	160	4898
14	-164.0	164	5062
15	-227.0	227	5289
16	-296.0	296	5585
17	-220.0	220	5805
18	-219.0	219	6024
19	-222.0	222	6246
20	-194.0	194	6440
21	-198.0	198	6638
22	-156.0	156	6794
23	-220.0	220	7014
24	-222.0	222	7236
25	-140.0	140	7376
26	-146.0	146	7522
27	-116.0	116	7638
28	-116.0	116	7754
29	-109.0	109	7863
30	-184.0	184	8047
31	-173.0	173	8220
32	-154.0	154	8374
33	-194.0	194	8568
34	-146.0	146	8714
35	-152.0	152	8866
36	-146.0	146	9012
37	-145.0	145	9157
38	-139.0	139	9296
39	-184.0	184	9480
40	-229.0	229	9709
41	-153.0	153	9862
42	-147.0	147	10009
43	-149.0	149	10158
44	-122.0	122	10280
45	-169.0	169	10449
46	-147.0	147	10596
47	-141.0	141	10737
48	-221.0	221	10958
49	-147.0	147	11105
50	-133.0	133	11238
51	-153.0	153	11391
52	-150.0	150	11541
53	-142.0	142	11683
54	-141.0	141	11824
55	-114.0	114	11938
56	-120.0	120	12058
57	-142.0	142	12200
58	-113.0	113	12313
59	-97.0	97	12410
60	-162.0	162	12572
61	-110.0	110	12682
62	-156.0	156	12838
63	-185.0	185	13023
64	-141.0	141	13164
65	-162.0	162	13326
66	-166.0	166	13492
67	-147.0	147	13639
68	-149.0	149	13788
69	-143.0	143	13931
70	-137.0	137	14068
71	-144.0	144	14212
72	-133.0	133	14345
73	-153.0	153	14498
74	-143.0	143	14641
75	-147.0	147	14788
76	-120.0	120	14908
77	-142.0	142	15050
78	-140.0	140	15190
79	-133.0	133	15323
80	-161.0	161	15484
81	-134.0	134	15618
82	-138.0	138	15756
83	-138.0	138	15894
84	-158.0	158	16052
85	-117.0	117	16169
86	-148.0	148	16317
87	-190.0	190	16507
88	-110.0	110	16617
89	-89.0	89	16706
90	-166.0	166	16872
91	-111.0	111	16983
92	-107.0	107	17090
93	-155.0	155	17245
94	-107.0	107	17352
95	-141.0	141	17493
96	-149.0	149	17642
97	-168.0	168	17810
98	-144.0	144	17954
99	-135.0	135	18089
100	-135.0	135	18224
101	-140.0	140	18364
102	-133.0	133	18497
103	-158.0	158	18655
104	-167.0	167	18822
105	-185.0	185	19007
106	-139.0	139	19146
107	-138.0	138	19284
108	-132.0	132	19416
109	-136.0	136	19552
110	-131.0	131	19683
111	-133.0	133	19816
112	-138.0	138	19954
113	-149.0	149	20103
114	-194.0	194	20297
115	-172.0	172	20469
116	-179.0	179	20648
117	-177.0	177	20825
118	-176.0	176	21001
119	-174.0	174	21175
120	-176.0	176	21351
121	-168.0	168	21519
