Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-465.0	465	1965	3	-465.0	465	1965
4	-307.0	307	2272	4	-307.0	307	2272
5	-263.0	263	2535	5	-263.0	263	2535
6	-244.0	244	2779	6	-244.0	244	2779
7	-500.0	500	3279	7	-500.0	500	3279
8	-214.0	214	3493	8	-214.0	214	3493
9	-262.0	262	3755	9	-262.0	262	3755
10	-226.0	226	3981	10	-226.0	226	3981
11	-197.0	197	4178	11	-197.0	197	4178
12	-249.0	249	4427	12	-249.0	249	4427
13	-197.0	197	4624	13	-197.0	197	4624
14	-237.0	237	4861	14	-237.0	237	4861
15	-159.0	159	5020	15	-159.0	159	5020
16	-188.0	188	5208	16	-188.0	188	5208
17	-194.0	194	5402	17	-194.0	194	5402
18	-153.0	153	5555	18	-153.0	153	5555
19	-230.0	230	5785	19	-230.0	230	5785
20	-161.0	161	5946	20	-161.0	161	5946
21	-152.0	152	6098	21	-152.0	152	6098
22	-196.0	196	6294	22	-196.0	196	6294
23	-208.0	208	6502	23	-208.0	208	6502
24	-204.0	204	6706	24	-204.0	204	6706
25	-158.0	158	6864	25	-158.0	158	6864
26	-182.0	182	7046	26	-182.0	182	7046
27	-145.0	145	7191	27	-145.0	145	7191
28	-217.0	217	7408	28	-217.0	217	7408
29	-215.0	215	7623	29	-215.0	215	7623
30	-222.0	222	7845	30	-222.0	222	7845
31	-154.0	154	7999	31	-154.0	154	7999
32	-226.0	226	8225	32	-226.0	226	8225
33	-153.0	153	8378	33	-153.0	153	8378
34	-156.0	156	8534	34	-156.0	156	8534
35	-144.0	144	8678	35	-144.0	144	8678
36	-155.0	155	8833	36	-155.0	155	8833
37	-160.0	160	8993	37	-160.0	160	8993
38	-158.0	158	9151	38	-158.0	158	9151
39	-153.0	153	9304	39	-153.0	153	9304
40	-140.0	140	9444	40	-140.0	140	9444
41	-148.0	148	9592	41	-148.0	148	9592
42	-147.0	147	9739	42	-147.0	147	9739
43	-151.0	151	9890	43	-151.0	151	9890
44	-142.0	142	10032	44	-142.0	142	10032
45	-191.0	191	10223	45	-191.0	191	10223
46	-144.0	144	10367	46	-144.0	144	10367
47	-206.0	206	10573	47	-206.0	206	10573
