Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-397.0	397	1897	3	-397.0	397	1897	3	-397.0	397	1897
4	-434.0	434	2331	4	-434.0	434	2331	4	-434.0	434	2331
5	-500.0	500	2831	5	-500.0	500	2831	5	-500.0	500	2831
6	-459.0	459	3290	6	-459.0	459	3290	6	-459.0	459	3290
7	-160.0	160	3450	7	-160.0	160	3450	7	-160.0	160	3450
8	-233.0	233	3683	8	-233.0	233	3683	8	-233.0	233	3683
9	-231.0	231	3914	9	-231.0	231	3914	9	-231.0	231	3914
10	-339.0	339	4253	10	-339.0	339	4253	10	-339.0	339	4253
11	-241.0	241	4494	11	-241.0	241	4494	11	-241.0	241	4494
12	-269.0	269	4763	12	-269.0	269	4763	12	-269.0	269	4763
13	-207.0	207	4970	13	-207.0	207	4970	13	-207.0	207	4970
14	-192.0	192	5162	14	-192.0	192	5162	14	-192.0	192	5162
15	-201.0	201	5363	15	-201.0	201	5363	15	-201.0	201	5363
16	-155.0	155	5518	16	-155.0	155	5518	16	-155.0	155	5518
17	-220.0	220	5738	17	-220.0	220	5738	17	-220.0	220	5738
18	-234.0	234	5972	18	-234.0	234	5972	18	-234.0	234	5972
19	-205.0	205	6177	19	-205.0	205	6177	19	-205.0	205	6177
20	-183.0	183	6360	20	-183.0	183	6360	20	-183.0	183	6360
21	-163.0	163	6523	21	-163.0	163	6523	21	-163.0	163	6523
22	-186.0	186	6709	22	-186.0	186	6709	22	-186.0	186	6709
23	-183.0	183	6892	23	-183.0	183	6892	23	-183.0	183	6892
24	-272.0	272	7164	24	-272.0	272	7164	24	-272.0	272	7164
25	-146.0	146	7310	25	-146.0	146	7310	25	-146.0	146	7310
26	-225.0	225	7535	26	-225.0	225	7535	26	-225.0	225	7535
27	-153.0	153	7688	27	-153.0	153	7688	27	-153.0	153	7688
28	-145.0	145	7833	28	-145.0	145	7833	28	-145.0	145	7833
29	-210.0	210	8043	29	-210.0	210	8043	29	-210.0	210	8043
30	-212.0	212	8255	30	-212.0	212	8255	30	-212.0	212	8255
31	-148.0	148	8403	31	-148.0	148	8403	31	-148.0	148	8403
32	-189.0	189	8592	32	-189.0	189	8592	32	-189.0	189	8592
33	-204.0	204	8796	33	-204.0	204	8796	33	-204.0	204	8796
34	-109.0	109	8905	34	-109.0	109	8905	34	-109.0	109	8905
35	-174.0	174	9079	35	-174.0	174	9079	35	-174.0	174	9079
36	-184.0	184	9263	36	-184.0	184	9263	36	-184.0	184	9263
37	-181.0	181	9444	37	-181.0	181	9444	37	-181.0	181	9444
38	-159.0	159	9603	38	-159.0	159	9603	38	-159.0	159	9603
39	-214.0	214	9817	39	-214.0	214	9817	39	-214.0	214	9817
40	-147.0	147	9964	40	-147.0	147	9964	40	-147.0	147	9964
41	-141.0	141	10105	41	-141.0	141	10105	41	-141.0	141	10105
42	-134.0	134	10239	42	-134.0	134	10239	42	-134.0	134	10239
43	-133.0	133	10372	43	-133.0	133	10372	43	-133.0	133	10372
44	-176.0	176	10548	44	-176.0	176	10548	44	-176.0	176	10548
45	-190.0	190	10738	45	-190.0	190	10738	45	-190.0	190	10738
