Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-492.0	492	1492	2	-492.0	492	1492	2	-492.0	492	1492	2	-492.0	492	1492	2	-492.0	492	1492
3	-462.0	462	1954	3	-462.0	462	1954	3	-462.0	462	1954	3	-462.0	462	1954	3	-462.0	462	1954
4	-500.0	500	2454	4	-500.0	500	2454	4	-500.0	500	2454	4	-500.0	500	2454	4	-500.0	500	2454
5	-254.0	254	2708	5	-254.0	254	2708	5	-254.0	254	2708	5	-254.0	254	2708	5	-254.0	254	2708
6	-322.0	322	3030	6	-322.0	322	3030	6	-322.0	322	3030	6	-322.0	322	3030	6	-322.0	322	3030
7	-287.0	287	3317	7	-287.0	287	3317	7	-287.0	287	3317	7	-287.0	287	3317	7	-287.0	287	3317
8	-244.0	244	3561	8	-244.0	244	3561	8	-244.0	244	3561	8	-244.0	244	3561	8	-244.0	244	3561
9	-285.0	285	3846	9	-285.0	285	3846	9	-285.0	285	3846	9	-285.0	285	3846	9	-285.0	285	3846
10	-150.0	150	3996	10	-150.0	150	3996	10	-150.0	150	3996	10	-150.0	150	3996	10	-150.0	150	3996
11	-229.0	229	4225	11	-229.0	229	4225	11	-229.0	229	4225	11	-229.0	229	4225	11	-229.0	229	4225
12	-231.0	231	4456	12	-231.0	231	4456	12	-231.0	231	4456	12	-231.0	231	4456	12	-231.0	231	4456
13	-234.0	234	4690	13	-234.0	234	4690	13	-234.0	234	4690	13	-234.0	234	4690	13	-234.0	234	4690
14	-206.0	206	4896	14	-206.0	206	4896	14	-206.0	206	4896	14	-206.0	206	4896	14	-206.0	206	4896
15	-166.0	166	5062	15	-166.0	166	5062	15	-166.0	166	5062	15	-166.0	166	5062	15	-166.0	166	5062
16	-229.0	229	5291	16	-229.0	229	5291	16	-229.0	229	5291	16	-229.0	229	5291	16	-229.0	229	5291
17	-203.0	203	5494	17	-203.0	203	5494	17	-203.0	203	5494	17	-203.0	203	5494	17	-203.0	203	5494
18	-219.0	219	5713	18	-219.0	219	5713	18	-219.0	219	5713	18	-219.0	219	5713	18	-219.0	219	5713
19	-268.0	268	5981	19	-268.0	268	5981	19	-268.0	268	5981	19	-268.0	268	5981	19	-268.0	268	5981
20	-160.0	160	6141	20	-160.0	160	6141	20	-160.0	160	6141	20	-160.0	160	6141	20	-160.0	160	6141
21	-221.0	221	6362	21	-221.0	221	6362	21	-221.0	221	6362	21	-221.0	221	6362	21	-221.0	221	6362
22	-242.0	242	6604	22	-242.0	242	6604	22	-242.0	242	6604	22	-242.0	242	6604	22	-242.0	242	6604
23	-184.0	184	6788	23	-184.0	184	6788	23	-184.0	184	6788	23	-184.0	184	6788	23	-184.0	184	6788
