Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-466.0	466	1466	2	-466.0	466	1466	2	-466.0	466	1466	2	-466.0	466	1466	2	-466.0	466	1466	2	-466.0	466	1466
3	-494.0	494	1960	3	-494.0	494	1960	3	-494.0	494	1960	3	-494.0	494	1960	3	-494.0	494	1960	3	-494.0	494	1960
4	-350.0	350	2310	4	-350.0	350	2310	4	-350.0	350	2310	4	-350.0	350	2310	4	-350.0	350	2310	4	-350.0	350	2310
5	-407.0	407	2717	5	-407.0	407	2717	5	-407.0	407	2717	5	-407.0	407	2717	5	-407.0	407	2717	5	-407.0	407	2717
6	-297.0	297	3014	6	-297.0	297	3014	6	-297.0	297	3014	6	-297.0	297	3014	6	-297.0	297	3014	6	-297.0	297	3014
7	-309.0	309	3323	7	-309.0	309	3323	7	-309.0	309	3323	7	-309.0	309	3323	7	-309.0	309	3323	7	-309.0	309	3323
8	-304.0	304	3627	8	-304.0	304	3627	8	-304.0	304	3627	8	-304.0	304	3627	8	-304.0	304	3627	8	-304.0	304	3627
9	-248.0	248	3875	9	-248.0	248	3875	9	-248.0	248	3875	9	-248.0	248	3875	9	-248.0	248	3875	9	-248.0	248	3875
10	-282.0	282	4157	10	-282.0	282	4157	10	-282.0	282	4157	10	-282.0	282	4157	10	-282.0	282	4157	10	-282.0	282	4157
11	-360.0	360	4517	11	-360.0	360	4517	11	-360.0	360	4517	11	-360.0	360	4517	11	-360.0	360	4517	11	-360.0	360	4517
12	-154.0	154	4671	12	-154.0	154	4671	12	-154.0	154	4671	12	-154.0	154	4671	12	-154.0	154	4671	12	-154.0	154	4671
13	-235.0	235	4906	13	-235.0	235	4906	13	-235.0	235	4906	13	-235.0	235	4906	13	-235.0	235	4906	13	-235.0	235	4906
14	-224.0	224	5130	14	-224.0	224	5130	14	-224.0	224	5130	14	-224.0	224	5130	14	-224.0	224	5130	14	-224.0	224	5130
15	-155.0	155	5285	15	-155.0	155	5285	15	-155.0	155	5285	15	-155.0	155	5285	15	-155.0	155	5285	15	-155.0	155	5285
16	-221.0	221	5506	16	-221.0	221	5506	16	-221.0	221	5506	16	-221.0	221	5506	16	-221.0	221	5506	16	-221.0	221	5506
17	-229.0	229	5735	17	-229.0	229	5735	17	-229.0	229	5735	17	-229.0	229	5735	17	-229.0	229	5735	17	-229.0	229	5735
18	-273.0	273	6008	18	-273.0	273	6008	18	-273.0	273	6008	18	-273.0	273	6008	18	-273.0	273	6008	18	-273.0	273	6008
19	-220.0	220	6228	19	-220.0	220	6228	19	-220.0	220	6228	19	-220.0	220	6228	19	-220.0	220	6228	19	-220.0	220	6228
20	-175.0	175	6403	20	-175.0	175	6403	20	-175.0	175	6403	20	-175.0	175	6403	20	-175.0	175	6403	20	-175.0	175	6403
21	-190.0	190	6593	21	-190.0	190	6593	21	-190.0	190	6593	21	-190.0	190	6593	21	-190.0	190	6593	21	-190.0	190	6593
22	-153.0	153	6746	22	-153.0	153	6746	22	-153.0	153	6746	22	-153.0	153	6746	22	-153.0	153	6746	22	-153.0	153	6746
23	-144.0	144	6890	23	-144.0	144	6890	23	-144.0	144	6890	23	-144.0	144	6890	23	-144.0	144	6890	23	-144.0	144	6890
24	-151.0	151	7041	24	-151.0	151	7041	24	-151.0	151	7041	24	-151.0	151	7041	24	-151.0	151	7041	24	-151.0	151	7041
25	-150.0	150	7191	25	-150.0	150	7191	25	-150.0	150	7191	25	-150.0	150	7191	25	-150.0	150	7191	25	-150.0	150	7191
26	-147.0	147	7338	26	-147.0	147	7338	26	-147.0	147	7338	26	-147.0	147	7338	26	-147.0	147	7338	26	-147.0	147	7338
27	-184.0	184	7522	27	-184.0	184	7522	27	-184.0	184	7522	27	-184.0	184	7522	27	-184.0	184	7522	27	-184.0	184	7522
28	-186.0	186	7708	28	-186.0	186	7708	28	-186.0	186	7708	28	-186.0	186	7708	28	-186.0	186	7708	28	-186.0	186	7708
29	-200.0	200	7908	29	-200.0	200	7908	29	-200.0	200	7908	29	-200.0	200	7908	29	-200.0	200	7908	29	-200.0	200	7908
30	-202.0	202	8110	30	-202.0	202	8110	30	-202.0	202	8110	30	-202.0	202	8110	30	-202.0	202	8110	30	-202.0	202	8110
31	-156.0	156	8266	31	-156.0	156	8266	31	-156.0	156	8266	31	-156.0	156	8266	31	-156.0	156	8266	31	-156.0	156	8266
32	-192.0	192	8458	32	-192.0	192	8458	32	-192.0	192	8458	32	-192.0	192	8458	32	-192.0	192	8458	32	-192.0	192	8458
33	-148.0	148	8606	33	-148.0	148	8606	33	-148.0	148	8606	33	-148.0	148	8606	33	-148.0	148	8606	33	-148.0	148	8606
34	-146.0	146	8752	34	-146.0	146	8752	34	-146.0	146	8752	34	-146.0	146	8752	34	-146.0	146	8752	34	-146.0	146	8752
35	-144.0	144	8896	35	-144.0	144	8896	35	-144.0	144	8896	35	-144.0	144	8896	35	-144.0	144	8896	35	-144.0	144	8896
36	-151.0	151	9047	36	-151.0	151	9047	36	-151.0	151	9047	36	-151.0	151	9047	36	-151.0	151	9047	36	-151.0	151	9047
37	-188.0	188	9235	37	-188.0	188	9235	37	-188.0	188	9235	37	-188.0	188	9235	37	-188.0	188	9235	37	-188.0	188	9235
38	-213.0	213	9448	38	-213.0	213	9448	38	-213.0	213	9448	38	-213.0	213	9448	38	-213.0	213	9448	38	-213.0	213	9448
39	-171.0	171	9619	39	-171.0	171	9619	39	-171.0	171	9619	39	-171.0	171	9619	39	-171.0	171	9619	39	-171.0	171	9619
40	-235.0	235	9854	40	-235.0	235	9854	40	-235.0	235	9854	40	-235.0	235	9854	40	-235.0	235	9854	40	-235.0	235	9854
41	-153.0	153	10007	41	-153.0	153	10007	41	-153.0	153	10007	41	-153.0	153	10007	41	-153.0	153	10007	41	-153.0	153	10007
42	-184.0	184	10191	42	-184.0	184	10191	42	-184.0	184	10191	42	-184.0	184	10191	42	-184.0	184	10191	42	-184.0	184	10191
43	-149.0	149	10340	43	-149.0	149	10340	43	-149.0	149	10340	43	-149.0	149	10340	43	-149.0	149	10340	43	-149.0	149	10340
44	-185.0	185	10525	44	-185.0	185	10525	44	-185.0	185	10525	44	-185.0	185	10525	44	-185.0	185	10525	44	-185.0	185	10525
45	-151.0	151	10676	45	-151.0	151	10676	45	-151.0	151	10676	45	-151.0	151	10676	45	-151.0	151	10676	45	-151.0	151	10676
46	-170.0	170	10846	46	-170.0	170	10846	46	-170.0	170	10846	46	-170.0	170	10846	46	-170.0	170	10846	46	-170.0	170	10846
