Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-496.0	496	1996	3	-496.0	496	1996	3	-496.0	496	1996	3	-496.0	496	1996	3	-496.0	496	1996	3	-496.0	496	1996	3	-496.0	496	1996
4	-347.0	347	2343	4	-347.0	347	2343	4	-347.0	347	2343	4	-347.0	347	2343	4	-347.0	347	2343	4	-347.0	347	2343	4	-347.0	347	2343
5	-315.0	315	2658	5	-315.0	315	2658	5	-315.0	315	2658	5	-315.0	315	2658	5	-315.0	315	2658	5	-315.0	315	2658	5	-315.0	315	2658
6	-326.0	326	2984	6	-326.0	326	2984	6	-326.0	326	2984	6	-326.0	326	2984	6	-326.0	326	2984	6	-326.0	326	2984	6	-326.0	326	2984
7	-250.0	250	3234	7	-250.0	250	3234	7	-250.0	250	3234	7	-250.0	250	3234	7	-250.0	250	3234	7	-250.0	250	3234	7	-250.0	250	3234
8	-277.0	277	3511	8	-277.0	277	3511	8	-277.0	277	3511	8	-277.0	277	3511	8	-277.0	277	3511	8	-277.0	277	3511	8	-277.0	277	3511
9	-244.0	244	3755	9	-244.0	244	3755	9	-244.0	244	3755	9	-244.0	244	3755	9	-244.0	244	3755	9	-244.0	244	3755	9	-244.0	244	3755
10	-224.0	224	3979	10	-224.0	224	3979	10	-224.0	224	3979	10	-224.0	224	3979	10	-224.0	224	3979	10	-224.0	224	3979	10	-224.0	224	3979
11	-249.0	249	4228	11	-249.0	249	4228	11	-249.0	249	4228	11	-249.0	249	4228	11	-249.0	249	4228	11	-249.0	249	4228	11	-249.0	249	4228
