Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994	3	-494.0	494	1994
4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389	4	-395.0	395	2389
5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688	5	-299.0	299	2688
6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949	6	-261.0	261	2949
7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199	7	-250.0	250	3199
8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360	8	-161.0	161	3360
9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696	9	-336.0	336	3696
10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921	10	-225.0	225	3921
11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421	11	-500.0	500	4421
12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666	12	-245.0	245	4666
13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871	13	-205.0	205	4871
14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193	14	-322.0	322	5193
15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379	15	-186.0	186	5379
16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574	16	-195.0	195	5574
17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725	17	-151.0	151	5725
18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945	18	-220.0	220	5945
19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150	19	-205.0	205	6150
20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300	20	-150.0	150	6300
21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446	21	-146.0	146	6446
22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645	22	-199.0	199	6645
23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791	23	-146.0	146	6791
24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940	24	-149.0	149	6940
25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137	25	-197.0	197	7137
26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323	26	-186.0	186	7323
27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548	27	-225.0	225	7548
28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723	28	-175.0	175	7723
29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963	29	-240.0	240	7963
30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106	30	-143.0	143	8106
31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297	31	-191.0	191	8297
32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480	32	-183.0	183	8480
33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663	33	-183.0	183	8663
34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810	34	-147.0	147	8810
35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956	35	-146.0	146	8956
36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110	36	-154.0	154	9110
37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265	37	-155.0	155	9265
38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418	38	-153.0	153	9418
39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570	39	-152.0	152	9570
40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719	40	-149.0	149	9719
41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871	41	-152.0	152	9871
42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094	42	-223.0	223	10094
43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355	43	-261.0	261	10355
44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489	44	-134.0	134	10489
45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636	45	-147.0	147	10636
46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784	46	-148.0	148	10784
47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917	47	-133.0	133	10917
48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060	48	-143.0	143	11060
49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203	49	-143.0	143	11203
50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341	50	-138.0	138	11341
51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482	51	-141.0	141	11482
52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591	52	-109.0	109	11591
53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698	53	-107.0	107	11698
54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862	54	-164.0	164	11862
55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039	55	-177.0	177	12039
56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184	56	-145.0	145	12184
57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327	57	-143.0	143	12327
58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477	58	-150.0	150	12477
59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611	59	-134.0	134	12611
60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760	60	-149.0	149	12760
61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914	61	-154.0	154	12914
62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058	62	-144.0	144	13058
63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202	63	-144.0	144	13202
64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352	64	-150.0	150	13352
65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494	65	-142.0	142	13494
66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635	66	-141.0	141	13635
67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777	67	-142.0	142	13777
68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908	68	-131.0	131	13908
69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046	69	-138.0	138	14046
