Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374	2	-374.0	374	1374
3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874	3	-500.0	500	1874
4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182	4	-308.0	308	2182
5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490	5	-308.0	308	2490
6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776	6	-286.0	286	2776
7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127	7	-351.0	351	3127
8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367	8	-240.0	240	3367
9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687	9	-320.0	320	3687
10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935	10	-248.0	248	3935
11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166	11	-231.0	231	4166
12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353	12	-187.0	187	4353
13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543	13	-190.0	190	4543
